MOHENJODARO

|  2301 | 100001  |
| --- | --- |
|  2302 | 100001  |
|  2303 | 100001  |
|  2304 | 100701  |
|  2305 | 100101  |
|  2306 | 100301  |
|  2307 | 100101  |
|  2308 | 100001  |
|  2309 | 101101  |
|  2310 | 100301  |
|  2311 | 100101  |
|  2312 | 100111  |
|   | 23  |
|  2313 | 100401  |
|  2314 | 100301  |
|  2315 | 100001  |
|  2316 | 100101  |
|  2317 | 100101  |
|  2318 | 100001  |
|  2319 | 100001  |
|  2321 | 100002  |
|  2322 | 100301  |
|  2323 | 100101  |
|  2324 | 100001  |
|  2325 | 100001  |
|  2326 | 100101  |
|  2327 | 110002  |
|   | 20002  |
|  2328 | 100002  |
|  2331 | 100301  |
|  2332 | 100611  |
|   | 23  |
|  2333 | 100101  |

67
