TABLES

|  SIGN | SOL | INI | MED | FIN | TOT | SIGN | SOL | INI | MED | FIN | TOT  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  ♀ | 0 | 0 | 1 | 12 | 13 | ♂ | 0 | 1 | 0 | 0 | 1  |
|  ♂ | 0 | 0 | 4 | 0 | 4 | ♀ | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 3 | 7 | 0 | 10 | ♂ | 0 | 2 | 0 | 0 | 2  |
|  ♀ | 0 | 0 | 2 | 0 | 2 | ♀ | 0 | 0 | 1 | 0 | 1  |
|  ♀ | 0 | 5 | 8 | 0 | 13 | ♂ | 0 | 0 | 1 | 0 | 1  |
|  ♀ | 7 | 7 | 20 | 1 | 35 | ♀ | 0 | 0 | 32 | 0 | 32  |
|  ♀ | 0 | 12 | 29 | 1 | 42 | ♂ | 0 | 0 | 2 | 0 | 2  |
|  ♀ | 1 | 19 | 29 | 274 | 323 | ♀ | 0 | 0 | 1 | 0 | 1  |
|  ♀ | 0 | 2 | 5 | 0 | 7 | ♂ | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 5 | 3 | 0 | 8 | ♂ | 2 | 0 | 0 | 0 | 2  |
|  ♀ | 0 | 3 | 2 | 0 | 5 | ♂ | 3 | 0 | 0 | 0 | 3  |
|  ♀ | 0 | 0 | 2 | 1 | 3 | ♂ | 1 | 1 | 1 | 0 | 3  |
|  ♀ | 0 | 1 | 2 | 0 | 3 | ♀ | 0 | 3 | 1 | 0 | 4  |
|  ♀ | 0 | 1 | 2 | 1 | 4 | ♂ | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 2 | 0 | 0 | 2 | ♂ | 0 | 0 | 5 | 3 | 8  |
|  ♀ | 1 | 65 | 168 | 2 | 236 | ♂ | 0 | 0 | 2 | 0 | 2  |
|  ♀ | 0 | 5 | 0 | 0 | 5 | ♂ | 0 | 0 | 2 | 0 | 2  |
|  ♀ | 0 | 0 | 3 | 0 | 3 | ♂ | 0 | 0 | 1 | 0 | 1  |
|  ♀ | 0 | 0 | 0 | 1 | 1 | ♂ | 0 | 1 | 2 | 0 | 3  |
|  ♀ | 0 | 1 | 2 | 2 | 5 | ♂ | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 11 | 45 | 3 | 59 | ♂ | 0 | 19 | 29 | 13 | 61  |
|  ♀ | 3 | 1 | 420 | 971 | 1395 | ♂ | 9 | 0 | 0 | 0 | 9  |
|  ♀ | 0 | 20 | 152 | 5 | 177 | ♂ | 0 | 14 | 31 | 12 | 57  |
|  ♀ | 3 | 4 | 26 | 2 | 35 | ♂ | 0 | 1 | 1 | 0 | 2  |
|  ♀ | 0 | 25 | 24 | 2 | 51 | ♂ | 1 | 0 | 0 | 0 | 1  |
|  ♀ | 2 | 0 | 0 | 0 | 2 | ♂ | 0 | 1 | 1 | 0 | 2  |
|  ♀ | 0 | 1 | 116 | 1 | 118 | ♂ | 0 | 11 | 6 | 0 | 17  |
|  ♀ | 1 | 1 | 20 | 0 | 22 | ♂ | 0 | 0 | 5 | 0 | 5  |
|  ♀ | 0 | 0 | 1 | 0 | 1 | ♂ | 0 | 0 | 13 | 1 | 14  |
|  ♀ | 0 | 1 | 0 | 0 | 1 | ♂ | 0 | 0 | 1 | 0 | 1  |
|  ♀ | 0 | 1 | 0 | 0 | 1 | ♂ | 0 | 1 | 0 | 0 | 1  |
|  ♀ | 0 | 0 | 1 | 0 | 1 | ♂ | 1 | 2 | 3 | 1 | 7  |

(Contd.)
