id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
1,KN Fp(1) 1 + 31 (138),F,p,1,1,,,,LM IIIA2 or LM IIIB,46,de-u-ki-jo-jo 'me-no' di-ka-ta-jo di-we OLE S 1 da-da-re-jo-de OLE S 2 pa-de OLE S 1 pa-si-te-o-i OLE 1 qe-ra-si-ja OLE S 1 a-mi-ni-so pa-si-te-o-i S 1 e-ri-nu OLE V 3 *47-da-de OLE V 1 a-ne-mo i-je-re-ja V 4 vac. to-so OLE 3 S 2 V 2
2,KN Fs 2 (139),F,s,-,2,,,,LM IIIA2 or LM IIIB,22,.A HORD T 1 NI V 3 OLE Z 2 .B sa-na-to-de FAR V 1 VIN V 1 v.↓ ME±RI Z 1
3,KN Fs 3 (-),F,s,-,3,,,,-,16,.A HORD T 1 NI V 3 .B a-*65-ma-na-ke me-na FAR V 1 OLE Z 1
4,KN Fs 4 (139),F,s,-,4,,,,LM IIIA2 or LM IIIB,29,.A HORD T 1 NI V 3 FAR V 2 VIN V 2 .B a-ro-do-ro-o wa-ḳẹ-ta HORD T 1 NI V 3 OLE V 1 v.↓ ME±RI Z 2
5,KN Fp(1) 5 (138),F,p,1,5,,,,LM IIIA2 or LM IIIB,11,di-wi-jo-jo 'me-no' qe-ra-si-ja OLE S 1 pa-si-te-o-i OLE S 1 vac.
6,KN Fp(1) 6 (138),F,p,1,6,,,,LM IIIA2 or LM IIIB,8,ka-ra-e-ri-jo pa-si-te-o-i S 1 qe-ra-si-ja OLE S 1
7,KN Fp(1) 7 (138),F,p,1,7,,,,LM IIIA2 or LM IIIB,6,ka-ra-e-ri-jo 'me-no' di-ka-ta-de OLE S 1̣
8,KN Fs 8 (139),F,s,-,8,,,,LM IIIA2 or LM IIIB,16,.A HORD T 1 NI T 1 .B pa-de FAR V 2 v.↓ ME±RI *211VAS+PO 1
9,KN Fs 9 (139),F,s,-,9,,,,LM IIIA2 or LM IIIB,11,.A ⟦ HORD ⟧ HORD .B ki-to o-ja-de v.↓ Z 1
10,KN Gg 10 (138),G,g,-,10,,,,LM IIIA2 or LM IIIB,7,*209VAS 2 ṭẹ-o ME±RI *209VAS 1 vac.
11,KN Fs 11 (139),F,s,-,11,,,,LM IIIA2 or LM IIIB,26,.A HORD T 1 NI T 1 FAR V 2 VIN V 2 .B qe-sa-ma-qa ta-mi-te-mo HORD T 1 OLE V 1 v.↓ ME±ṚỊ Z 2
12,KN Fs 12 (139),F,s,-,12,,,,LM IIIA2 or LM IIIB,13,.A 1 NI V 3 VIN V 1 .B 2̣ OLE Z 2
13,KN Fp(1) 13 (138),F,p,1,13,,,,LM IIIA2 or LM IIIB,28,ra-pa-to 'me-no' *47-ku-to-de OLE V 1 pi-pi-tu-na V 1 au-ri-mo-de OLE V 4 pa-si-te-o-i S 1 qe-ra-si-ja S 1 a-ne-mo-i-je-re-ja OLE 1 u-ta-no 'a-ne-mo-i-je-re-ja' S 1 Ṿ 3
14,KN Fp(1) 14 + 27 + 28 + frr. (138),F,p,1,14,,,,LM IIIA2 or LM IIIB,17,me-no OLE a-ma-ko-to jo-te-re-pa-to // e-ke-se-si V 1 qe-ra-si-ja S 1 a-mi-ni-so-de pa-si-te-o-i S 2 a-re Ṿ
15,KN Fp(1) 15 (138),F,p,1,15,,1981,,LM IIIA2 or LM IIIB,8,ka-ra-e-ri-jo me-no *56-ti S 2 pa-si-te-o-i S 1
16,KN Fp(1) 16 (138),F,p,1,16,,,,LM IIIA2 or LM IIIB,9,wo-de-wi-jo 'me-no' pa-si-te-o-i S 1 qe-ra-si-jo OLE S 1
17,KN Fs 17 (139),F,s,-,17,,,,LM IIIA2 or LM IIIB,21,.A i HORD T 1 NI V 3 OLE Z 2 .B FAR V 1 VIN V 1 v.↓ Z 1
18,KN Fp(1) 18 + <32> (138),F,p,1,18,,,,LM IIIA2 or LM IIIB,9,da-da-re-jo-de ka-ra-e-ri-jo ṃẹ[-no jo S 1 pa-si-te-o-i S 1
19,KN Fs 19 (139),F,s,-,19,,,,LM IIIA2 or LM IIIB,20,e-ti-wa HORD T 1 NI V 3 FAR V 1 OLE Z 2 VIN V 1 v.↓ ME±RI Z 1
20,KN Fs 20 (139),F,s,-,20,,,,LM IIIA2 or LM IIIB,5,ạ-*65-ma v.↓ ME±RI Z 1
21,KN Fs 21 (139),F,s,-,21,,,,LM IIIA2 or LM IIIB,10,ka-u-da HORD T 1 FAR V 1 VIN V 1
22,KN Fs 22 (139),F,s,-,22,,,,LM IIIA2 or LM IIIB,15,.A HORD T 1 NI V 3 .B ṇạ-to-de FAR V 1 VIN V 1
23,KN Fs 23 (139),F,s,-,23,,,,LM IIIA2 or LM IIIB,20,ja-pe-re-so HORD T 2 NI V 3 VIN V 2 FAR V 1 OLE V 1 v.↓ ME±RI Z 1
24,KN Fs 24 (139),F,s,-,24,,,,LM IIIA2 or LM IIIB,20,.A HORD T 1 NI V 3 FAR V 1 .B OLE Z 2 VIN V 1 v.↓ Z 1
25,KN Fs 25 (139),F,s,-,25,,,,LM IIIA2 or LM IIIB,18,.A HORD T 1 NI V 3 VIN V 1 .B de FAR V 1 OLE Z 2
26,KN Fs 26 (139),F,s,-,26,,,,LM IIIA2 or LM IIIB,7,ki-ri-jo-de FAR V 1 v.↓ ME±RI Z
27,KN Fs 29 (139),F,s,-,29,,,,LM IIIA2 or LM IIIB,5,.A .B de v.↓ 1̣
28,KN Fp(1) 30 (138),F,p,1,30,,1981,,LM IIIA2 or LM IIIB,3,to-so- v.↓ ko-no
29,KN X <1620> (-),X,-,-,1620,,,,-,1,o-ne-ro2-i
30,KN C 33 (-),C,-,-,33,,,,-,9,sup. mut. :f 2 OVIS:f 6 OVIS:f 1 vac.
31,KN Ga(2) <34> (136?),G,a,2,34,,,,LM IIIA2 or LM IIIB,5,pu-na-si-jo ti-mi-ṇụ-ẉọ KO T 5
32,KN X 35 (-),X,-,-,35,,,,-,1,e-me-si-jo-jo
33,KN E 36 (-),E,-,-,36,,,,-,4,pi-ra-me-no pa-i-to GRA 10
34,KN X 37 (-),X,-,-,37,,,,-,1,ru-ki-ti-j̣ọ
35,KN X 38 (-),X,-,-,38,,,,-,1,sa-me
36,KN X 39 (-),X,-,-,39,,,,-,1,ke-me-no
37,KN As 40 + 5093 (101),A,s,-,40,,,,LM IIIA2 or LM IIIB,31,sup. mut. ọ- ḳọ-ṇọ-so VIR a-to da-*22-to VIR 1 zo-do-so da-*22-to VIR 1 a-sa-ro da-*22-to VIR 1 ko-so da-*22-to VIR 1 su-ke-re se-to-i-ja VIR 1 vac. vac. ṭọ-so VIR 10 vac.
38,KN B 41 (-),B,-,-,41,,,,-,5,1 ra-ni VIR 1 vac.
39,KN Dq(3) 42 (217),D,q,3,42,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,pe-ri-qo-ta-o jo ma-sa OVIS:m
40,KN Dp 43 (-),D,p,-,43,,,,-,3,ta-re-wo OVIS:m LANA
41,KN Od 44 (-),O,d,-,44,,,,-,5,.A ẉị-ri- .B ku-ja-ro qa-ra
42,KN Dq(3) 45 (217),D,q,3,45,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,a-ṇọ-qo-ta-o mo e-ra OVIS:ṃ
43,KN Dq(3) 46 + fr. (217),D,q,3,46,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,.A pe-ri-qo-ta-o .B sa-no e-ko-so
44,KN Dl 47 (-),D,l,-,47,,,,-,14,e-ke e-u-da-i-ta OVIS:f 39̣ ki-u-ro su-ki-ri-ta-pi o ki OVIS 15 v. graffito lat. inf.
45,KN Fp(1) 48 (138),F,p,1,48,,,,LM IIIA2 or LM IIIB,20,wo-de-wi-jo 'me-no' si-ja-ma-to OLE S 2 pa-de S 1 qe-ra-si-ja S 1 pa-si-te-o-i S 1̣ a-mi-ni-so-de pa-si-te-o-i OLE S 1
46,KN Np(1) 49 (124-E),N,p,1,49,,,,LM II-LM IIIA1 or LM IIIB,4,ri-*65-no a-pe-re QO 1
47,KN Ce 50 (124-B),C,e,-,50,,,,LM II-LM IIIA1 or LM IIIB,33,a-qi-ru OVIS:m 134 q̣ạ-ra2-wo OVIS:f 43 te-pa-ra pe-re-qo-ta a-nu-ko OVIS:f 51 ro-ru OVIS:f 32 v.↓ a-qi-ru OVIS:m 190 qa-ra2-wo OVIS:f 144 o-pa a-nu-ko OVIS:f 133 ro-ru OVIS:f 150 lat. sup. we-ka-ta BOS:m 4
48,KN F(1) 51 (124-D),F,-,1,51,,,,LM II-LM IIIA1 or LM IIIB,32,HORD T 7 V 5 Z 3̣ v.→ wa HORD T 1 V 3 po-ro-de-̣qo-no V 2 Z 2 di-we HORD T 1 HORD T 4 Z 1 ma-q̣ẹ HORD V 6
49,KN V 52 + 52 bis + 8285 (-),V,-,-,52,,,,-,15,"a-ta-na-po-ti-ni-ja 1 ụ vest. e-nu-wa-ri-jo 1 pa-ja-wo-ne 1 po-se-da[-o-ne lat. inf. ⟦e-ri-nu-we ,̣ pe-ṛọ ⟧"
50,KN Vc(5) 53 (124-S?),V,c,5,53,,,,LM II-LM IIIA1 or LM IIIB,2,ko-ro-sa-no 1
51,KN Vc 54 (124-3),V,c,-,54,,,,LM II-LM IIIA1 or LM IIIB,1,po-ro-tu-qo-no
52,KN Vc(5) 55 (124-S),V,c,5,55,,,,LM II-LM IIIA1 or LM IIIB,2,i-mo-ro-ne-u 1
53,KN V(1) 56 (124),V,-,1,56,,,,LM II-LM IIIA1 or LM IIIB,6,ko-no-si-jo ̣ e-qe-a-o a-to-mo 16 ̣
54,KN V(1) 57 + 8036 + fr. (124),V,-,1,57,,,,LM II-LM IIIA1 or LM IIIB,2,e-u-da-mo e-we-wa-ta
55,KN Xd 58 (124-5?),X,d,-,58,,,,LM II-LM IIIA1 or LM IIIB,2,ra-to pa-ta-re
56,KN Ce 59 (124-C),C,e,-,59,,,,LM II-LM IIIA1 or LM IIIB,30,ṃạ-sa we-ka-ta BOS:m 6 // da-wo we-ka-ta BOS:m 6 ta-ra-me-to •]-ṃọ ku-]ṭạ-to we-ka-ta BOS:m 10 // da-*22-to we-ka-ta BOS 6 •]-ṃọ tu-ri-so we-ka-ta BOS:m 6 // ku-do-ni-ja we-ka-ta BOS:m 50
57,KN V(2) 60 [+] 151 (124-B),V,-,2,60,,,,LM II-LM IIIA1 or LM IIIB,32,wo-di-jo 1 qo-ta 1 a-ni-ọ-ko vac. i-wa-ka 1 ka-pa-ri-jo ti-jo 1 ki-si-wi-j̣ọ me-nu-wa 1 wi-da-jo 1̣ 1 di-we-so 1 o-ku-na-wo 1 i-to-ma -ta 1 a-ke-u 1 pe-ri-ta 1 a-ka vac. vac. vac.
58,KN Ce 61 + fr. (124-B),C,e,-,61,,,,LM II-LM IIIA1 or LM IIIB,13,o-ro-ke-u me-*86-ta BOS 1 ra-wo-ti-jo BOS 1 re-u-ka-ta BOS 1 ti-ri-sa-ta inf. mut.
59,KN Vd 62 (124-S),V,d,-,62,,,,LM II-LM IIIA1 or LM IIIB,2,ẉẹ-ro a-ka-i-jo
60,KN Ai(1) 63 (124-B),A,i,1,63,,,,LM II-LM IIIA1 or LM IIIB,8,pe-se-ro-jo e-e-si MUL 1 ko-wa 1 ko-wo 1
61,KN Vc(6) 64 (124-R),V,c,6,64,,,,LM II-LM IIIA1 or LM IIIB,2,mi-ka-ta 1
62,KN Vc(6) 65 (124-R),V,c,6,65,,,,LM II-LM IIIA1 or LM IIIB,2,ka-ra-na-ta 1
63,KN Vc(5) 66 (124-S),V,c,5,66,,,,LM II-LM IIIA1 or LM IIIB,1,pe-ka-wo
64,KN Vc(6) 67 (124-R),V,c,6,67,,,,LM II-LM IIIA1 or LM IIIB,1,mi-ka-to
65,KN Vc(5) 68 (124-S),V,c,5,68,,,,LM II-LM IIIA1 or LM IIIB,2,a-ka-i-jo 1
66,KN Sc(6) 70 (124-R),S,c,6,70,,,,LM II-LM IIIA1 or LM IIIB,1,o-ka
67,KN F(1) 71 (124-5),F,-,1,71,,,,LM II-LM IIIA1 or LM IIIB,2,ka-pa GRA
68,KN Vc(5) 72 (124-S),V,c,5,72,,,,LM II-LM IIIA1 or LM IIIB,1,ka-pa-ri-jo
69,KN Vc(5) 73 (124-S),V,c,5,73,,,,LM II-LM IIIA1 or LM IIIB,2,"wa-na-ka ,̣"
70,KN Vc(6) 74 (124-R),V,c,6,74,,,,LM II-LM IIIA1 or LM IIIB,1,po-ru-ka-to
71,KN Xd 75 (124),X,d,-,75,,,,LM II-LM IIIA1 or LM IIIB,1,di-ka
72,KN Ce 76 (124),C,e,-,76,,,,LM II-LM IIIA1 or LM IIIB,2,ka-ti OVIS:m
73,KN V(1) 77 (124-μ),V,-,1,77,,,,LM II-LM IIIA1 or LM IIIB,5,te-wa 1 ka-pa-ri-jo 1 vac.
74,KN Sc(6) 78 (124-R),S,c,6,78,,,,LM II-LM IIIA1 or LM IIIB,1,ku-ka-ra-ṛẹ
75,KN Uf(1) 79 (124-S),U,f,1,79,,,,LM II-LM IIIA1 or LM IIIB,3,ka-wi-ja DA 5
76,KN Np(1) 80 (124-E?),N,p,1,80,,,,LM II-LM IIIA1 or LM IIIB,3,p̣ẹ-ka-wo // ku-ta-to
77,KN Vc(6) 81 (124-R),V,c,6,81,,,,LM II-LM IIIA1 or LM IIIB,1,a-ka-to-wa
78,KN Sc(6) 82 + 8136 (124-R),S,c,6,82,,,,LM II-LM IIIA1 or LM IIIB,1,a-ka-me-ne
79,KN Vc 83 (124),V,c,-,83,,,,LM II-LM IIIA1 or LM IIIB,1,ka-no
80,KN Xd 84 + fr. (124),X,d,-,84,,,,LM II-LM IIIA1 or LM IIIB,1,a-ka-to
81,KN Np(1) 85 + 5047 + 7938 + 8057 (124-E),N,p,1,85,,,,LM II-LM IIIA1 or LM IIIB,4,ka-ta-ra CROC QI 6
82,KN Xd 86 (124),X,d,-,86,,,,LM II-LM IIIA1 or LM IIIB,1,ka-wi
83,KN Ag 87 (124-A),A,g,-,87,,,,LM II-LM IIIA1 or LM IIIB,9,wa VIR 1 MUL 2 'ko-wa 1' ko-wo 1
84,KN Ag 88 + 7033 (124-A),A,g,-,88,,,,LM II-LM IIIA1 or LM IIIB,9,pe-re-ko VIR 1 MUL 1 ko-wa 2 ko-wo 1
85,KN Ag 89 (124-A),A,g,-,89,,,,LM II-LM IIIA1 or LM IIIB,3,to-ro-wo VIR 1
86,KN Ag 90 (124-A),A,g,-,90,,,,LM II-LM IIIA1 or LM IIIB,5,e-ri-*19 VIR 1 ko-wo 1
87,KN Ag 91 (124-A),A,g,-,91,,,,LM II-LM IIIA1 or LM IIIB,5,ke-re-u VIR 1 MUL 1
88,KN Xd(5) 92 (124-S),X,d,5,92,,,,LM II-LM IIIA1 or LM IIIB,1,ru-po-to
89,KN K 93 (124),K,-,-,93,,,,LM II-LM IIIA1 or LM IIIB,3,*226VAS 2 *226VAS
90,KN Vc(7) 94 + 187 (124-V),V,c,7,94,,,,LM II-LM IIIA1 or LM IIIB,4,ki-je-u a-pi-ja-re v.↓ tu
91,KN U(1) 95 (124-X),U,-,1,95,,,,LM II-LM IIIA1 or LM IIIB,2,*178 3
92,KN U(1) 96 (124?),U,-,1,96,,,,LM II-LM IIIA1 or LM IIIB,3,ro *179 2
93,KN Xd 97 + 284 (124-λ),X,d,-,97,,,,LM II-LM IIIA1 or LM IIIB,2,di-wi-je-ja di-wi-ja
94,KN Xd 98 + 196 (124),X,d,-,98,,,,LM II-LM IIIA1 or LM IIIB,2,ki-si-wi-je-ja pe-ra2-ẉọ
95,KN Sc(6) 99 (124-R),S,c,6,99,,,,LM II-LM IIIA1 or LM IIIB,1,-wi-jo
96,KN Xd 100 (124),X,d,-,100,,,,LM II-LM IIIA1 or LM IIIB,2,*47-da mi-ko
97,KN B(2) 101 (124),B,-,2,101,,,,LM II-LM IIIA1 or LM IIIB,6,ko-wi-ro-wo-ko VIR a3-te-re VIR 8 vac.
98,KN Vc(5) 102 (124-S),V,c,5,102,,,,LM II-LM IIIA1 or LM IIIB,1,e-wi-ta-jo
99,KN Sc(3) 103 + 5069 + 5145 (124-I),S,c,3,103,,,,LM II-LM IIIA1 or LM IIIB,6,ki-ra2-i-jo TUN 2 BIG 1̣ EQU
100,KN L 104 (124-X),L,-,-,104,,,,LM II-LM IIIA1 or LM IIIB,3,pa-we-pi ṛọ TELA;2
101,KN Xd 105 + 128 (124-4),X,d,-,105,,,,LM II-LM IIIA1 or LM IIIB,5,no i-ja // di i-*65-ke-o
102,KN Vc(5) 106 (124-S),V,c,5,106,,,,LM II-LM IIIA1 or LM IIIB,1,a-ki-re-u
103,KN Xd 107 (124),X,d,-,107,,,,LM II-LM IIIA1 or LM IIIB,3,o ma-ki pa
104,KN Vc(5) 108 (124-S),V,c,5,108,,,,LM II-LM IIIA1 or LM IIIB,1,za-ki-ri-jo
105,KN Ud 109 + 7499 (124-1),U,d,-,109,,,,LM II-LM IIIA1 or LM IIIB,3,a-ku-wo pa-ra-ja *256
106,KN Vc 110 (124-3),V,c,-,110,,,,LM II-LM IIIA1 or LM IIIB,1,a-ku-di-ri-jo
107,KN Uf(1) 111 + 134 + fr. (124-R),U,f,1,111,,,,LM II-LM IIIA1 or LM IIIB,6,a-p̣ụ2-ka p̣ạ-ja za-mi-so ku-ta-to DA 1
108,KN Sc(6) 112 (124-R),S,c,6,112,,,,LM II-LM IIIA1 or LM IIIB,1,a-ku-di-ri
109,KN Ce 113 (124-10),C,e,-,113,,,,LM II-LM IIIA1 or LM IIIB,4,o SUS 7 ḲỌ
110,KN V(1) 114 + 158 + 7719 (124),V,-,1,114,,,,LM II-LM IIIA1 or LM IIIB,10,a-mi-ni-so pa-ze pe-ḍạ wa-tu v.→ pa-ze a-mi-ni-so pe-da wa-tu vac.
111,KN Ai(1) 115 (124-B),A,i,1,115,,,,LM II-LM IIIA1 or LM IIIB,3,pa-ro u-wa-si-jo ko-wo
112,KN Xd 116 (124),X,d,-,116,,,,LM II-LM IIIA1 or LM IIIB,4,̣o-ke-te a-e ̣ e-ro-e-o
113,KN V(2) 117 + 8573 (124),V,-,2,117,,,,LM II-LM IIIA1 or LM IIIB,8,ne-jo -te 3 u-o wo-ne a-pe-o inf. mut.
114,KN V(1) 118 + 7561 (124-4),V,-,1,118,,,,LM II-LM IIIA1 or LM IIIB,3,po-ru-da-si-jo a2-ke-te-re 2
115,KN Xd 119 (124-λ),X,d,-,119,,,,LM II-LM IIIA1 or LM IIIB,2,-ne-ri-jo e-
116,KN Uf(1) 120 (124-4),U,f,1,120,,,,LM II-LM IIIA1 or LM IIIB,6,ti-ri-to DA 1 ri i-wa-ka ra-mo
117,KN Uf(1) 121 + 6027 + 8140 (124-α),U,f,1,121,,,,LM II-LM IIIA1 or LM IIIB,5,ja qe-da-do-ro pa-na-so DA 1
118,KN Xd 122 (124-X),X,d,-,122,,,,LM II-LM IIIA1 or LM IIIB,2,ja qe-re-wa
119,KN Vc(5) 123 (124-S),V,c,5,123,,,,LM II-LM IIIA1 or LM IIIB,1,-qe-wa
120,KN Ud 124 (124-1),U,d,-,124,,,,LM II-LM IIIA1 or LM IIIB,3,pa-ra-ja *256 1
121,KN Vc(5) 125 (124-S),V,c,5,125,,,,LM II-LM IIIA1 or LM IIIB,2,da-o-ta 1
122,KN Vc(5) 126 (124-S),V,c,5,126,,,,LM II-LM IIIA1 or LM IIIB,1,o-ko-te
123,KN Vc(5) 127 (124-S),V,c,5,127,,,,LM II-LM IIIA1 or LM IIIB,1,e-u-o-mo
124,KN Vc(6) 129 (124-R),V,c,6,129,,,,LM II-LM IIIA1 or LM IIIB,2,e-pi-da-o 1
125,KN Sc(2) 130 +231 (124-G),S,c,2,130,,,,LM II-LM IIIA1 or LM IIIB,8,ṛụ-o-wo ṬỤṆ 2 BIG 1 EQU 'ZE' 1
126,KN Xd 131 (124),X,d,-,131,,,,LM II-LM IIIA1 or LM IIIB,2,da-*22-to wo-no-da
127,KN E(1) 132 (124-7),E,-,1,132,,,,LM II-LM IIIA1 or LM IIIB,5,sup. mut. vest. GRA 202̣
128,KN Xd(5) 133 (124-S),X,d,5,133,,,,LM II-LM IIIA1 or LM IIIB,1,i-ne-u
129,KN Sc 135 + 5149 (124-β),S,c,-,135,,,,LM II-LM IIIA1 or LM IIIB,4,qa-mi-si-jo ⟦ TUN⟧ BIG
130,KN Vd 136 (124-S),V,d,-,136,,,,LM II-LM IIIA1 or LM IIIB,1,wa-na-ka
131,KN Vd 137 (124-S),V,d,-,137,,,,LM II-LM IIIA1 or LM IIIB,2,a-ta-ti-ṇụ si-ẉạ-
132,KN Vd 138 + fr. (124-S),V,d,-,138,,,,LM II-LM IIIA1 or LM IIIB,2,-me-no da-te-
133,KN Ce 139 + fr. (124-B),C,e,-,139,,,,LM II-LM IIIA1 or LM IIIB,7,a-ku-ṇạ-i OVIS 21̣ do-ti-ja OVIS 30 vac.
134,KN Xd 140 (124-7),X,d,-,140,,,,LM II-LM IIIA1 or LM IIIB,7,da-pu-ri-ṭọ pa-ze-qe ke-wo *47-ta-qo *47- inf. mut.
135,KN Sc(6) 141 (124-R),S,c,6,141,,,,LM II-LM IIIA1 or LM IIIB,1,pu-ra-ko
136,KN Sc(6) 142 (124-R),S,c,6,142,,,,LM II-LM IIIA1 or LM IIIB,1,pu-ko-ṛọ
137,KN Vc(2) 143 + 7579 (124-G?),V,c,2,143,,,,LM II-LM IIIA1 or LM IIIB,1,i-ke-se
138,KN Ce 144 (124-B),C,e,-,144,,,,LM II-LM IIIA1 or LM IIIB,9,sup. mut. e-re-pa-ṛọ BOS ZE a-pa-ta-ẉạ vest. inf. mut.
139,KN V(2) 145 (124-F),V,-,2,145,,,,LM II-LM IIIA1 or LM IIIB,28,sup. mut. ta-mo- u-wo-qe-ne u-du-ru-wo '4 o 6' we-re-we ku-pa-sa 4 o 6 we-re-we ḳạ-ta-ra-pi 4 o 6 a-ke-to-ro to-ni 2̣ o 10 ⟦ 40 o 3̣3 ⟧
140,KN Xd 146 + 155 (124),X,d,-,146,,,,LM II-LM IIIA1 or LM IIIB,9,sup. mut. vac. ḳụ-[•]-i-to a-pi-do-ro ma-u-do i-ja-wo-ne inf. mut.
141,KN V(2) 147 (124-B),V,-,2,147,,,,LM II-LM IIIA1 or LM IIIB,7,we-we-ro e-u-ru-qo-ta na-e-si-jo da-te-wa te-ra-pe-te inf. mut.
142,KN F(1) 148 [+] 7707 + 8014 + frr. (124-D),F,-,1,148,,,,LM II-LM IIIA1 or LM IIIB,11,ro-a ku ỌḶẸ 121 S 2 qa-mo ỌḶẸ 16̣7 vac. vac.
143,KN Xd 149 + 3121 (124-θ),X,d,-,149,,,,LM II-LM IIIA1 or LM IIIB,16,sup. mut. vac. e-ra tu-ni-ja ri-u-no to inf. mut. v.→ sup. mut. o 70 inf. mut.
144,KN V(1) 150 + 7624 (124-4),V,-,1,150,,,,LM II-LM IIIA1 or LM IIIB,3,"to-ko-so-ta ,̣ a-te-u-ke"
145,KN Ce 152 + 8256 (124),C,e,-,152,,,,LM II-LM IIIA1 or LM IIIB,41,je- ja-sa- ḄỌṢ 1 OVIS 1 C̣ẠP̣ ta-ta-ta BOS 1 OVIS 1 da-na OVIS 1 CAP 1 vac. v.↗ ạ-re-ko-to-re BOS 1 OVIS 1 CAP 1 ọ-ne BOS 12 OVIS 12 CAP 12 -na-i BOS 12 OVIS 12 CAP inf. mut.
146,KN F(1) 153 + 7348 + fr. [+] 7748 + 8529 (124-θ),F,-,1,153,,,,LM II-LM IIIA1 or LM IIIB,47,fragmentum A fragmentum B sup. mut. sup. mut. ạ-ṭạ-ti-nu Ṭ Ṿ .1 vest. a-e-da-do-ro T 3 ⟦V 2̣⟧ .2 e-u-ko-me a-me-ja T 3 V 2 .3 p̣ẹ-qe-ụ vac. T 4 inf. mut. vac. vac. inf. mut. v.→ sup. mut. -me-ṇọ •]-pi ta-pa-no ne-je-ta a-ka-i-jo a-ri-we-ẉẹ inf. mut.
147,KN Xd 154 (124),X,d,-,154,,,,LM II-LM IIIA1 or LM IIIB,17,ra-wa-ke-ṣị ma-ke-ra-mo qa-ra-su-ti-jo i-da-ra-ta •]-to-ko-ro vest. inf. mut. v.→ sup. mut. vac. vac. vac. 1 inf. mut.
148,KN Ce 156 (124),C,e,-,156,,,,LM II-LM IIIA1 or LM IIIB,7,sup. mut. -na-zo BOS te-wa-jo BOS 3
149,KN F(1) 157 + fr. [+] 7356 (124-D),F,-,1,157,,,,LM II-LM IIIA1 or LM IIIB,28,e-ko-so to-so GRA 400 ỌḶỊṾ 82 T 4 CYP+KU 5 T 3 CYP + 1 Ṭ 7 vac. inf. mut. vac. v.→ ạ-ko-ra-ja ḳụ vac. vac. inf. mut.
150,KN V(2) 159 + fr. (124),V,-,2,159,,,,LM II-LM IIIA1 or LM IIIB,19,sup. mut. ṭẹ-[•]-ta 6̣ vest. 83 ru-ki-to 15̣7̣ 55 ti-ri-to 45 ṣọ 34 pu2-te-re wa-si-ro 18 10 ra-pte-re 20
151,KN Uc 160 [+] 8032 (124-D),U,c,-,160,,,,LM II-LM IIIA1 or LM IIIB,54,sup. mut. vest. me-ri Z 3 ⟦ Ẓ ⟧ qi V 1 Z 1 VIN S 1 V 3 Z 2 V 5 Z 3 de-ṛẹ-ụ-ḳọ VIN S 4̣ Ṿ 5 Z 2 CYP 1 inf. mut. v.→ sup. mut. vac. 6̣ a-pi-po-re-we *209VAS 6̣ i-po-no *213VAS 14 vest. -ṛọ *212VAS 17 inf. mut.
152,KN Uc 161 (124),U,c,-,161,,,,LM II-LM IIIA1 or LM IIIB,11,OVIS 197 SUS 1 3 OLIV 30 NI 10 VIN 60
153,KN Ce 162 (124),C,e,-,162,,,,LM II-LM IIIA1 or LM IIIB,6,OVIS 10000 v.↓ ⟦ SUS:f ⟧
154,KN Ce 163 (124-B),C,e,-,163,,,,LM II-LM IIIA1 or LM IIIB,6,OVIS:m 7̣0 CAP:m 44 vac. vac.
155,KN B(2) 164 + 5666 + 7136 + 7544 + 8120 + frr.(3) (124),B,-,2,164,,,,LM II-LM IIIA1 or LM IIIB,21,sup. mut. VIR 37 ku-re-we ru-ẉọ VIR 143 ạ-ḍạ-wo-ne i-j̣ạ-wo-ne ku- 40 ọ-ḍạ- vest. 4 to- -to VIR 144 vac. vac.
156,KN E(1) 165 (124),E,-,1,165,,,,LM II-LM IIIA1 or LM IIIB,10,2 GRA 5 3 GRA 4 GRA T inf. mut.
157,KN Ce 166 (124),C,e,-,166,,,,LM II-LM IIIA1 or LM IIIB,5,•~• a-qi-ra e-u-ru-da-mo ṣọ-tu-wo-no vac.
158,KN Xd 167 (124-9),X,d,-,167,,,,LM II-LM IIIA1 or LM IIIB,1,do-ri-wo
159,KN Xd 168 (124),X,d,-,168,,,,LM II-LM IIIA1 or LM IIIB,2,ko-no-si-jo ru-ki-ti-jo
160,KN Xd 169 (124-9),X,d,-,169,,,,LM II-LM IIIA1 or LM IIIB,1,ḳụ-do-ni-jo
161,KN Vc(6) 170 (124-R),V,c,6,170,,,,LM II-LM IIIA1 or LM IIIB,1,wo-ra-ke-re
162,KN Vc(6) 171 (124-R),V,c,6,171,,,,LM II-LM IIIA1 or LM IIIB,1,ri-to-wo
163,KN U(1) 172 (124-9),U,-,1,172,,,,LM II-LM IIIA1 or LM IIIB,3,ke-ti-ro *180 1
164,KN Vc(7) 173 (124-V),V,c,7,173,,,,LM II-LM IIIA1 or LM IIIB,4,a-no-qo-ta ạ3 v.↓ je
165,KN Vc(5) 174 (124-S),V,c,5,174,,,,LM II-LM IIIA1 or LM IIIB,1,pe-ri-to
