id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
1231,KN Dv 1334 + 5324 + 8393 + frr.(4) (117),D,v,-,1334,,,,LM IIIA2 or LM IIIB,8,".A ki-ri-jo-te .B vest. ,̣/ pe-ri-qo-te-jo ỌṾỊṢ:ṃ 2̣0̣"
1232,KN Ga(2) 1335 (136),G,a,2,1335,,,,LM IIIA2 or LM IIIB,2,wo-ne-we p̣ọ-ni-ki-jo
1233,KN Dc 1337 + 1393 (117),D,c,-,1337,,,,LM IIIA2 or LM IIIB,11,".A a-te-jo OVIS:m 70 .B ku-ka-no pu-na-so ,̣ o OVIS:m 30"
1234,KN Da 1338 + 1448 + fr. (117),D,a,-,1338,,,,LM IIIA2 or LM IIIB,4,te-mi-ro di-ro OVIS:m 100
1235,KN Da 1339 + 5289 + fr. (117),D,a,-,1339,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 100 .B si-ki-to pu-so
1236,KN Db 1340 + 5263 + fr. (117),D,b,-,1340,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 75 OVIS:f 5 .B ra-ro su-ri-mo
1237,KN Da 1341 [+] 1454 + 8777 (117),D,a,-,1341,,,,LM IIIA2 or LM IIIB,5,ḍạ[-mi-]ṇị-jo -no-qa-ta p̣ạ[-]ị-to OVIS:m 400
1238,KN Dd 1342 (117),D,d,-,1342,,,,LM IIIA2 or LM IIIB,11,.A ra-to-jo OVIS:f 30 .B pa-i-to OVIS:m 267 pa OVIS:m 3
1239,KN Da 1343 + 7637 (117),D,a,-,1343,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 200 .B ta-pe-ro e-ṛạ
1240,KN Db 1344 + 6017 + 7268 + 7950 + 8235 (117),D,b,-,1344,,,,LM IIIA2 or LM IIIB,10,.A we-we-si-jo-jo OVIS:m 170 OVIS:f 30 .B •]-tu-to pa-i-to vac.
1241,KN Da 1350 + 1452 + 8778 + frr.(4) (117),D,a,-,1350,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 200 .B ka-ne-u-ta a-ka
1242,KN Da 1351 + 5255 (117),D,a,-,1351,,,,LM IIIA2 or LM IIIB,3,qa-na-no-to OVIS:m 25̣0
1243,KN Da 1352 + 5634 + frr. (117),D,a,-,1352,,,,LM IIIA2 or LM IIIB,8,.A em>]</em ụ-ta-jo-jo OVIS:m 200 .B ti-jo pa-i-to
1244,KN Da 1353 + 1467 + fr. (117),D,a,-,1353,,,,LM IIIA2 or LM IIIB,9,.A ⟦OVIS:ṃ 1̣0̣0̣ ⟧ OVIS:m 100 .B a-ri-ko da-*22-to
1245,KN Da 1355 (117),D,a,-,1355,,,,LM IIIA2 or LM IIIB,4,vest. di-ro OVIS:m 100
1246,KN Dc 1359 + 1387 (117),D,c,-,1359,,,,LM IIIA2 or LM IIIB,10,".A OVIS:m 87 pe OVIS:m 13 .B e-ra-to *5̣6̣-ḳọ-ẉẹ ,̣"
1247,KN Df 1360 + 5304 + 7679 (117),D,f,-,1360,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 36 OVIS:f 56 .B qe-ri do-ti-ja pe OVIS:m 8
1248,KN De 1361 + 8240 (117),D,e,-,1361,,,,LM IIIA2 or LM IIIB,11,.A te-]ra-po-si-jo OVIS:m 80 OVIS:f 8 .B ḍạ-ẉọ o OVIS:m 12
1249,KN De 1362 + 1473 (117),D,e,-,1362,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 170 OVIS:f 20 .B a-nu-mo qa-ra o OVIS:m 10
1250,KN Da 1363 + 1428 + 5683 + fr. (117),D,a,-,1363,,,,LM IIIA2 or LM IIIB,4,̣ki-*18-i-so qa-ra OVIS:m 100
1251,KN Dc 1364 + 1397 (117),D,c,-,1364,,,,LM IIIA2 or LM IIIB,9,.A OVIS:m 99 pa OVIS:m 1 .B se-me-tu-ro e-ra
1252,KN Da 1365 + 7256 + 8730 (117),D,a,-,1365,,,,LM IIIA2 or LM IIIB,6,.A -jo OVIS:m 100 .B ki-ri-jo-te
1253,KN Dd 1366 + 5360 (117),D,d,-,1366,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 72 OVIS:f 27 .B ṇạ da-wo pa OVIS:m 1
1254,KN Db 1367 + 1391 + 1513 (117),D,b,-,1367,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 95 .B e-wa-ra-jo do-ti-j̣ạ OVIS:f 5
1255,KN Db 1368 + 5906 + 5936 + frr. (117),D,b,-,1368,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 78 OVIS:f 22 .B tu-ma-da-ro da-wo
1256,KN Dc 1369 + 7156 (117),D,c,-,1369,,,,LM IIIA2 or LM IIIB,7,u-ta-jo ra-ja OVIS:m 80 o OVIS:m 20
1257,KN Dc 1370 + 1488 + 7189 (117),D,c,-,1370,,,,LM IIIA2 or LM IIIB,7,u-ta-jo tu-*56-da-ro e-ṛạ OVIS:m 15 OVIS:m 85
1258,KN De 1371 + 1480 + 7115 + 8741 (117),D,e,-,1371,,,,LM IIIA2 or LM IIIB,12,.A te-ra-po-si-jo OVIS:m 80 OVIS:f 8 .B o-to-ro-qa da-wo o OVIS:m 12
1259,KN Db 1372 (117),D,b,-,1372,,,,LM IIIA2 or LM IIIB,7,.A OVIS:m 76 OVIS:f̣ 2̣̣4̣ .B da-]wo
1260,KN Db 1373 + 1475 (117),D,b,-,1373,,,,LM IIIA2 or LM IIIB,6,pa-ra-to da-*22-to OVIS:m 72 OVIS:f 28
1261,KN Dd 1374 + 8151 (117),D,d,-,1374,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 72 OVIS:f 24 .B ma-ta-u-ro ri-jo-no pa OVIS:m 4
1262,KN Dd 1376 + 5288 (117),D,d,-,1376,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 70 OVIS:f 51 .B po-me pu-na-so pa OVIS:m 21
1263,KN Dq(2) 1377 + frr.(3) (216),D,q,2,1377,,,,-,4,pa-[•]-ṇạ ti-ri-to OVIS:m 50
1264,KN Da 1378 + 1405 (117),D,a,-,1378,,,,LM IIIA2 or LM IIIB,5,u-ta-jo wi-ja-ma-ro pa-i-to OVIS:m 50
1265,KN Da 1379 + 5207 + 5305 (117),D,a,-,1379,,,,LM IIIA2 or LM IIIB,4,i-ne-u ri-jo-no OVIS:m 50
1266,KN Dd 1380 + 7151 + 8608 (117),D,d,-,1380,,,,LM IIIA2 or LM IIIB,12,.A ̣ OVIS:m 108 OVIS:f 8 .B ̣te-ru-ro da-*22-to pa OVIS:m 4
1267,KN De 1381 + 1497 + 7267 + 7963 + fr. (117),D,e,-,1381,,,,LM IIIA2 or LM IIIB,12,.A e-me-si-jo OVIS:m 192 OVIS:f 8 .B mo-qo-so pu-na-so o OVIS:m 20
1268,KN Da 1382 + 1482 (117),D,a,-,1382,,,,LM IIIA2 or LM IIIB,5,u-ta-jo mi-ni-to ri-j̣ọ-no OVIS:m 110
1269,KN De 1383 + 5679 (117),D,e,-,1383,,,,LM IIIA2 or LM IIIB,12,.A u-ta-jo-jo OVIS:m 66 OVIS:f 19 .B ṛọ ku-ta-to o OVIS:m 25
1270,KN Da 1384 + 5684 + 5702 + 7247 + 8548 + fr. (117),D,a,-,1384,,,,LM IIIA2 or LM IIIB,9,.A u-ta-jo OVIS:m 100 .B ti-ri-jo-ko-so *5̣6̣-ko-we ⟦ ⟧
1271,KN Ga(5) 1385 + 1537 (221),G,a,5,1385,,,,LM IIIA2 or LM IIIB,2,ti-ri-ti-ja ki-ta-no
1272,KN Dv 1386 + 8575 (117),D,v,-,1386,,,,LM IIIA2 or LM IIIB,3,a-te[-jo ti-ri-to qa
1273,KN Dv 1388 (117),D,v,-,1388,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 76 ỌṾỊṢ:f̣ .B e-u-me-ta ra-ja pe-ri-qo-te-jo
1274,KN Db 1389 + 1590 + 7197 (117),D,b,-,1389,,,,LM IIIA2 or LM IIIB,9,.A ̣ OVIS:m 82 OVIS:f 18̣ .B ̣e-u-ko-ro ti-ri-to
1275,KN Da 1390 + 5351 + 5382 + 5417 + frr. (117),D,a,-,1390,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 200 .B e-u-mo ra-to
1276,KN Da 1392 + 1619 + 7112 + fr. (117),D,a,-,1392,,,,LM IIIA2 or LM IIIB,8,.A a-te-jo OVIS:m 100 .B ku-ke-to se-to-i-ja ạụ-to
1277,KN Da 1394 [+] 5052 + fr. (117),D,a,-,1394,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 50 .B ku-ta-si-jo ṭị-ri-to
1278,KN Da 1396 + 5249 + 5339 (117),D,a,-,1396,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 100 .B ku-ne-u da-wo
1279,KN De 1398 + 7148 + 7155 + 7199 (117),D,e,-,1398,,,,LM IIIA2 or LM IIIB,12,.A OVIS:m 75 OVIS:f 5 .B se-do ra-ja u-ta-jo o OVIS:m 20
1280,KN Dk(2) 1399 (119),D,k,2,1399,,,,LM IIIA2 or LM IIIB,6,.A X OVIS:m .B se-u da-mi-ni[-jo
1281,KN Da 1401 + 7998 + fr. (117),D,a,-,1401,,,,LM IIIA2 or LM IIIB,4,-wi da-*22-to OVIS:m 150
1282,KN Dd 1402 + 1593 + 2007 (117),D,d,-,1402,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 52 OVIS:f 46 .B wi-da-ka-so su-ri-mo pa OVIS:m 2
1283,KN Dc 1403 + 5587 + 7217 + 7234 (117),D,c,-,1403,,,,LM IIIA2 or LM IIIB,9,.A OVIS:m 93 .B wi-*65-te-u *56-ko-we pe OVIS:m 7
1284,KN Dh(1) 1406 + 5678 + 8046 + fr. (117),D,h,1,1406,,,,LM IIIA2 or LM IIIB,13,.A ki OVIS:m 75̣ p̣ẹ OVIS:m 10 vacat .B su-ma-no ti-ri-to vest. vacat
1285,KN De 1409 + 1617 + 5791 (117),D,e,-,1409,,,,LM IIIA2 or LM IIIB,12,".A OVIS:m 71 OVIS:f 2 .B ta-de-so ,̣/ e-ko-so o OVIS:m 47"
1286,KN Dc 1410 + 1514 (117),D,c,-,1410,,,,LM IIIA2 or LM IIIB,9,.A OVIS:m 91 .B ta-na-po-so pu-so pe OVIS:m 1
1287,KN Dv 1411 (117),D,v,-,1411,,,,LM IIIA2 or LM IIIB,1,ri-ja-ta
1288,KN Dv 1412 (117),D,v,-,1412,,,,LM IIIA2 or LM IIIB,1,ri-di-ne-to
1289,KN Da 1415 + 7074 (117),D,a,-,1415,,,,LM IIIA2 or LM IIIB,7,.A u-ta-jo .B ri-ma-zo tu-ni-ja OVIS:m 200
1290,KN Ws <1713> (-),W,s,-,1713,,,,-,3,RU supra sigillum
1291,KN Dc 1417 + 7097 (117),D,c,-,1417,,,,LM IIIA2 or LM IIIB,12,".A ̣ OVIS:m 49 o OVIS:m 30 .B ̣po-to ru-ki-ṭọ ,̣ u-ta-jo"
