entry_id,page,languages,n_languages,n_forms,raw_text
13,274,"Malt.,Pkt.,Skt.,Tu.,Te.,Ta.,Ka.,Kur.",8,22,"Ta. ukkari, ukkarai a variety of sweet- cake; ukkali a sweet confection. Ma, ukkali a kind of cake. Te. ukkera sweetmeat pre- pared for children with rice flour, ghee, and 510 APPENDIX sugar. / Skt. utkarika-, BHS ukkarika-, ukki- rika- a kind of sweetmeat. DED(S) 483. 14 Kur. udal a jungle tree, the bark of which yields fibres used in rope-making. Malt. udali a tree the fibre of which is used in decorating the Chamda bamboos. / Turner, CDIAL, no. 1990, uddala- the tree Cordia myxa or latifolia (Pfeiffer). DED 531. 15 Kur. uphrd flea (of dogs, cattle, etc.). Malt, upra a goat-flea. /Turner, CDIAL, no. 1821, utpdtaka-; Pkt. uppada- a particular kind of insect. DED(N) 542. . 16 Ta, umpalam, umpifikkai land granted rent-free for the performance of services. Ka. umbagi, umbarige, umbugi, ummari, ummagige, ummugi, ummuyige rent-free grant of a plot of land or of a village. Tu. umboli a freehold, land granted without rent, any present. Te. (B.) umbalamu, umbali, um- balika free from taxation. /Skt. udbali- free of tax (inser.; JEG, pp. 348, 350). DED (N) 549."
14,22,"Te.,Ta.,Ka.",3,7,"Ta. avig (-v-, -nt-) to become loose, untied; (-pp-, -tt-) to loosen, untie, unpack. Ka. agal to become loose; agulu to become loose as a peg. Te. agulu to be unfastened, loosened, separated. DED 15."
15,22,"Malt.,Tu.,Te.,Ta.,Kod.,Ga.,Kur.",7,14,"Ta. akai (-v-, -nt-) to flourish, sprout; (-pp-, -tt-) to sprout, rise; to raise; akaippu rising, elevation. Ma, aka germ, bud, shoot; akekka to bud; ava bud, esp. the fruit-like sprout of Artocarpus; avekka to sprout. Ka, aye scedling, shoot from the root of a plant or tree, sprout, Kod. age paddy seedling. Ti. agge the shoot of a branch, Kur. akhua seed- bud, sprout, shoot; akrarna (o yerminate, dhoot, sproul CE 43S kha, aku. DEDOS) 16. akkili-pikkili 16 Ta, akai (-v-, -nt-) to be broken, crumpled, suffer; (-pp-, -tt-) to break, cut in pieces, beat, trouble, oppress. Te. agalu to break or go to pieces, burst; agalincu, agui(ujcu to break (ér.), burst. Ga. (S.*) ag- to be torn; akp- to tear. DED 17. 17 Kur. axna (axcas, akkhas) to know, realize, experience, mistake for; axka, akhka knowledge, experience. Malt. age (aqqa) to know, understand; agre to get accustomed to. DED 18. . 18 Kur. axrna to warm oneself (by the fire, in the sun). Malt. awge to expose to the heat of the sun or fire; awgre to bask in the sun, warm oneself at a fire. DEDS 4. 19 Ta, akkakkay asunder. Tu. akkakka, akkolu n. part; ady. asunder. DED 19."
17,275,"Skt.,Tu.,Ka.",3,4,"Ka. oggarane, aggarane a kind of seasoning; oggarisu to season, spice. Tu. oggarane seasoning. /Pkt. *vaggharana- id. (cf. vaggharia- seasoned); Turner, CDJAL, no. 12191, Skt. vyaghdrayati; Katre, pp. 73-4. DED 789."
18,275,"Pkt.,Skt.,Ta.,Ma.",4,6,"Ta. Gccan male of a caste, members of which officiate as priests in temples sacred to village goddesses; uvaccan member of a caste of temple drummers and pOjaris of Kali. Ma. Occar a class of Maran Stidras, who beat the drum in temples. /Turner, CDIAL, no. 2301; Skt. upadhyaya- > Pkt. ojjhda- > H. ojha, etc. DED(S) 874."
19,275,"Tu.,Ka.",2,4,"Me. Sppam, Sppu smoothing; oppuka to touch softly, sponge, wipe. Ka. oppa lustre, polish. Tu. Opu, (B-K.) oppa polish. / Turner, CDIAL, no. 2556, *dpp- (e.g. Mar. op polish, opayiné to polish, H. opna id.); Katre, p. 76. DED(S) 889."
20,275,"Pkt.,Skt.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.",9,15,"Ta. kaccai rope, girth, girdle, belt, piece of new cloth; kaccu belt, girdle. Ma. kacca girdle, waist-belt, long cloth. Ko. kacv perineal cloth. To. koé embroidered perineal cloth; koc cloth given at funeral. Ka. kacce cloth passed between the legs. to cover the privities, girdle. Kod. kacce perineal cloth. Tu, kacce end of lower garment gathered up behind and tucked into waistband. Te. kacca end of the lower garment passed between the legs and tucked in behind; kaccadamu cod- piece. /Turner, CDIAL, no. 2592, Skt. kaksya-; cf. esp. Pali Pkt. kaccha-. DED 922."
21,275,"Skt.,Tu.,Te.,Ta.,Ma.,Ka.,Kod.",7,12,"Ta. katakam bracelet; katai clasp, fastening of a neck ornament. Ma. kafakam bracelet, ring. Ka. kadaga, kataka bracelet; kade, kadeya id., ring. Kod. kadaga thick metal bangle. Tu. kadaga bracelet. Te. kadi- yamu, kademu id., bangle. /Turner, CDIAL, no. 2629, Skt. kataka- bracelet, link of chain, bridle ring; cf. H. kara, kari ring, bracelet, ete. DED 931."
22,22,"Pkt.,Skt.,Tu.,Te.,Ma.,Ka.,To.,Kod.,Go.,Kuwi",10,12,"Ka. akkale cockroach. Tu. ekkale, ekkalu id. Kor. (M.T.) hakkala id. DEDS(N) 2. 23 Ta, akka, akkai, akkan, akkattai, akkal, akkacci, akkaicci elder sister. Ma. akka id., wife of an elder brother, elderly maternal or paternal cousin, a term of endearment denoting an elderly woman. Ko, akn. elder sister or female parallel cousin. To. okn, okok id. Ka. akka (nom. sg, akkam, i.e. akkan, nom, pl. akkangal/akkandir) elder sister; a woman older than oneself is usually termed akka, endearingly girls are also so called by their elders. Kod. akké elder sister or female parallel cousin. Tu. akka, akké elder sister. Te. akka id. Kol, (SR.) akkabai id. Go. (L.) akka, (Ma.) akkal(i) (pl. akkasku), (S.) akkal (ol. akkahku) id.; (Mu.) akka husband’s elder sister (Voc. 3a); (Tr.) takka (pl. -hk), (Ph.) takka, takkar (pl. takkahk), (W.) takka elder sister (Voc. 1640); (ASu.) takka (pl. -k) id. (used only with reference to 2nd and 3rd person). Kuwi (isr.) aka/akey voc. used to younger girls. /Cf. Skt. ex.) akka- mother, Pkt. (DNM) akka- sister. DED (S) 24."
23,275,"Skt.,Tu.,Te.,Ta.,Ka.,Kod.",6,11,"Ta. katitam canvas on which paste is applied before writing, painting or drawing upon it; paper, Ictter. Ka. kadita, kadata book made of folded cloth covered with charcoal paste, on which one writes with balapa. Tu. kadata cloth covered with a composition of charcoal and gum and used instead of a slate for writing. Te. kaditamu account-book of cloth covered with a black paste, written on with a kind of soft stone. / Skt. (lex.) kaditram a skin for writing on, leather for writing on; cf. Burrow, Belvalkar Felicitation Volume, pp. 5 f. DED(S) 949. 24 Ka, kaddi small stick, bit of wood, fibre or vein of a leaf, bit of a stem or a haulm, small stick used for writing. Kod. kaddi small stick, bit of wood. Tu. kaddi the fibre or vein of a leaf, a very small stick. Te. kadd¥ stick (esp. of metal), bar, ingot, slate pencil. /? Mar. kadi (Master, OMar., . 107) match-stick, (Turner, CDIAL, no. 3017) little stick, blade of grass. Turner, CDIAL, no. 3120, kastha-, fas only items with th/tth Q@vhence DBIA 68, from which Ka. Kod. kaddi are to be separated). Is it possible that the items in the present entry are of Dr. origin, perhaps 1370? DEN DBIA $3."
