entry_id,page,languages,n_languages,n_forms,raw_text
948,65,"Tu.,Ma.",2,4,"Ma. oti side, piece of ground, division or range of ricefields. Tu. odi border; division, plot, or range of ricefields. DED 801."
949,65,"Te.,Ta.,Ma.",3,5,"Ta. oticil brickbat, kavan [i.e. sling}. Ma. oticil, otisil sling. Te. odisela id. DEDS 110."
950,65,"Tu.,Te.,Ta.,Ma.,Ka.",5,6,"Ta. otu festering sore; ofu-kkatfi boil in the armpit. Ma. ofuvu bubo; ofi- kkuru bubo, rupture. Ka. odise, oducu bubo; udacu, uducu venereal boil in the iliac region; udi a kind of disease. Tu. odi bubo. Te. (B.) odise-gadda, vadise-gadda bubo. DED 802."
951,65,"Ta.,Ma.,Go.",3,7,"Ta. otu, ofuvan, otuvai, ofaicci, (Lush.) otuku, otuppai the tree Cleistanthus collinus. Ma. orks odukku id. Go. (M.) orcha id. (Voc. 419). DEDS 111."
952,65,"Ma.,Ka.",2,2,Ma. otukkuka to pay taxes. Ka. offaja tribute. DED 803.
954,65,"Malt.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Kui,Kol.,Kur.",10,39,"Ta. ofunku (ofufki-) to be restrained, become tranquil, become reduced, grow less, shrink, slide to one side (as when meeting a ott® {92} od- superior), be subservient, be concealed, hidden, cease (as noise), be weary; otukku (otukki-) to subjugate, reduce, restrain, subdue, rob; nm. contraction, compression, that which is narrow, dent or depression in a metal utensil; otukkam narrowness, close- ness, self-restraint, reduction, contraction, place of concealment, secrecy, gradual sinking (of circumstances, of the powers of the body); otunikal obstacle, impediment; otuttki tortoise (as that which contracts). Ma. ofu- nhnhuka to come to an end, die (esp. of small- pox); oftukkuka to finish, destroy; otukkam the end; finally; otuka to come to an end; ofuvu the end. Ko, org- (orgy-) to be de- stroyed; ork- (orky-) to reduce (iron) in breadth. To. widg- (widgy-) to be crushed; witk- (wirky-) to crush, beat black and blue. Ka. udugu, udagu to subdue, restrain; shrink, shrivel, contract, be bent, decrease, fail, fade, be finished, desist, leave, quit, abandon, stop, remove; udugisu, udagisu to cause to shrink, etc.; lessen (as strength); udukisu to restrain, keep in, tighten, com- press, straighten, vex, oppress. Tu. odungelu, odunkelu, odkelu, odka the end; odungeluni to cease to bear ‘fruit. Te. udugu, uduvu to give up, quit, leave, stop, cease, desist from; udupu to remove, efface, wipe away (or with 1009 Ta. ogi); (K.) dufiku to be lowered, diminish, be subdued; dofiku to dry up,"
956,66,"Tu.,Ma.,Kod.",3,5,"Ma. otti, orra a kind of cake. Kod. otti round wafer of rice flour eaten with rice and curry. Tu. odé, odetaddye a kind of cake. DED 805."
957,66,"Ta.,Ma.,To.,Ko.",4,5,"Ta. ottiyam kind of witchcraft. Ma. Ottiyam sorcery, witchcraft; oti sorcery; Ofiyan sorcerer, esp. of low castes; ofikka to use witchcraft; otikkuka to practice sorcery, use witchcraft. Ko. orc- (orce-) (Kurumba) kills by witchcraft. To. wiry witchcraft practised by Kurumbas; wiry- (wirc-) to bewitch, kill by magic. DED 806."
958,66,"Tu.,Te.,Ta.,Ka.,Ko.,Ga.",6,12,"Ta. ottu (ofti-) to stick (as with paste or gum), glue on, betake oneself to, make friends with; n. patch, piece stuck or fastened on, birdlime, union, friendship; oftal adhesion, attachment; offi that which adheres to, coheres with; otfinar friends, adherents; ottalan foe; ot{ar foes; ontu (onfi-) to join (tr.). Ma, oftuka to adhere, stick; oftikka to paste, glue; offal adhesion; offam what holds together, stops a leak; ottu glue, union; otfalar enemies. Ko. of- (oty-) to stick (intr.); ot- (oc-) to fasten up (hair) on nape of neck. Ka. otfu to become joined, adhere to (as mud, etc.), come together, assemble, become a mass or heap; join (t7.), put together, pile up; n. close adhering or cohesion of a lump of clay, conjunction, union, total, heap, pile; ottaje heap, mass, company; oftaysu to collect, assemble, etc.; offalu a mass, heap; ottil a handful; ottike heaping; ottisu to join (#.), heap, cause to heap or pile up; oddu to heap up; m. a mass, heap; odda, oddana a pile, heap, army. Tu. ottumt to heap, pile up; oftu total, the whole. Te. (B.) ottu a total; (K.) ottu to arise (as fear), accumulate, be put together; to put (as fire). Pa, otp- (oft-) to apply whitewash, etc. Ga. (P.) orp- (ort-) to smear with cowdung. DED (S) 807."
959,66,"Pkt.,Te.,Ta.,Ma.,Ka.,Kui,Kuwi,Kol.",8,13,"Ta. oftu (ofti-) to wager, stake, bind oneself to do a thing; n. oath; ottam a wager, stake. Ma. ottam a wager, stake at play. Ka. oftu a vow, solemn promise, oath; (PBh.) to make a vow; oddu to put a stake at play; n. a Stake at play; odda a wager, bet. Te. oftu an oath; oddu to wager, stake, bet: #. a wager; oddanamu, oddimi a stake, wager. Kol. (Pat., p.91) od oath. Kui oda (odi-) to swear an oath; 2. swearing. Kuwi (S.) ottinai to swear; (F.) ‘Stali to take an oath; (Isr.) ofu proof. /Cf, Pkt. (NM) hudd#- a wager; hodda- id.; Turner, CDIAL, no. 14175. DED (S, N) 808."
960,66,"Malt.,Ta.,Kur.",3,5,"Ta. ottu; ? cf. 2982 Ta. tonkan. DED (N) 804. 955 Kur. ott& joint in a bamboo stem, knot in a plank, bony protuberance of limbs; (Hahn) a joint of the limbs or fingers. Malt. ofge ankle. DEDS 114."
961,66,"Te.,Ta.,Ma.,Ka.",4,9,"Ta. oftiyanam gold or silver girdle or belt worn by women. Ma. ufafifian gold chain round the loins. Ka. odyana, oddyana, oddana, oddavana, oddivana, odvana belt of gold or silver chiefly worn by women. Tu, odyane, odyana belt or girdle made of gold and generally worn by a devil-dancer. Te. oddanamu belt of gold or silver worn by women. Probably < *oti-fian waist-string (see aL 2908); cf. esp. Ma. ufafifian. DED (N) 8"
962,66,"Malt.,Tu.,Te.,Ma.,Ka.,Ko.",6,16,"Ko. od- (ody-) to set (net, spring- trap). Ka, oddu to place, put, lay, put towards, present, hold (the hands) so as to receive, ‘catch or support a thing, fix; oddike, odduvike putting, etc.; oddisu to cause to put, etc. Tu. odduni to hold or stretch out (as the hand); oddavuni id.,‘set (a snare), cast (a net). Te. oddu to stretch out, extend, present, offer, spread (as a net), throw, cast; (Inscr.} oduku to give, deposit. Go, (SR.) urrang to put a noose (Voc, 268). Malt. oddu [93] opnad adye to lay a snare. / Cf. Pali oddeti to throw” out (a net), lay (snare). DED(S) 811. 963 (a) Ka. oddu to become opposite, oppose, counteract, resist; (PBh.) oddana a shield. Te. oddu to interpose, prevent; n, an obstacle. Malt. odenre a shield. DED (S) 812. (b) Ta, ottaram obstinacy, stubbornness, perversity. Ma. otfaram id. Te. oddaramu enmity, opposition; oddarincu to be hostile. 964 Ka, oddu the original number whether multiplicand or dividend. Tu. odde multipli- cation table. Te. oddu the multiplicand. DED 833."
965,66,"Te.,Ka.,Ko.,Kuwi,Kur.",5,6,"Ko. od slope of hill. Ka. oddu bank, causeway; ondi bank, shore. Te. oddu id. Go, (S. Ko.) odu raised bank of river (Voe. 403). Konda odu bank of a river or stream. Kuwi (Su. P. Isr.) odu bank of river: Kur. otta shore. DED(S) 814."
966,66,"Tu.,Ta.,Ma.",3,3,Ta. oftu stubble. Ma. ofu id. Tu. oddu id. DED 815.
967,66,"Te.,Kui,Kuwi,Kol.",4,8,"Te. odikamu prettiness, beauty, el- egance. Kol. (Pat., p. 107) odav attractive. Kui oda (odi-) to be clear, pure, bright; n. purity, cleanness; pl action otka (ofki-). Kuwi (F.) odi(ti) clear (of water); (S.) oth’nai to purify, refine, heal; othpinai to heal; otpinai to cleanse; otpi képinai to clean; (Mah.) oddamne beautiful; (Isr.) od- (-it-) to grow well, recover; be filtered; of- (-h-) to strain, filter; otpi ki- to make clean, cause to be clean. DEDS(N) 112."
968,66,"Tu.,Te.,Ta.,Ma.",4,4,Ta. oftu-kkafukkan small ear-ring. Ma. ontya a kind of ear-ring. Ke. onti a sort of Jarge gold ear-ring. Tu. onti an ear-ring. Te. ontu a sort of ear-ring worn by men. DED 16.
969,66,"Malt.,Ta.,Ko.",3,7,"Ta. ontu (onti-) to take shelter, con- ceal oneself (as a person to shoot game), lurk (as an animal for prey); ottu (ofti-) to play the eavesdropper, lurk, lie in ambush. Jr. ondal shed, shelter, hiding-place. Ko. od- (ody-) to crouch down behind shelter, eavesdrop. Ga, (S.2) onda den (of wild animal). Malt. ode shelter, refuge; odye to screen, shelter. ?Cf. Kur (Tiga) ordrna to take shelter. DED(S) 817."
970,66,"Te.,Ka.",2,6,"Ka. onfu to agree (with one’s health), be salubrious. Te. ontu to be agreeable, wholesome, or salubrious, (K. also) be friend- ly; onfami disagreement, enmity; onfaramu enmity; ontimpu convenience, aid, help. DED(S) 818."
971,66,"Te.,Ko.",2,3,"Ko. onfgyn boar. Te. ontikadu, onftigddu wild boar. DED 819."
972,66,"Te.,Ta.,Ma.,Ka.,To.,Ko.",6,14,"Ta. ottacai aid, help, assistance. Ma. ottasa help. Ko, otaec id. To. wito® id. Ka. ottase id. ?Cf. 609 Ta. utavu. DED 820. 973 (a) Ta. ottu (otti-), orru (orri-) to make room for; orri-pp6- to go away from; orti- vai- to place out of the way, adjourn. Ma. orruka to step aside, retire, cringe. Ko. ot- (oty-) to precede on the way, go fast. Ka. ottu to give way, leave space, step aside. Te. ottu, ottilu, ofttillu, ottigillu to step aside, make way, move out of the way. (b) Ta. otufku (otufki-) to get out of the way, step aside (as a mark of respect, before a superior), retreat, be defeated, seek refuge; be finished, settled, adjusted, completed; otukku (otukki-) to put on one side (as the hair), cause to get out of the way (as cattle in the road), push into a corner, separate (as persons in a quarrel), gather on one side or tuck up (as one’s clothes while crossing a river), place out of reach, expel (as from caste), dispatch (as a business), settle; m. that which is apart, refuge, screen; otukkam privacy, retiring, hiding-place. Ma, otufifuka to give way, step aside, yield; be adjusted; otukkuka to subdue, settle: otukkam subjec- tion, being settled and compressed; otukku shelter. To. wi8x- GviOxy-) (horns of fighting buffaloes) slip apart. Te. odtigu to move or step aside, make room, sidle, shrink from, sneak, slink. DED 821."
974,66,Ta.,1,1,"Ta. ottu (otti-) to keep time with cymbals or with the hands; 7. time in music. Ma, ottuka to jump, skip, dance, indicate the time (of music by moving the eyebrows). DED 822."
975,66,"Malt.,Te.,Ta.,Ka.,Kui,Kur.",6,9,"Ka. ottu to cut or break betel nut. Te. ottu to cut or break with nippers. DEDS 115. 976 Kui ota (oti-) to fetch (persons). Kur. otthOrma (otthras) to take out, bring out, expel; ond°rna (ondras) to bring, take along, take for wife. Malt. otre to take out, bring out; ondre to bring. Cf. 984 Ta. oy and ? cf."
980,66,"Ka.,Kod.,Kur.",3,10,"Ka. onali, ondari, ondri, vandari, vandare, vandri a sieve, strainer; one, one to winnow, sift; onasu, onisu to cause to shake to and fro; (Gowda) oficu to sift. Kod. onali a sieve. DED(S) 827. 981 Kur. opna to wet, soak (with a view to softening and preparing for work); refl.- pass, oprna. Malt, oprare to become soft (as earth by water). DED 828. oppati [94] oru"
982,67,"Malt.,Mand.,Tu.,Te.,Ta.,Ka.,To.,Kod.,Bel.,Pa.,Ga.,Go.,Kui,Kuwi,Kol.",15,26,"Ta. oppati harvest. Te. obbidi threshing of corn. DED 829. 983 Ka, obbatfu, obbiftu a kind of sweet cake. Te, obbattu id. DED 830. 984 Ta, oy (-v-, -nt-) to drag along (as a flood), launch (as a boat), send forth, give; oyyal forwarding, giving; uy (pp-, -tt-) to carry, take away, lead, guide, send, discharge (as arrow), give. To. iiy- (iis-) to chase. Ka. oy, uy (oyd-) to carry off, conduct, carry, convey; osage a gift, present; (Hav.) occu to row a boat. Kod. uyti force. Tu. oyipuni to draw, pull, drag; oyipavuni to cause to draw or pull; oyilu force or velocity of a stream; occiyuni to deliver, give in charge; occuni to row a boat. Bel. (LSB 2.1) ogi to pull. Te. osfgu, osavu to give; 7. a gift; uccu to send. Pa, uy- (ufi-) to carry, take, take away. Ga. (OUL) uy- (ud-, un-) to take, take away. Go. (A. Y. G. Mu.) oy-/6- to take, take away, carry; (SR.) oyana to take; (Tr.) woiand, QV.) woina, (Ph.) voitana, voiand to take away; caus. (Ph.) vosahtanad; (Ma. Ko.) oy-, (M.) oyanad to carry (Voe. 414). Konda o- (-t-) to carry, take away, take along with oneself; caus, opis-. Pe, 5- (-t-) to take. Mand. - (-t-) id. Kui opa (ot-) to lead away, take away (persons); 7. act of leading away; Ova (Ot-) to take away (things), take, receive; n, act of taking. Kuwi (F.) oiyali (6-) to take away, remove. Kur, ho’ona (occas/hoccas) to take, receive, transport, conduct; reff. ho’orna; pass. hotarnd; caus, hOota’and. Malt. oye (oc-) to take away. Cf. 931 Kol. ok-, 976 Kui ota, and 1051 Pa. "
986,67,"Tu.,Ka.",2,7,"Ka. oykane orderly, properly, exactly, clearly. Tu. vaimé straightness, fitness, rectitude. Te, ogi order, a range or line; ogin in order, Kur, uira’ana to put in order, arrange. DEDS(N) 116."
988,67,"Tu.,Ka.",2,2,"Ka. (Hav.) orale, (Gowda) orlE, (Hal.) alle, valle white ant. Tu. orale id. Kor. (M. T.) orle id. From DEDS(N) 75."
989,67,"Malt.,Mand.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.,Pa.,Ga.,Go.,Kui,Kuwi,Kol.,Br.,Kur.",18,28,"Pa. ori, orin yesterday. Ga. (OL, S.) orgun id. Cf. 929 Kol, okkod. DED 833. 990 (a) Ta. oru (before consonant), or (before vowel) one; ori (-pp-, -tt-}) to be united in harmony; orukkam oneness, same- ness; orukka for each; orukku (orukki-) to bring together; orunku altogether, simul- taneously; (orunki-) to have a singleness of aim or purpose, join together; oruttan, oruvan a male person; fem. orutti; oruttu concentration of mind; orumi (-pp-, -tt-) to be in unison, unite; orumikka together; orumippu union, harmony, undivided atten- tion; orumai oneness, union, singleness, loneliness, uniqueness, concentration of mind; oruvar one person (fon.); oruvu (oruvi-) to resemble, equal; oré only, one; oru-talai one- sidedness; Ormai unity; Or-onru, ovv-onru each one, one at a time. Ma. oru, dr one, the same; oruvan, oruttan one man; fem. oruval, orutti; orukkuka to bring together; oruma union, harmony; orumikka to join, be recon- ciled; Grd, Stdrd, Gro6nnu cach one. Ko. or paeny one paeny measure; or karm one karm measure; or port half of the day; oer ak one olk measure; oer asy one year; oeraele co-wife; 0 caery one side; o budy of one mind; orrvis one at a time, once every day; obi+ same place, together; o-tal crookedness (e.g. of mouth), deviation from straight line or perfect shape or position, one side (off the path); otalg- (otalgy-) to go on one side, avoid by going around; ? ong- (ongy-) to bea half-breed, change (imtr.) magically into something else; onge- (ongce-) to bree"
991,67,"Ta.,Ma.,Ka.",3,9,"Ta. oruhku (orunfki-) to sink, decline, become reduced, be ruined, perish; n, suppression, restraint; orukku (orukki-) to subdue, control, kill, slay. Ma. orufifiuka to yield. Ka. oggu to bend, bow, become sub- missive. Te, oggu to bend, turn towards, become submissive, yield. DEDS 118."
992,67,Ma.,1,1,"Ma. orunfuka to be ready; orukkuka to prepare, get ready; orukkam preparation, Te, oggu to be prepared or ready, undertake. DEDS 119."
993,67,"Ta.,Go.",2,6,"Ta. oruvu (oruvi-) to abandon, re- nounce, pass over, escape, be excepted; oruvu, ortiu, ortiutal leaving, separation, renunciation. Go. (Ma.) ori- to move aside; (SR.) vorke aside (Voce. 415). DEDS 120."
996,67,"Malt.,Te.,Ta.,Ma.,Ka.,Ko.,Kod.,Br.,Kur.",9,19,"Ta. oli Cpp-, -tt-) to sound, roar; 7. sound, noise, roar, speech; olippu sonorous- ness, roar; Of sound, lullaby; slam sound, noise, roar, cry of lamentation; 61 Attu to sing oli [96] ollu a lullaby; ulampu (ulampi-) to make a noise, roar, thunder; ulappal, ulampal combined noise of many sounds; dlu (Oli-) to make a noise. Ma. oli a sound; olikka to sound, as running water, ring bell; ulampuka to make a noise; ulappam hubbub, clamour; slam cry for help; ol howling; a jackal. Ko. oj noise; o-l aef- (a+c-) to drive round bullocks when threshing. Ka. uli (ulid-) to sound, cry, utter, speak, say; m. sound, cry, word; ole a sound; (PBh.) to utter; ulipa, ulipu, ulivu, uluvu a sound, cry. Kod. oli noise of a metal bell. Te. uliyu to sound, resound; ulivu sound, voice, Kur. ol°xnad (ulxyas), in phrase cixna ol©xnd to bewail, lament. Malt. olge to cry, weep. ? Br. hdghing (also stem h6-) to weep (: Malt. olge). Cf. 5283 Ta. vali. DED(S) 837."
997,68,"Tu.,Te.,Ta.",3,7,"Ta. oli (-v-, -nt-; -pp-, -tt-) to shoot forth, be luxuriant, prosper, thrive; oliyal luxuriance, shoot, sprout; ulavai green twig with leaves upon it, branch of a tree, grove. Ka, ole to appear, come to light. Tu. ulevuni to shine. Te. olayu to appear, arise, happen, (K. also) occur, increase, shine. DED 838."
998,68,"Tu.,Ta.,Kod.",3,9,"Ta. oli (-pp-, -tt-) to wash as clothes, remove as dirt. fa. olumpuka to wash clothes by shaking them in water, rub off, shake off, cleanse; ulampuka to rinse. Kod. oli- (olip-, olic-) to wash (clothes); olap- (olapi-) to wash (plates, pots); olamb- (olambi-) to gargle and spit out (water). Tu. olapy, olam- pu, olpe cleanliness, purity; lumbuni_ to plunge, wash, rinse. DED (S) 839."
999,68,"Te.,Ta.,To.,Ko.",4,8,"Ta. oliyal river. Ma, oliyuka to flow; olikka to flow, run as water, blood from wounds; olippu flowing, looseness of bowels; olivu flowing; (Tiyya) olu water-current; dluka to flow, ooze out; Ola trickling; Oli a spring, temporary well; oldla falling in drops, trickling. Jr. uli waterfall. PalKu., AlKu. oli id. Ko. oyl waterfall in channel or river. To. wasy waterfall; wasf- Gvast-) to defecate (of adults); wa+} pit drainage hole in wall (cf. 4317, esp. Ta. pugal, To. pil). Te. oluku to be spilled, run, flow, overflow, gush out. Cf. 1068 Ka, dl-adu and 5367 Ta. vali. DED (S, N) 840."
1000,68,"Tu.,Te.,Ta.,Pa.,Kol.",5,9,"Ta. oliyal skin, hide. Tu. olipu skin, skin of a snake, shape. Te. oliyu to be peeled, flayed; olucu to peel, flay, strip; olupu peeling, flaying. Kol. (Wagh.) ols- to skin. Nk. ols- to peel. Pa. olc- to flay. Cf. 2856 Ta. coli (Kol. Nk. and Pa. may be borrowed from Te.). DED(S) 841."
1001,68,"Te.,Pa.",2,2,"Te. oliki a funeral pile. Pa. olggam blaze of fire; olip- (olit-) to char, scorch. Kur, olna to be on fire, (crop) is scorched by excessive heat; olOdna to set fire to, scorch. DEDS 121."
1002,68,"Ta.,Ma.,Kod.",3,3,"Ta. oluhku big mosquito; ulahku gnat, mosquito. Ma. oluiiku a kind of mosquito.- Kod. olafijia fly. DED 842."
1003,68,"Tu.,Te.,Ta.,Ka.",4,8,"Ta. olku (olki-) to shake, move, wave; ulukku (ulukki-) to shake (#7, as a tree), tremble (as in an earthquake); uluppu (ulu- ppi-) to shake off, cause to shed (as fruit or leaves from a tree); ulai (-v-, -nt-) to be disordered (as one’s affairs), become un- settled, loose, degenerate in morals, be agitated in mind, be dispersed (as an as- sembly, army), wander about; (-pp-, -tt-) to throw into disorder, unsettle, ruin, harass (as a demon); n. flurry, excitement, agitation; ulaiccal trouble, harassment; ulaical disordered state of one’s circumstances, ruin as of a house, derangement; ulaippu troubling, putting to rout, destruction; ulaivu agitation, vexation, uneasiness, trembling; Ma, ulayuka to be agitated, shake, become loose, slack, tired; ulekkuka to agitate, crumple (paper, ‘clothes, etc.), destroy; ulaccal, ulavu agi- tation; ulakkam shake, shudder; ulahiuka to shake (intr.), be shocked; ulasuka to swing, shake, move from side to side; ulu- kkuka, uluttuka to shake; olayuka to shake, tremble, olasal agitation, confusion; olumpuka to move from side to side. Ka. ole to swing (intr.), wave, shake, tremble, move, move in a swinging manner, hang or bend to one side; shake (tr.), etc., bend; n. act of swing- ing, etc.; olapu moving the body in a foppish manner; olahu swinging to and fro, a swing; oleta swinging; uluku, ulku, uluku, uf{ku the body to shake, tremble, be agitated, etc. Kog._oli- (oliv-, olifij-) (fruit) drops from tree in large quantities; (olip-, olic-) to bea"
1004,68,"Tu.,Te.,Ta.",3,13,"Ta. olku (olki-) to grow weak or faint, pine, be disheartened, become reduced, slender, thin, be emaciated; orku (orki-) to be deficient, be wanting, fall short, droop; orkam poverty, indigence, destitution, feeble- ness, weakness, deficiency, dearth; offi thin person, thinness, slenderness. Ma, olfkuka to grow weak, contract; ollati a thin, slender person. Tu. olandala, olandale swoon, faint- ing. Te. olf3-bovu to faint, grow or turn pale, fade. ?Cf. 1025 Ta. onpatu. Cf. 5281 Ta. vali. DED (S) 844."
1005,68,"Tu.,Te.,Ta.,Ma.,Ka.",5,10,"Ta. oliyal cloth, garment. Ma. olli sheet, cover five yards by three; olliyal, oliyal royal cloth. Ka. olli a small dotra; (K.?) ollanige a cloth, an upper cloth. Tu. olli, olle sheet used for covering the body in bed, a laced cloth for wearing; olanigé a cloth covering the privities. Te. olliya, ofle an upper garment; valuva, valuvu a fine cloth, a cloth. DED(S, N) 845."
1006,68,"Tu.,Te.,Ta.,Ma.,Ka.,To.,Kui",7,15,"Ta. ollu (prob. olli-) to be possible, practicable, be fit, suitable, agree, combine, consent; ollal being able, possible, recon- ciling after a love quarrel; ollamai inability, contempt, absence of desire; ollatavar, olla enemies; ollunar friends, associates; ol vari ollu [97] oli in a suitable place, af a suitable time. Ma. olluka to consent, love, be fit, possible; (eg. ) olla, valla must not, ought not; olfatta un- becoming, indecent, bad; ollal ability, possibility. Ko, olaed bad; olaspm bad return for good action, refusing to keep a bargain. To. wal- (neg. only) to be bad; walo(@) bad; iis- (iisy-) to long for. Ka. ol to be pleased, like, love, desire; olavu pleasure, kindness, favour; olavara, valavara pleasure, charm; oli, ole to be pleased, desire, like, be apt, fit, be agreeable; olime, olume pleasure, love, kindness; 6l-ddu to have affection for, love; Ol-ata affection, friendship. Tu. olapuni to love, fondle; olame, olume affection, love, kindness; oliyuni to favour, be kind; olipe present, gift. Te. valacu (neg. gerund ollaka) to love, wish, desire; ollami refusal, rejection, declining; valadu, vaddu is not required or wanted; must not, ought not; valapu love, desire, wish; (B.) dlimika friendship. Kui orpa (ort-) to pine for, lust after; m, desire, Just (or with 691 Ta. uguval). Cf. $276 Ta. val. DED(S) 846."
1007,68,"Ta.,Ma.,Go.",3,7,"Ta. ollu (olli-) to mend (as a net), braid (as a basket). Ma. orral net of pack- thread, basket for holding pots, weel, fishing with weels. Go. (Ma.) olc-, (Ko.) ols-, (Tr. W.) walcand, (Ph. Ch.) valc- to sew; (L.) olcana to repair, mend (Voc. 431). DED(S) 847."
1008,68,"Ta.,Ma.",2,6,"Ta. ollai, ollé, oll-ena rapidly, quickly. Ma. olla a short time, rapidity."
1009,68,"Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.",8,31,"Ta. ori (-v-, -nt-) to cease, be finished, ended, die, be settled, decided, be empty, unoccupied; (-pp-, -tt-) to finish, bring to an end, destroy, expel, empty; oriccu (ogicci-) to put an end to, banish, vacate, destroy; ogippu exclusion, dismissal; orivu ceasing, end; oy (-v-, -nt-) to wipe out, efface; be off, escape. Ma, oriyuka to leave off, be free from, empty; ogiccal, ogivu vacancy; ogikka to quit, give way, escape, make to cease, drive away, free; orippikka to dispossess, make to retire; orippu discharge. To. widy- (wids-), ody- (ode-) to be separated from (-k) by pre- deceasing or not surviving or by others predeceasing, leave behind; widy- (widc-) to put by, save. Ka. ugi to leave, abandon, quit, except; be left, remain, be left out, excepted, or excluded, remain alive, be saved, remain behind; n. remaining, remnant; uriki, uraki, uzike, ugke, ukke remaining, remainder, remnant; urate remaining, remainder; urave remaining, being saved, refuge; uripu to cause or suffer to remain, spare, save; odi to separate from, leave. Kod, oli- (oliv-, olifij-) to halt for night, dwell; oy- (oyp-, oyc-) to exhaust, finish (song-word; ?< Ma,). Tu. oripuni, oriyuni, (B-K.) olipu to remain, be left, survive; oripavuni, orpavuni to spare; oripe, oripelu remnant, remaining; ulki remnant, rest. Te. udi-vGvu to cease, leave, quit; udugu, uduvu to give up, quit, leave, stop, desist, cease from; udupu to remove, efface, wipe away (or with 954 Ta. otuaku). DED(S, N) ‘1010 Ta, oguku (oguki-"
1012,68,"Mand.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.,Ga.,Go.,Kui,Kuwi,Pe.,Kur.",15,23,"Ta. orukku (orukki-} to draw out, as gold thread. Ko. ork- (orky-) to embroider. To. wirk- (wirky-) id. Tu, ntlodu a spindle. Te. oduku, vaduku to spin (t7.). Nk. (Ch.) oc-/os- to sew. Go, (SR.) vadiyana to twist a rope; (Ph.) vaddana, vaditind to spin; (Tr.) waditand to twist or twirl fibre into a thread; (Ko.) vark- to spin (Voce. 3156, 3201). Pe. yoc- (-c-) to sew; plait, weave. Mand. ruc- to plait. Kui osa (osi-) to sew, weave; n, sewing, weaving; pl. action oska (oski-). Kuwi (S.) oh’nai to mesh; (Isr.) huc- (Cit-) to weave. Kur. djna to spin, twist; ojjna to sew, stitch together. Malt, Odje to twist; djgre to be twisted. DED(S) 851. . 1013 Pa, or (ort-) to be able. Ga. (Oll.) or- (ort-), (S.3 5) od- id: DED 852 1014 Ta, orunkai lane, alley. Ka. (Hav.) orgku narrow path between two walls in a garden (< Tu.). Tu. orbku, orunky lane, footpath. DEDS 122. 1015 Ta, oli (-v-, -nt-) to hide, steal away; (-pp-, -tt-) to hide, conceal, disguise; lie hid; n, hiding, lurking-place, screeen, cover for a fowler, decoy animal; olippu slinking away, hiding, concealing, keeping secret; olivu place of concealment; ulavu secrecy, spying. Ma. oli concealment, ambush; olivu ambush, hiding; olika to be hidden; olikka to hide oneself, olippikka to conceal; uliyuka to stoop, peep. Ko. oyl- (ole-) to hide (intr.); oyl machan in tree for tiger-shooting. To. oli (98) rs) wity- (witc-) to hide Gni., tr.). Ka. uli to conceal oneself, hide; m. hiding, ambush, lurking-place, hunter’s hut; a thief; ul"
1016,69,"Skt.,Tu.,Te.,Ma.",4,15,"Te. oli light, brightness, splendour, sun, moon, star, fire, sunshine, lamp, beauty; oliyavan, oliyOn sun; olir (-v-, -nt-), oliru (oliri-) to shine; olirvu, oligu brightness; onmai brilliance, brightness, beauty. Ma. oli splendid, bright; the light; olima, olivu brightness; onma splendour, beauty; ulayuka, uliyuka to shine, glitter. Ka, ola, olapu shine, blaze; ulku to shine, blaze, appear; ulku, uluku a shining substance, a meteor (or cf. Skt. ulka-). Tu. oli light, splendour. Konda (BB) orini(ka) white, bright. DED(S) 854."
1017,69,"Ta.,To.",2,4,"Ta. oli excellence, fame, wisdom; olliyan good man, wise man; onmai goodness, wisdom; ofpam intelligence, wisdom, Ko, oly, olyd good. To. wily good; wilt id., what is good. Ka, ol(u), olitu, olatu, offit(t)u that is good, handsome, excellent; ol(u)pu, oluhu, oltana, olletana, olle goodness; ollida a good man. DED(S) 855."
1018,69,"Tu.,Ka.,Kod.",3,6,"Ka. olle, holle, ulli a kind of amphis- baena. Kod. olle pa-»mbi water-snake. Tu. olle, olle id. DED 856."
1019,69,"Te.,Ta.,Ma.,Ka.",4,13,"Ta. oru (-pp-, -tt-) to dislike, be disgusted with, rebuke, punish, suppress (as the desires), mortify (as the body); oruppu dislike, aversion, rebuke, punishment, self- mortification; urai (-pp-, -tt-) to rebuke, disgrace. Ma. oruppu hatred, aversion; punish- ment. Ka. rdsu to dislike, feel disgust; 7. (also rOte) dirt, filth, ordure; roccu, roece, rojju; rojje mud, mire, foul water. Te. orudala backbiting, tale-bearing; rdyu, (K. also) royu to hate, dislike, be disgusted with, be wearied or tired, give up, abandon, leave, (K. also) despise, rebuke; rSta, r6ta disgust, abhorrence; dirt, filth; roccu, roccu contempt, disregard; mud, mire; rompi mud, mire. DED(S) 857."
1020,69,"Tu.,Ta.,Ma.,Ka.",4,8,"Ta. orri mortgage with possession (as of land, trees, cattle, etc.). Ma. orri a pawn; Orra-ttali marriage badge (or with 1023). Ka. otte a pledge, pawn. Tu. otti id. DED 858."
