word,count,n_source_files
फड,322,52
खार्,309,76
इवत,308,9
खाोंडा,241,15
खाांडा,230,46
पोळ,214,53
मधु,181,11
त्वा,171,28
प्र,158,38
करडा,154,58
यथा,152,53
अथ,150,24
कर्णिक,143,11
भरत,133,39
तथा,132,27
सोम,130,42
एव,129,31
कट्ठणिक,129,1
द्र,123,61
तस्य,119,30
मेंढा,118,32
इन्द्र,117,33
कौर्िर्िकुः,115,1
खार,114,43
त्व,114,18
अयस्,113,32
सायणभाष्यम्,112,26
कणा,111,17
अस्य,110,29
कल्प,110,51
तत्,105,22
खरडें,104,50
तत्र,103,26
शब्द,102,57
इदत,102,5
मेढा,99,53
यत्,97,28
ब्राह्मण,93,39
कणर्क,93,25
फडा,90,36
ण्ड,89,23
तव,88,18
मेढ,80,37
वेद,80,23
पोतृ,78,23
इक्षत,78,2
इशत,75,4
ेच्छम्ल,75,9
कारु,75,11
खोंड,73,31
स्त्री,73,29
पोळा,73,23
इति,73,9
अयम्,73,4
ंत्व,68,19
अत्र,67,18
इन्नत,67,1
गोटी,66,29
धावड,66,22
पोलाद,66,27
इमत,66,3
मौजा,63,30
उत,63,22
कौट्ठटट्ठिकः,63,1
खोट,62,37
पोतदार,61,19
भाषा,60,30
वाचस्पत्यम्,60,31
शतपथ,60,25
इदम्,60,6
कत्रणाक,60,2
ांगड,58,16
गोटा,58,35
फटा,58,29
कामठा,57,12
इष्टत,57,2
तम्,56,24
एष,56,15
कात्रणाक,56,2
स्य,55,30
अनि,54,1
यस्य,53,19
ह्मब्र,52,17
ळकरणी,52,17
अण्,51,12
पर,51,17
क्ली,51,22
एवं,51,10
कव,51,3
राजा,50,18
मुर्,50,1
त्वम्,49,22
परर,49,22
कण्ठालः,49,19
मण्डल,48,25
इन्द्रः,48,13
ततः,48,16
परीट,48,7
ंण्ड,48,2
कणिक,47,9
त्र,47,15
सह,47,23
कणी,47,3
पयस्,47,3
मेधा,46,29
सप्त,45,21
ततो,45,13
ऋेग्वदः,45,25
यदा,45,19
मेध्य,45,19
करड,44,16
करडू,44,10
उप,44,16
ष्ट्,44,12
कम्,44,22
कोंद,44,17
एक,44,23
और,44,9
इथत,44,3
धातु,43,21
यास्क,43,22
कोल्हा,43,17
यद्,42,12
धन,42,29
कारखाना,42,13
कर्णक,42,8
एते,42,16
श्रौत,42,13
तद्,42,12
लोके,41,19
यद्वा,41,14
ेश्यन,41,11
फडनीस,41,10
पोलादी,41,20
सदा,41,13
होतृ,41,7
यर्था,41,1
मम,40,17
इव,40,25
ङ्ग,40,16
तेन,40,15
त्वष्टृ,40,14
रूप,40,11
उवाच,40,4
इद्वत,40,1
खरडा,39,28
गार्,39,15
रूपम्,39,13
नाम,39,20
खाुंडा,39,7
वळ,39,7
ब्रा,38,15
गुरव,38,5
कोेंल्ह,38,13
ढाळ,37,14
यत्र,37,16
करण,37,17
त्रि,37,17
ष्टह,37,1
खरडणें,36,21
इत्यमरः,36,20
इस,36,8
यह,36,9
खारन्,36,23
द्वा,36,3
खांडा,35,18
मृदु,35,19
सोमः,35,16
अप,35,14
यज्ञस्य,35,20
पोळी,35,14
इहत,35,7
लोखंड,35,17
श्च,35,16
देशकु,35,13
अच्,34,23
बेर,34,22
दश,34,12
स्यात्,34,10
ाष्ट्,34,5
एर्,34,4
रुद्र,34,9
इदं,34,8
कर,33,15
ठारु,33,16
श्रौ,33,15
देवा,33,13
सवे,33,12
अहन्,33,12
इग्नत,33,2
वकं,33,2
खरारा,32,19
खोोंड,32,5
अग्नि,32,8
कास,32,4
कोळी,32,6
जोशी,32,7
घञ्,31,22
देव,31,17
स्व,31,17
ह्मब्रन्,31,12
रत्न,31,13
मह,31,10
सोनार,31,8
सरमा,31,2
कोंड,30,15
आत्मा,30,11
कोोँद,30,17
अङ्,30,12
पञ्च,30,10
बाय्,30,19
साांगड,30,14
अव,30,12
िर्ावत्तण,30,1
भूतात्तन,30,1
पुरुषि्,30,1
इनत,30,5
रत,30,4
मधुश्च,30,1
वक,30,3
अनु,29,8
प्रजा,29,15
उच्यते,29,13
इमि,29,1
अक्ष,29,9
अश्व,29,8
वत्र,29,5
सांघट्ट,29,14
ांत्व,29,8
अवप,29,6
तदा,29,13
भट,29,9
ङ्गत्रः,29,1
यज्ञ,29,7
गन्धवव,29,1
धम्,29,1
र्िधातुुः,28,1
क्र,28,17
सूत्र,28,14
वान्,28,17
चषाल,28,2
कात्यायन,28,7
तेजोमयि्,28,1
अमृतमयि्,28,1
िवर्म्,28,1
सन्,27,11
सुतार,27,6
पुरुषो,27,3
लोखुंड,27,4
इत्रत,27,7
न्हावी,27,4
दध्यङ्,27,4
काोंबळा,26,8
मेष,26,14
र्व,26,6
कारणी,26,22
कारणीक,26,22
बलुतेदार,26,6
ुल्यट्,26,13
भव,26,11
शारदा,26,3
अयं,26,11
उद्गातृ,26,7
क्ष,26,8
नारूकारू,26,5
ढाल,25,11
आर,25,12
पेढी,25,8
काण्ड,25,13
इत्,25,10
अेग्न,25,7
इमे,25,13
गया,25,7
अिम्,25,3
अप्,25,13
खोदणें,25,6
ष्ट,25,10
अमरः,25,13
लोहार,25,6
तह,25,4
बलुतें,25,4
इण,25,3
जाकड़,24,9
खोंडी,24,14
गतौ,24,16
वाडा,24,9
खलु,24,13
ूर्स,24,1
पशु,24,5
इन्द्रो,24,12
यन्मधु,24,1
करडें,23,9
मेध,23,18
मनसा,23,8
आपो,23,3
नय्,23,16
अश्वस्य,23,8
महार,23,3
येज्ञन,23,12
तर्ा,23,3
दध्यवथशरः,23,1
वत,22,8
उत्,22,15
कारण,22,18
मग,22,12
शत,22,10
ऋग्,22,12
ग्राव,22,7
ठाळ,22,7
अत,22,14
कलौ,22,6
भावे,22,10
रत्नी,22,12
लोहकारकन्या,22,7
बल्,22,19
ेश्यनः,22,4
पूषन्,22,7
रसो,22,4
अलुते,22,5
य्याात्,22,1
ेण्ड,22,3
सरमे,22,2
वदस्तन्त,22,1
चकार,21,12
खरड,21,16
ोंधळा,21,6
खााडा,21,9
अयस,21,8
होता,21,14
शह,21,3
ह्मब्रा,21,12
प्रकृ,21,11
संज्ञा,21,9
भार,21,6
शृणु,21,5
वठ्,21,14
वसु,21,10
राष्ट्,21,7
सदानीरा,21,3
ळकरिी,21,2
घडशी,21,7
भारुण्ड,21,2
पाांड्या,21,2
वाक्,21,5
कारकोळी,21,2
ततुः,21,5
तान,21,3
ुन्न,21,1
पियिः,21,1
आश्व,20,10
लोहकारः,20,13
ररगे,20,10
येज्ञ,20,9
िस्य,20,12
लोह,20,12
न्त,20,11
स्वयं,20,11
कमठ,20,11
सूंक्त,20,12
कार,20,13
श्येन,20,2
पोता,20,6
तेली,20,5
व्याख्या,20,3
अलुतेदार,20,5
नैघण्टक,20,2
स्वगं,20,5
मधु॒,20,1
न्तस्त्व,20,1
पिस्ि,20,1
ऊजाम,20,1
साोंगड,19,5
पुसणें,19,13
राज,19,10
पाठ,19,7
इतत,19,7
वन,19,4
साम,19,9
गायत्री,19,10
श्व,19,9
अक,19,10
पट्टी,19,3
नेष्टृ,19,8
कोँद,19,14
तेषां,19,7
कहा,19,5
काना,19,16
सरः,19,4
वाटा,19,9
पूषा,19,7
यज्ञो,19,9
रप,19,6
कल्पन्ताम्,19,8
इन्द्रश्च,19,2
मन्त्,19,1
म्ध्व,19,3
सत्य,19,6
त्रिधातु,19,4
मिस्य,19,1
भुविः,19,1
खोोंडा,18,3
यूप,18,5
गच्छ,18,11
इमा,18,9
चषालः,18,7
ित्र,18,8
नव,18,9
राजन्,18,7
वह,18,10
त्य,18,15
कणणक,18,9
रस,18,7
गणेश,18,6
अतः,18,6
त्वष्ट्ा,18,5
अश्वः,18,7
वाचेचा,18,8
अर,18,10
करतोया,18,2
लोखुंडी,18,3
वेसकर,18,6
इत्रि,18,3
परा,18,7
कटक,18,10
भागे,18,10
कटकः,18,6
पोळें,18,7
तळी,18,3
घृतुं,18,1
भवत्वन्त,18,1
माश,18,1
वृष्ण,18,2
खरड्या,17,13
तत,17,10
रोदसी,17,6
पद,17,5
घृतम्,17,3
वृत्त,17,11
दृश्यम्,17,16
पुनः,17,9
धवड,17,10
चाणूर,17,4
तज,17,4
तार,17,7
सांगड,17,9
श्र,17,7
कामीठा,17,6
काम,17,12
येन,17,13
संपक,17,9
अमृतम्,17,2
चाम्हार,17,3
तराळ,17,3
त्रीवण,17,1
इश्चन्द्र,17,1
वकया,17,1
तान्,16,9
दणें,16,4
ष्ण,16,11
पेंढें,16,8
ब्र,16,10
त्वाम्,16,8
लोहकारपत्नी,16,11
कामठाां,16,6
सुरा,16,7
रम्,16,12
वृष्णि,16,7
करने,16,4
महाभारते,16,5
ण्डम्,16,7
सूत,16,10
भाग,16,11
मया,16,10
पुराण,16,4
अध्यायः,16,13
करणे,16,9
नम्,16,16
कोंडण,16,9
देवता,16,11
ऋत्विज्,16,3
प्रथमः,16,6
ययौ,16,6
सवं,16,6
िेर्षाम्,16,1
रस्य,16,6
नुंद,16,2
घृतश्च,16,1
एवुं,16,1
जस्थ,15,6
सीद,15,6
सम,15,10
कणाक,15,7
ग्रह,15,10
वाचत्यस्पम्,15,12
अस्,15,11
सम्,15,9
व्य,15,9
इत्य,15,10
लुक्,15,9
इणत,15,2
धावडी,15,12
मैंद,15,7
वैश्य,15,7
कारर्ी,15,7
सेर्व्,15,5
बलं,15,9
हेमच,15,8
हाल्,15,11
करर्,15,4
शूद्र,15,11
स्फोट,15,2
तस्मात्,15,10
पाटील,15,7
मेधः,15,8
काणा,15,8
मारणें,15,6
अर्,15,5
सोमस्य,15,7
अश्,15,7
इन्द्रस्य,15,7
मुष्टिक,15,5
भाद्रपद,15,14
मन्त्ाः,15,8
त्वया,15,5
स्वामी,15,7
अहं,15,8
िेर्षां,15,1
तेजोमयोऽमृतमयः,15,1
मधुकृ,15,2
चत्वारर,15,4
प्राप्य,15,5
अुस्त,15,5
संध्या,15,3
देवािः,15,1
न्न,15,5
ेच्छम्लवत,15,2
चच,15,3
संक्त,15,1
सोर्,15,1
गण,14,8
परं,14,11
धरणें,14,10
धािड,14,5
बळा,14,3
षष्,14,3
स्त,14,10
यम,14,11
टिल,14,8
अथवा,14,7
पोृर्,14,1
भूतानां,14,2
इत्यथयः,14,2
पुरा,14,7
ङीप्,14,6
जाता,14,7
ेम्लच्छ,14,6
िब्द,14,6
प्रा,14,10
स्त्र,14,4
भ्र,14,9
दृश्यते,14,11
ऋभु,14,7
देवाः,14,9
दुसरी,14,7
माळी,14,4
माम्,14,9
भूतानाम्,14,2
यंज्ञ,14,5
पण,14,7
ेद्व,14,8
वाक्यपदीय,14,4
ऋिाय,14,2
भुवो,14,2
मुलाणा,14,3
ताम्रम्,14,4
चतुरंस्र,14,2
वंृत्त,14,1
संर्व्,14,4
राह्मणम्,14,1
वरं,14,2
पिय,14,1
पुरं,14,5
तत्रतशरा,14,1
भवतस,14,1
म्बक,14,2
पूष,14,2
औहोऽ,14,1
कराडू,13,5
भरती,13,13
काड्,13,10
र्स,13,3
रसुः,13,2
अय,13,8
अष्टा,13,8
तस,13,4
आसीत्,13,6
यम्,13,10
अपाम्,13,9
सुलुक्,13,8
पोहार,13,4
धाव,13,6
ऋेग्वदे,13,9
वाक,13,7
कण्ठाल,13,8
पुरः,13,5
कम,13,6
नहीं,13,7
करना,13,4
बस्,13,10
बदरी,13,7
त्रित्रिरस्,13,5
फडकरी,13,8
बहु,13,5
असुन्,13,8
ांगडणें,13,4
त्रर्,13,5
र्सरस्वती,13,1
आहनस्,13,4
माक्षिक,13,2
घाल,13,10
सामन्,13,12
भरताचें,13,13
गरुड,13,8
काठ,13,2
सर्,13,2
इभत,13,2
अंशुः,13,4
वव,13,8
कल्पः,13,4
बलुते,13,6
अतो,13,6
गभे,13,5
ऋतस्य,13,5
तत्रव,13,2
राष्ट,13,3
इह,13,6
कोांद,13,3
सत्वम्,13,3
घृतेन,13,3
अध्यात्मम्,13,1
योऽयमाेत्मदममृतम्,13,1
ऽयमेर्,13,1
इत्तत,13,3
उस,13,2
प्रार्,13,2
सुत,13,2
गुला,13,1
वप्र,13,3
फलं,13,5
दिवटा,13,4
पणयीः,13,1
पदामि,13,1
सचन्त,13,4
कशा,13,3
मधुना,13,2
लोकम्,13,2
अर्स्,13,1
ङ्कीप्,13,1
टृपुस्त्रत्र,13,1
तशरा,13,1
नामतष्िः,13,1
तशरस्,13,2
्त्र्य,13,2
परीचित्,13,1
द्रु,13,1
सकिा,13,1
उद्,12,12
वर,12,5
जस्तस्,12,3
पेंडें,12,6
करण्ड,12,8
खडा,12,7
नैघुण्टक,12,9
श्रीकृ,12,7
तर,12,6
कथा,12,10
त्रपु,12,10
लोहकारापणः,12,8
ठणें,12,9
पोद्दारी,12,3
पोतदारी,12,6
नीस,12,2
पटल,12,5
येषां,12,4
शतं,12,5
पुत्र,12,7
हुआ,12,5
श्रावण,12,11
बारकश,12,9
बारकस,12,9
मकर,12,3
बल,12,10
आदित्य,12,5
शिवसत्रूजालम,12,1
दत्र,12,4
अन्तः,12,8
बभूव,12,7
्त्व,12,8
कोला,12,11
अनुसार,12,4
सुतः,12,6
वराह,12,8
रामोशी,12,4
अस्ति,12,2
ऋचा,12,3
पव,12,3
ब्रह्मन्,12,5
वही,12,9
लोकस्य,12,4
अथो,12,4
अश्मा,12,6
श्यामं,12,6
धमर्,12,3
अपश्यम्,12,4
गन्धववः,12,1
गान्धारी,12,1
हेमचन्द्रः,12,4
ददौ,12,5
बृहत्,12,8
म्ह,12,3
हन्,12,7
र्ाणा,12,2
एतद्,12,5
न्ह,12,2
जांगम,12,3
ण्डानां,12,1
गुलाग्नन,12,1
पारदः,12,1
ंष्ण,12,4
भिेत्,12,3
त्रीमण,12,1
सन्नवता,12,1
देवानाुं,12,1
दन्नध,12,1
तैसुं,12,1
र्द्वा,12,1
गवां,12,3
ेच्छम्लािां,12,1
दतधे्,12,1
तत्रििः,12,1
अंशु,12,3
भविष्यवत,12,3
बृहस्पिे,12,1
युवं,12,2
शानुः,12,2
शक्रु,12,1
धारण,12,1
र्थ,12,1
न्द,11,8
शद,11,7
कायस्थ,11,7
रामायण,11,9
श्री,11,8
शिश्वकमाा,11,1
सायण,11,8
यतः,11,6
पणयो,11,2
वाडी,11,5
लोहकारायोघनः,11,7
पट्टा,11,7
पुरुष,11,8
अच्छा,11,6
अष्ट,11,5
भारत,11,5
शकु,11,7
देवः,11,7
राजधानी,11,6
जनम्,11,2
संूक्त,11,5
म्य,11,10
ऋर्ष,11,2
वायु,11,8
जखडणें,11,6
करडई,11,7
ऐतरे,11,6
मतुप्,11,6
करोदम,11,1
जगती,11,6
तया,11,8
जेज्ञ,11,6
अरे,11,8
खोद,11,5
सोमो,11,8
खण्ड,11,5
क्षर,11,5
मुदा,11,3
क्या,11,7
काढ,11,8
सेट्,11,4
स्म,11,9
स्था,11,6
भवहि,11,1
तकं,11,2
अत्रि,11,5
अयुर्ध्व,11,2
इदि,11,2
गुलं,11,2
पमटील,11,1
सुतमर,11,1
गोांधळी,11,3
मृद्वी,11,3
मृद्वीका,11,3
करणी,11,8
यजाताचचया,11,4
कतत्ाृ,11,4
वाचाां,11,4
फोलाद्,11,5
अैस्म,11,3
सहस्रा,11,2
ब्राह्मि,11,5
कनक,11,6
वेव्र,11,2
ऋत,11,8
अन्िन्,11,1
ेह्मब्रद,11,1
तिव,11,2
ताांबोळी,11,2
धातुुः,11,6
चाळा,11,3
लोखंडी,11,5
मुष्टिका,11,3
ग्नत,11,2
क्रमात्,11,3
जायते,11,5
प्रवत,11,3
इत्यथुिः,11,1
तामि,11,1
अवस,11,2
स्वाहा,11,4
तत्पर्य्ायर्ः,11,1
वशरः,11,3
ष्टवप्र,11,1
वदवि,11,2
उखा,11,2
अियन्,11,1
त्रिुः,11,1
युवां,11,2
द्य,11,1
धर्,11,1
कथं,10,7
गाय,10,10
कारं,10,4
नाग,10,10
यतों,10,1
आर्,10,5
ोंडण,10,7
त्वाष्ट्,10,3
प्विाद्,10,2
जर,10,5
एड,10,6
इडा,10,6
काण्डः,10,8
कारर्ीक,10,6
अध्वर,10,9
कोोंद,10,2
अकण,10,5
इर्,10,4
उपरसः,10,3
राम,10,7
असुर,10,7
शकुं,10,1
अग्निः,10,3
कोष्ट,10,9
षट्,10,8
माोंझीथा,10,3
ओतृ,10,9
आहे,10,8
वरुण,10,8
पुत्रान्,10,4
शूत्रन्,10,4
काले,10,6
िाचस्पत्यम्,10,6
लोहकारकनदुः,10,5
न्य,10,7
मनु,10,9
येणें,10,7
आतु,10,7
करडी,10,7
गत,10,9
आप,10,6
त्रत्र,10,1
तन,10,7
षष्ठी,10,6
यास्कः,10,6
वती,10,5
वत्,10,5
तस्,10,8
दियावुर्सः,10,1
कन्या,10,5
त्या,10,7
द्वौ,10,6
र्सोम,10,1
पय,10,9
दबभदमा,10,1
ह्म,10,3
वाच्,10,5
ळकरण,10,6
यर्ा,10,3
नदी,10,4
भवेत्,10,5
अवटी,10,7
खातें,10,2
देशी,10,7
महा,10,9
ओर,10,4
थोरली,10,5
सन्तस्त,10,2
देवं,10,6
अष्टाशि,10,2
पशवो,10,2
सीसं,10,4
बैल,10,6
इत्यस्य,10,7
सम्यक्,10,7
ईयते,10,3
टटल,10,5
खोुंड,10,3
अद्य,10,6
दाशुषे,10,4
अहों,10,2
अध्वरे,10,4
भुवः,10,1
चकृ,10,3
काटी,10,4
दृष्ट्वा,10,3
कोांड,10,3
पोळणें,10,7
भर्थत,10,2
सोिार,10,2
ेम्लच्छदेशे,10,4
भाष,10,1
स्यण्ड,10,1
ेस्यक्षत्र,10,1
सग्नत,10,2
दत्त्वा,10,4
ृस्मतः,10,4
रसः,10,4
सूतं,10,2
यतो,10,4
साुंगड,10,2
िोहकारकन्या,10,3
मवदजिः,10,1
पदं,10,4
मिरु,10,1
िधनुं,10,1
आपुः,10,2
यन्नद्दध,10,1
न्नह,10,1
रह्मचारी,10,1
ओषधीनाुं,10,1
ऐआ,10,1
कमयवण,10,2
मिार्,10,1
शीेष्,10,1
आयर्,10,2
णकं,10,2
ष्टकं,10,1
भुष्टव,10,1
वगलेष्टत,10,1
नाथ,10,2
सुतपा,10,1
धनं,10,3
अतिःग्न,10,1
आतदििः,10,1
वृ्भिः,10,1
वक्ष,10,4
तचि्,10,1
ेश्यनो,10,3
आपूष,10,2
सोमवः,10,1
िलुतेदार,10,1
इन्त,10,1
श्रीः,10,1
वस्िवि,10,1
अक्षश्िौ,10,1
दधीचुः,10,1
कद,9,2
वयं,9,4
ेंल्ह,9,5
बडी,9,9
मार्िक,9,2
लोखांड,9,5
मौज,9,5
यन्,9,3
यजुर्,9,6
अररः,9,6
कस्का,9,8
तैस्म,9,4
अेन्य,9,7
शन,9,4
प्राेप्त,9,7
आत्,9,9
पश्चात्,9,7
लोहोलोखंड,9,7
ऋतुः,9,4
षड्,9,5
मुख,9,7
गायन्ति,9,1
मन्त्र,9,6
स्या,9,5
लोहकारचुल्लः,9,5
लोहकारपुत्रः,9,5
ऋत्वज्,9,3
लोहकारुः,9,5
इमं,9,5
याज्या,9,5
चक्र,9,7
ृस्मताः,9,4
अस,9,7
तथैव,9,5
क्त,9,8
भारतम्,9,1
कारयेत्,9,4
शब्दकल्पद्र,9,7
सविता,9,3
शेट,9,1
अर्ि,9,2
त्स,9,5
बुगडी,9,9
ांगडीस,9,6
चान्हूदड़ो,9,4
श्वर,9,6
नाचण्याचा,9,7
गाण्याचा,9,7
काल,9,5
दन,9,4
ेेक्षत्र,9,3
यजमानाय,9,4
िंर्सदत,9,1
इंन्द्र,9,6
उपरर,9,5
्त्वक्ष,9,6
यन्त्रम्,9,7
तद्वत्,9,5
ऋत्,9,6
पाण्,9,7
आप्री,9,7
खःण्ड,9,5
अथप,9,3
पत,9,5
कमटा,9,9
पवमान,9,5
आस्,9,6
देवी,9,6
जुषस्व,9,4
लम्,9,8
पेठ,9,3
चरे,9,6
त्रिरस्,9,3
ऊस,9,7
पड,9,7
अन्यच्च,9,3
हारावली,9,2
आठ,9,8
पोिदार,9,3
कोर,9,6
पक्षी,9,5
आत्मन्,9,6
भित,9,2
लेलें,9,5
आहुः,9,2
काण्डम्,9,7
ज्ञा,9,8
वसो,9,3
तर्था,9,2
शिवश,9,1
रूपं,9,5
ब्राह्मणं,9,4
कमस,9,1
लोहमर,9,1
र्मांग,9,1
सोनमर,9,1
देश,9,5
गान्धार,9,1
भरतः,9,5
जन्म,9,4
ज्ञात्वा,9,4
ध्र,9,2
र्रण,9,3
तेन्मध्य,9,7
हसब्तिक,9,3
कर्त्,9,4
प्वलाद्,9,4
कांबळा,9,7
अनेन,9,7
अध्यार्ः,9,2
भवद्वत,9,1
द्वन,9,1
द्वकां,9,1
पुरु,9,3
भवतु,9,3
भावप्रकाशस्य,9,3
आहन्,9,2
पाडा,9,4
गणे,9,3
मुमोद,9,3
ककु,9,3
महः,9,2
चित्,9,1
कका,9,2
असृ,9,4
होमे,9,1
एकाङ्,9,1
कणवक,9,2
दध्ना,9,2
इत्यावदना,9,3
अस्मात्,9,5
एतिै,9,2
जाोंगड,9,3
पोकू,9,3
फाटे,9,3
पोिाद,9,3
चरन्,9,3
देशः,9,3
र्ािस्तन्त,9,1
स्तििः,9,1
युंज्ञ,9,2
माध्वीभ्ाुं,9,1
अस्माकं,9,8
ेच्छम्लदेशः,9,1
च्च,9,4
चानुक्रांन्त,9,2
कथम्,9,4
त्वां,9,4
रांज्य,9,2
आयुधातन,9,1
तेव्,9,3
अश्वम्,9,1
सिाय,9,1
तावन,9,1
चिूराजी,9,1
दधीचः,9,2
दधीचो,9,2
सोमवसः,9,1
सार्,9,1
चाणू,9,1
करं,8,4
मलम्,8,7
का्श्य,8,6
अकि,8,4
सोंगाठ्,8,1
पेड,8,6
कााँड्,8,5
कण्ठ,8,4
तथ,8,5
ण्वन्,8,4
म्ञ्ज,8,3
टङ्क,8,7
रण्डः,8,2
स्यर्,8,4
ङीष्,8,5
जनयन्,8,2
कष,8,3
इन्दो,8,4
बलेन,8,7
डाहळी,8,4
सन्ति,8,5
मन,8,7
दाय,8,7
वाटी,8,4
खारन,8,4
कर्णमक,8,1
पोतनीस,8,4
पोतें,8,5
परव,8,3
सद्म,8,7
मन्द्रो,8,7
कारर्,8,5
असुरः,8,2
अपां,8,2
हक,8,4
बहुलं,8,4
पुरुषः,8,4
शङ्,8,7
शरभः,8,2
लेभे,8,6
शोणणतपुर,8,1
बाणासुर,8,1
णशवणलंग,8,1
कोई,8,3
भर,8,6
तृच्,8,4
लोहकारशान्ताङ्गाराः,8,4
द्वकु,8,7
देिता,8,4
पाथरवट,8,3
ख्यालीखुशालीचा,8,8
पोत,8,7
करडोक,8,4
अहि,8,5
दनरु,8,4
पुत्रः,8,4
ब्राह्मणम्,8,6
रुते,8,5
भवदत,8,1
यङ्,8,4
जैन,8,7
प्रिमे,8,2
दवद्वानेतद्धोता,8,1
वािस्पत्यम्,8,3
एवम्,8,6
आपः,8,3
अदप,8,2
िारयादम,8,1
आरोप्य,8,5
यत्नो,8,5
ुश्रतेः,8,4
भग,8,4
अष्टृ,8,8
जन्,8,7
नक्षत्र,8,5
पयन्,8,6
खोदू,8,5
ांगडी,8,4
अिम,8,4
हवदेह,8,2
गंडकी,8,2
गायंत्र,8,4
पीिये,8,3
करणें,8,7
कल्,8,4
ण्डः,8,7
खण्डन्तन्,8,1
भांडें,8,6
मुद,8,3
पेंठ,8,2
ढालकाठी,8,6
करां,8,3
नक्षी,8,4
तात,8,4
कौत्रटत्रलकः,8,3
फडझडती,8,6
फडझाडणी,8,6
चाल,8,6
पडणें,8,6
सन्तन्त,8,4
बलुिेदार,8,2
मधली,8,4
धाकटी,8,4
तच्च,8,7
द्वारा,8,2
हूण,8,2
जसथ्,8,5
रपु,8,5
ज्तस,8,5
ज़स्,8,5
ज़सुथ्,8,5
सत्त्र,8,2
वसत,8,2
र्वा,8,2
एर्व,8,3
पमांड्यम,8,1
भमर,8,1
न्हमवी,8,1
गोांधळ,8,2
गन्ध,8,2
पररतो,8,6
त्वाां,8,3
पदे,8,3
भूत्वा,8,6
तन्त,8,2
सोमम्,8,3
शुक्ल,8,5
वत्स,8,4
इष्टि,8,4
एकै,8,4
हत्वा,8,3
मदे,8,3
कीदृशम्,8,6
यस्मात्,8,5
याज्ञवल्क्य,8,5
त्वाष्ट्र,8,2
पा्ण्डव,8,3
लालाददकन्द,8,1
स्र,8,4
बृहिा,8,2
अन्तान्,8,3
अरावीि्,8,2
योनौ,8,2
िंत्व,8,2
सचसे,8,2
क्रिुना,8,2
बलम्,8,4
देविा,8,3
खुंडी,8,3
बभूर्,8,2
असुि्,8,2
चार,8,5
पाचुांदे,8,2
ेम्लछ्,8,3
अपशेब्द,8,3
हारा,8,3
एण,8,5
मानं,8,4
मेखला,8,1
त्यक्त्वा,8,3
प्रोंक्त,8,4
इदानीं,8,5
पशून्,8,3
तस्मा,8,4
वकिं,8,1
छन्दवस,8,2
अध्वया,8,2
कारत्रणका,8,2
कौत्रटत्रिकुः,8,2
अवारू,8,2
अमप,8,1
भवमत,8,1
अक्षरं,8,2
ब्राह्मणािः,8,1
वाचिः,8,1
बहुिा,8,1
सवाु,8,1
आहुिः,8,1
येज्ञि,8,1
पवे,8,1
स्वगे,8,3
आइहीऽ,8,1
मधुु॑,8,1
इदुं,8,1
रसुं,8,1
सवेण,8,2
सादयन्नत,8,1
गृह्णान्नत,8,1
ेत्वन्नत,8,1
ध्यङ्,8,1
भववत,8,1
वृत,8,2
एवत,8,2
न्तस्त्रर्ां,8,1
ेर्च्छम्लवत,8,2
ववंरुद्ध,8,1
भार्षते,8,1
सुन्त,8,2
अिीन,8,1
कायस्था,8,1
गेाङ्गय,8,1
प्रभो,8,2
कांर्य्,8,2
ष्टचत्रगुप्तो,8,1
ष्टचत्रगुस्यप्त,8,1
प्रष्टत,8,1
ुश्रत्वा,8,2
माांग,8,1
क्षकं,8,2
तवतनयोगिः,8,1
वेति,8,2
वधषमाना,8,1
प्रति,8,1
तपत्रोिः,8,1
सवष,8,1
टृपुत्र,8,1
वशि,8,2
देिेषु,8,1
सोमं,8,3
गणािाां,8,1
पतिः,8,2
लोिार,8,2
इवि,8,3
वसंहासनं,8,1
यवद,8,2
हान्त,8,1
सांदभम,8,1
उल्लेख,8,1
नंद,8,1
क्षि,8,1
िंपद्यते,8,1
िक्षत,8,1
क्षशरुः,8,1
हुवन्यक्षत,8,1
घात,7,7
चावप,7,5
पापः,7,5
सर,7,6
सामग्री,7,2
मृदुि,7,1
हर्िशेषुः,7,1
हर्िशेषमयुः,7,1
शर्स्त्रिशेषमयुः,7,1
खारी,7,6
सच,7,2
अयः,7,6
समुच्चय,7,2
वाजी,7,6
र्था,7,3
पोर्दार,7,3
ाष्ट,7,4
शपता,7,2
ूश्रयते,7,5
स्थान,7,5
लोहम्,7,7
अमकण,7,1
इन्द्रम्,7,4
प्रथमा,7,5
र्म्,7,6
नय,7,6
मेंढसर,7,7
पोतनिशी,7,4
पोतिीस,7,4
वतर्क,7,5
नेष्,7,6
सामवेद,7,6
स्थानेषु,7,4
देवान्,7,3
भारते,7,6
चत्वाररं,7,3
मिाबलः,7,4
प्रभुः,7,5
युगम्,7,4
होगा,7,3
बहुत,7,4
इसकी,7,2
जब,7,3
गई,7,3
हल,7,4
दह,7,4
खािंडा,7,2
दक्ष,7,4
काांठाळ,7,3
खेळण्या,7,5
खोांड,7,4
अग्रम्,7,6
तम,7,5
यजु,7,5
पावका,7,1
वष्टु,7,1
वाैग्व,7,2
दपुप्यषी,7,1
अंिुर्,7,1
लोकपालो,7,5
परे,7,4
धारय,7,3
परमात्मा,7,6
परः,7,5
जघान,7,5
पदत,7,2
कोंदण,7,6
