name,n_tokens,n_types,zipf_alpha,zipf_r2,mi_gamma,mi_r2_pow,epistatic_2nd_norm,epistatic_3rd_norm,h1_norm,h1_nats,note
cdli_sumerian_ur3,3468699,109948,1.0978,0.9197,0.1413,0.9258,0.5102,0.2557,0.5671,6.583,CDLI subset sumerian_ur3
cdli_sumerian_ob_lit,425147,90024,0.8211,0.9229,0.0262,0.9116,0.7261,0.5095,0.783,8.9325,CDLI subset sumerian_ob_lit
cdli_akkadian_ob,397977,77524,0.7938,0.8953,0.052,0.9205,0.6575,0.3988,0.7391,8.3208,CDLI subset akkadian_ob
cdli_akkadian_na,486011,76964,0.961,0.9527,0.0382,0.9217,0.7316,0.5312,0.7707,8.6717,CDLI subset akkadian_na
kee2u_tamil,17414,1924,1.1749,0.9736,0.0917,0.7496,0.5691,0.2815,0.7752,5.8624,Kee2u Tamil morpheme-ID stream
kalyanaraman_vedic,98707,49140,0.5849,0.9022,0.0097,0.9718,0.9017,0.8191,0.9357,10.1075,Devanagari vocabulary from Kalyanaraman corpus
