id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
69.1,Chanhu-daro,M324 M194 M032 M002 M385,kur-kaṭ-koL-kuṉ-kur,rava sahana,O Roaring[√रु अच्] Mighty one[Nir],1.0
70.1,Chanhu-daro,M032 M031 M001 M324 M062 M060,koL-kai-tōḷ-kur-erutu-kāṇṭāmirukam,ama-mAnya ASa,O Powerful[RV] honored[MBh] Eater[RV],1.0
71.1,Chanhu-daro,M032 M031 M324 M053 M060 M002 M385,koL-kai-kur-mi-kāṇṭāmirukam-kuṉ-kur,rava Amana-mAnasa,O Roaring[√रु अच्] affectionate[RV] spirit[MBh],1.0
72.1,Chanhu-daro,M032 M031 M355 M032 M530 M324 M325 M456,koL-kai-lu-koL-vē-kur-kur-ay,Ahanana ASa-hara ASa,"O Killer[AV], O food[RV] bringer[RV], O Eater[ŚBr][annāda]",1.0
73.1,Chanhu-daro,M032 M031 M324 M791 713,koL-kai-kur-iṭ-[713],anna-dAna-ASa,O food[RV] oblation[RV] eater[ŚBr],0.8
74.1,Chanhu-daro,M032 M031 M324 M053 M060 M002 M385,koL-kai-kur-mi-kāṇṭāmirukam-kuṉ-kur,ref:71.1,,1.0
75.1,Chanhu-daro,M051 M014 M385,pū/puḷ-tiru-kur,rasa-namana,(Soma) draught[R] saluting[RV],1.0
76.1,Chanhu-daro,M035 M002 M385,po-kuṉ-kur,rava-da,"O roar giver[RV, Pañcat]",1.0
77.1,Chanhu-daro,M001 M324 M009 M062,tōḷ-kur-āṇ-erutu,mAnya,Honored[MBh],1.0
79.1,Chanhu-daro,M001 M202 767,tōḷ-can-[767],tfRe,(Rudra) in the plant[RV; SR: oṣadhīṣu],0.667
80.1,Chanhu-daro,M301 M110,kur-kur,vama,O emitter[√वम् अच्],1.0
81.1,Chanhu-daro,M324 M636 M062 M002 M385,kur-vi-erutu-kuṉ-kur,rava maTan,O Roaring[√रु अच्] meditator[AV; मथ् शतृ],1.0
85.1,Chanhu-daro,M161 M055,kur-miN3,jaya,O Jaya (N. of author of RV 10.180 and many kings),1.0
87.1,Chanhu-daro,M217 M058 M364 M002 M385,kur-ke-kur-kuṉ-kur,rava Samana,O roaring[√रु अच्] destroyer[MBh],1.0
88.1,Chanhu-daro,M001 M256 M032 M031,tōḷ-kur-koL-kai,A-Sakya,O all powerful one[MBh][SR: sarveśvara],1.0
89.1,Chanhu-daro,M031 M349 M011 M324 M010 M002 M365 M287 M034,kai-kur-kaḷiṟu-kur-paṭ-kuṉ-vāṉ-kur-tōḷ,cazaRavAn tadA,"Therefore[RV], the eater[√चष ल्युट् मतुप्][annāda]",1.0
90.1,Chanhu-daro,M324 M086 M276,kur-oru-kur,ref:6.1,,1.0
91.1,Chanhu-daro,M324 M016 M002 M154 M296,kur-kaḷiṟu-kuṉ-kur-kur,sat-vahana,O existence[RV] bearer[RV],1.0
92.1,Chanhu-daro,M217 M060 M364 M002 M385,kur-kāṇṭāmirukam-kur-kuṉ-kur,rava SAmana,O Roaring[√रु अच्] Destroyer[Pañcat],1.0
93.1,Chanhu-daro,M324 M011 M320 M002 M298 M325,kur-kaḷiṟu-kur-kuṉ-kur-kur,analavat-dattam,granted[RV] in the presence of fire[AgP:अनल मतुप्],1.0
94.1,Chanhu-daro,M385 M094 M094 M090 M324 M221 M002 M031 M208,kur-onpatu-onpatu-aintu-kur-al-kuṉ-kai-kur,Ava A-mAna tatra,May I bring to[√अव् लिट् 1s] there[RV] O honored one[आ-√मान् अच्],1.0
96.1,Chanhu-daro,M324 M364 M058 M325 M166 M290,kur-kur-ke-kur-kur-kur,madana-mazan,O Destroyer[मष् शतृॅं] of Kāma[MBh],1.0
97.1,Chanhu-daro,M001 M058 M364 M033 M316 M062,tōḷ-ke-kur-puli-kur-erutu,maYja-Samya,O Roarer[√मञ्ज्] to be appeased[MW],1.0
98.1,Chanhu-daro,M324 M056 M050 M032 M002 M385,kur-miN4-pār-koL-kuṉ-kur,ravasa-mammana,O Roaring[RV] ever meditating one[√मन् यङि अच्](Rudra),1.0
99.1,Chanhu-daro,M276 M615 M011 M232 M062 M001 M060 M154,kur-ci-kaḷiṟu-kur-erutu-tōḷ-kāṇṭāmirukam-kur,dame manmanaH tanvaH,Tanva(author RV 10.93) is wisdom[RV] of the house[RV],1.0
100.1,Chanhu-daro,M161 M086 M276 M031 M324 M060 M154,kur-oru-kur-kai-kur-kāṇṭāmirukam-kur,damana varya,"O subduer[MBh], O excellent[MBh] one",1.0
101.1,Chanhu-daro,M050 M032 M060 766,pār-koL-kāṇṭāmirukam-[766],carma-samam,shield[MBh] like[RV],0.75
103.1,Chanhu-daro,M324 M098 M154 M031,kur-āl-kur-kai,adIna,O Noble minded one[MBh; 1000 names of Siva],1.0
104.1,Chanhu-daro,429 M003 M325 M060 M154,[429]-kalam-kur-kāṇṭāmirukam-kur,damana-jaya,O subduing[MBh] victor[AV],0.8
105.1,Chanhu-daro,M324 M009,kur-āṇ,ref:26.1,,1.0
107.1,Chanhu-daro,M001 M355 M031 M355 M495,tōḷ-lu-kai-lu-iṭ,ara-Arya,O wandering[√ऋ घञ्] ārya,1.0
108.1,Chanhu-daro,M004 M230,kēḷ-kur,maya,O horse (as Rudra)[VS]/O Injurer[√मी + अच्],1.0
109.1,Chanhu-daro,M283 M086 M032 M202 M086 M355,kur-oru-koL-can-oru-lu,raraRa sara-pa,The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7],1.0
110.1,Chanhu-daro,M129 M385 M310 M091 M128 857 M003 M110,kur-kur-kur-aru-kaṇ-[857]-kalam-kur,vajat-taqa acala-radDa-da,"O mighty[√वज् शतृ] Punisher[√तड् अच्], O Immovable[VP] giver of Subduing[RV 10.113.8]",0.875
111.1,Chanhu-daro,M086 M128 M702 M032 M051 M032 M013 M480 M355,oru-kaṇ-ci-koL-pū/puḷ-koL-nakaram-vi-lu,fzwa-hanman sam-DAra,O one with a thrusting[RV 10.108.7] blow[RV]; O container of all things[MBh],1.0
113.1,Chanhu-daro,822 M011 M015,[822]-kaḷiṟu-mā,pata-SaraH,The one with flying arrows[SR: niśīrya-śalya/iṣavaḥ vapa/visṛjya],0.667
114.1,Chanhu-daro,M375 M098 M086 M270,taṇ-āl-oru-muḷ,trEtAH,Traita sāman[TāṇḍyaBr],1.0
120.1,Chanhu-daro,M909 M540 M540,kō-aṉ-aṉ,daDya,May you all meditate[√ध्ययै लिट् 2p.],1.0
121.1,Chanhu-daro,M086 M095 M909 M005 M825 M117 M050 M016,oru-vē-kō-kōṉ-mu-ar-pār-kaḷiṟu,samara-raPya-ara,O restorer[√ऋ अच्] of the flowing(should go)[√रफ् यत्] confluence[RV],1.0
