id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
1210.1,Harappa,M324 M821,kur-uḷ,rarARa,O bountiful one[RV],1.0
1211.1,Harappa,M310 M033 M001 M316 M031 M002 M385,kur-puli-tōḷ-kur-kai-kuṉ-kur,ravARa yajan,O Roaring[√रु शतृ MBh] sacrificing[√यज् शतृ] one,1.0
1212.1,Harappa,M098 M324 M320,āl-kur-kur,ref:427.2,,1.0
1213.1,Harappa,M324 M009 M194,kur-āṇ-kaṭ,ref:157.1,,1.0
1214.1,Harappa,M001 M086 M276 M325 M330 M202,tōḷ-oru-kur-kur-can-can,naman varya,O eminent[MBh] one who is drawing a bow[√नम् शतृ],1.0
1214.2,Harappa,M001 M086 M276 M325 M330 M202,tōḷ-oru-kur-kur-can-can,ref:1214.1,,1.0
1215.1,Harappa,M324 M032 M349,kur-koL-kur,ref:535.1,,1.0
1215.2,Harappa,M324 M032 M349,kur-koL-kur,ref:535.1,,1.0
1216.1,Harappa,M098 M386 M182 M050 M154,āl-maṇ-kur-pār-kur,dama-dAsI,Servant[AV](f) of the Subduer[MBh],1.0
1217.1,Harappa,M098 M386 M182 M050 M154,āl-maṇ-kur-pār-kur,ref:1216.1,,1.0
1218.1,Harappa,M268 M031,kur-kai,ref:137.1,,1.0
1219.1,Harappa,M032 M349,koL-kur,daha,O one who burns[√दह् अच् RV],1.0
1220.1,Harappa,M098 M324 M463 M495,āl-kur-ci-iṭ,adanI,One who possesses food[आदन इनि; SR: andhasaspati],1.0
1221.1,Harappa,M098 M090 M324 M009 M092,āl-aintu-kur-āṇ-elu,ref:811.1,,1.0
1222.1,Harappa,M098 M158 M364 M470,āl-kur-kur-āl,ref:592.1,,1.0
1223.1,Harappa,M158 M364 M465,kur-kur-tu,ref:622.1,,1.0
1224.1,Harappa,M324 M230 M463 M354,kur-kur-ci-kur,Cada-han,"Coverer[=Vṛtr, BhP] killer[RV vṛtrahan]",1.0
1226.1,Harappa,M324 M086 M276 M062,kur-oru-kur-erutu,ref:1057.1,,1.0
1227.1,Harappa,M086 M276 M324 M072,oru-kur-kur-mā,saMvara,O one who stops(Viṣṇu)[Name of Viṣṇu in Pañcar],1.0
1227.2,Harappa,M167 M316,kur-kur,ref:1010.1,,1.0
1227.3,Harappa,M032 M310 M009 M001,koL-kur-āṇ-tōḷ,AMSa,Relating to/descendent of Aṃśa[RV],1.0
1228.1,Harappa,M031 M033,kai-puli,jA,The generator[nms. of जन्],1.0
1229.1,Harappa,M031 M033,kai-puli,ref:1228.1,,1.0
1230.1,Harappa,M324 M332 M482 M062,kur-intu-pa-erutu,ref:1023.1,,1.0
1231.1,Harappa,M324 M332 M482 M062,kur-intu-pa-erutu,ref:1023.1,,1.0
1232.1,Harappa,M324 M332 M482 M062,kur-intu-pa-erutu,ref:1023.1,,1.0
1234.1,Harappa,M098 M324 M050 M092 M230,āl-kur-pār-elu-kur,ahata-mAnI,The unblemished[BhP] honored one[MBh],1.0
1235.1,Harappa,M098 M324 M086 M276 M060 M364,āl-kur-oru-kur-kāṇṭāmirukam-kur,sAma-varRI,Tranquil[sāman TBr] Appearance[RV][वर्ण इनि],1.0
1236.1,Harappa,M324 M048 M325 M355,kur-mu/muṉ-kur-lu,ref:300.1,,1.0
1236.2,Harappa,M310 M033 M711 M335 M289 M099,kur-puli-ma-kur-kur-kol/koḷ,ref:300.2,,1.0
1237.1,Harappa,M324 M642 M062 M204 M316 M265,kur-pa-erutu-kur-kur-kur,manaH matam,The mind is thought[KenaUp 1.1.5 यन्मनसा न मनुते येनाहुर्मनो मतम् ।],1.0
1237.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1239.1,Harappa,M098 M158 M364 M472,āl-kur-kur-ci,ref:592.1,,1.0
1240.1,Harappa,M098 M921 M256 M188 M073 M055,āl-ar-kur-kur-kōṉ-miN3,jap-mAKa-DIH,The Splendor[RV] of the meditator's[√जप् क्विप्] oblation[Hariv],1.0
1240.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1241.1,Harappa,M324 M009 M194 M010,kur-āṇ-kaṭ-paṭ,ref:1197.1,,1.0
1241.2,Harappa,M698,ōṭu,ref:137.1,,1.0
1242.1,Harappa,M098 M324 M898 M268,āl-kur-al-kur,ref:681.1,,1.0
1242.2,Harappa,M033 M310,puli-kur,ref:290.1,,1.0
1243.1,Harappa,M098 M004 M118,āl-kēḷ-car,ref:557.2,,1.0
1243.2,Harappa,M032 M310,koL-kur,ref:409.1,,1.0
1244.1,Harappa,M098 M217 M098 M352,āl-kur-āl-tu,ref:917.2,,1.0
1244.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1245.1,Harappa,M098 M217 M098 M353,āl-kur-āl-kur,ref:917.2,,1.0
1245.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1246.1,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1246.2,Harappa,M098 M137,āl-kuṟ,ref:281.1,,1.0
1247.1,Harappa,M324 M309 M195,kur-kur-kur,ref:643.1,,1.0
1247.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1248.1,Harappa,M324 M309 M195,kur-kur-kur,ref:1247.1,,1.0
1248.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1249.1,Harappa,M324 M309 M194,kur-kur-kaṭ,ref:1247.1,,1.0
1249.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1250.1,Harappa,M092 M035 M346,elu-po-kur,upta,O Seeded one(field)[√वप् क्त; SR: urvarya],1.0
1250.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1253.1,Harappa,M098 M158 M172 M736,āl-kur-kur-ay,AnAyI,fisherman [nms. आनायिन्; SR: niśāda],1.0
1254.1,Harappa,M098 M158 M172 M736,āl-kur-kur-ay,ref:1253.1,,1.0
1255.1,Harappa,M098 M158 M172 M736,āl-kur-kur-ay,ref:1253.1,,1.0
1256.1,Harappa,M098 M324 M182 M268,āl-kur-kur-kur,ref:681.1,,1.0
1256.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1257.1,Harappa,M217 M072 M219,kur-mā-kur,mama han,O my[RV] destroyer[RV],1.0
1257.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1258.1,Harappa,M217 M050 M062 M002 M378,kur-pār-erutu-kuṉ-kur,rava-mammana,O Roaring[√रु अच्] ever meditating one[√मन् यङि अच्](Rudra),1.0
1258.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1259.1,Harappa,M098 M324 M177 M519,āl-kur-na-iṭ,ref:550.2,,1.0
1259.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1260.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1260.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1262.1,Harappa,M256 M202 M385,kur-can-kur,ref:405.1,,1.0
1262.2,Harappa,M324 M032 M349 M679,kur-koL-kur-kō,Aka-dahana,The wandering[√अक् घञ्] destroyer[BhP],1.0
1263.1,Harappa,M324 M642 M062 M060 M256,kur-pa-erutu-kāṇṭāmirukam-kur,ref:424.2,,1.0
1263.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1264.1,Harappa,M086 M060 M324 M208 M091,oru-kāṇṭāmirukam-kur-kur-aru,Ana mara,"O prāṇa(Rudra)[Praśna Up. 2.9], O Destroyer[√मॄ+अच्]",1.0
1264.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1265.1,Harappa,M324 M172 M032 M058 M364,kur-kur-koL-ke-kur,Sama-hAna,O destroyer[MBh] of extinction[MBh],1.0
1266.1,Harappa,M001 M031,tōḷ-kai,A,The one who breathes[√अन् nom. RV 10.129.2],1.0
1268.1,Harappa,M098 M217 M058,āl-kur-ke,ref:406.2,,1.0
1269.1,Harappa,M020 M002 M378,kuṉ-kuṉ-kur,avara,small[=kṣulla=Rudra Sri Rudram][L>R],1.0
1269.2,Harappa,M034,tōḷ,ref:334.1,,1.0
1270.1,Harappa,M098 M807 M324 M219,āl-kur-kur-kur,mamAna naSanin,"May I worship[√मान् लिट् 1s], O destroyer[Bhp नशन इनि]",1.0
1270.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1271.2,Harappa,M035 M310 M033,po-kur-puli,ref:498.1,,1.0
1272.2,Harappa,M116 M032,kur-koL,ref:157.1,,1.0
1273.1,Harappa,M098 M324 M154 M303 M058 M062 M230,āl-kur-kur-kur-ke-erutu-kur,ref:569.2,,1.0
1273.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1274.1,Harappa,M033 M310,puli-kur,ref:290.1,,1.0
1274.2,Harappa,M217 M058,kur-ke,ref:282.2,,1.0
1276.1,Harappa,M098 M324 M009 M062,āl-kur-āṇ-erutu,ref:406.2,,1.0
1276.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1277.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,Arava-mana,The howling[Pāṇ] meditator[√मन् अच्],1.0
1278.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1279.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1280.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1281.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1282.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1283.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1284.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1285.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1286.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1287.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1288.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1289.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1290.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1293.1,Harappa,M324 M288 M017 M033 M316 M364 M002 M050 M221 M154,kur-kur-kai-puli-kur-kur-kuṉ-pār-al-kur,dasma vaha aYjas saBAm,"O extraordinary[RV] one, lead me[√वह् लोट् 2s] quickly[RV] to the Council[RV]",1.0
1294.1,Harappa,M324 M482 M055 M050 M092 M230 M364 M326 M268,kur-pa-miN3-pār-elu-kur-kur-kur-kur,nanama SastaM jazaM,May I salute[√नम् लिट् 1s] the praised[RV] destroyer[√जष् अच्],1.0
1295.1,Harappa,M280 M420 M320 M327,kur-ru-kur-kur,anDa-yava,"O one who wards off[AV] the darkness[R; Sun in RV 1.62.5, SR: Rising Sun]",1.0
1296.1,Harappa,M324 M288 M017 M062 M002 M305 M032 M172,kur-kur-kai-erutu-kuṉ-ōṭu/comitative-koL-kur,Aha lava-maha-BaRa,Indeed O cutting[Nalod] mighty[RV] roarer[√भण् अच्],1.0
1298.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1299.1,Harappa,M217 M062 M002 M086 M501,kur-erutu-kuṉ-oru-kaṇ,ref:1277.1,,1.0
1300.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1301.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1302.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1303.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1304.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1305.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1306.1,Harappa,M324 M086 M276 M256 M436 M073 M154 M318 M050 M092 M364,kur-oru-kur-kur-mu-kōṉ-kur-kur-pār-elu-kur,ref:291.1,,1.0
1307.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1308.1,Harappa,M098 M090,āl-aintu,ref:281.1,,1.0
1309.1,Harappa,M098 M324 M332 M605,āl-kur-intu-iṭam,ref:266.1,,1.0
1310.1,Harappa,M004 M003,kēḷ-kalam,ref:693.3,,1.0
1311.1,Harappa,M324 783 M004,kur-[783]-kēḷ,ref:309.1,,0.667
1312.1,Harappa,M324 783 M004,kur-[783]-kēḷ,ref:309.1,,0.667
1314.1,Harappa,M002 M385,kuṉ-kur,ref:466.1,,1.0
1315.1,Harappa,M002 M385,kuṉ-kur,ref:466.1,,1.0
1317.1,Harappa,M275 M032,kur-koL,sana,O ancient one[RV; =Vṛddha],1.0
1318.1,Harappa,M098 M324 M289 M017 M154,āl-kur-kur-kai-kur,dasmAni,The accomplishers[दस्म nns],1.0
1318.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1319.1,Harappa,M098 M001 M309 M270 M316,āl-tōḷ-kur-muḷ-kur,antamayI,One who holds[+इनि] the essence[-maya] of destruction[RV](Rudra),1.0
1319.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1320.1,Harappa,M098 M324 M636 M062,āl-kur-vi-erutu,maTAni,The destroyers[√मथ् अच्],1.0
1320.2,Harappa,M310 M126,kur-kur,ref:131.1,,1.0
1321.1,Harappa,M868 M316 M276,gi-kur-kur,ref:234.1,,1.0
1321.2,Harappa,M098 M004 M188 M073,āl-kēḷ-kur-kōṉ,ref:234.2,,1.0
1322.1,Harappa,M256 M202 M385,kur-can-kur,ref:405.1,,1.0
1322.2,Harappa,M098 M324 M117 M495,āl-kur-ar-iṭ,ref:1052.1,,1.0
1323.1,Harappa,M824 M182 M099,māṉ-kur-kol/koḷ,ref:295.1,,1.0
1323.2,Harappa,M098 M324 M636 M062 M031 M032 M346,āl-kur-vi-erutu-kai-koL-kur,uzA-maTanI,The stirrer[MBh इनि] of dawn[RV] [SR: tamra aruṇa],1.0
1324.1,Harappa,M050 M310 M004,pār-kur-kēḷ,ref:170.1,,1.0
1324.2,Harappa,M098 M332 M324 M050 M095,āl-intu-kur-pār-vē,tman-ariH,Faithful[RV] to the ātman[RV],1.0
1325.1,Harappa,M098 M324 M032 M027,āl-kur-koL-māṟ,ref:549.2,,1.0
1325.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1326.1,Harappa,M256 M681,kur-ē,ref:640.1,,1.0
1326.2,Harappa,M324 M032 M059,kur-koL-ēḷ/eḷ,sahana,O mighty one[Nir],1.0
1327.1,Harappa,M003 M385 M031,kalam-kur-kai,arajaH,O one free from passion[MBh],1.0
1327.2,Harappa,M324 M073 M061,kur-kōṉ-ka,ref:221.1,,1.0
1328.1,Harappa,M324 M032 M349,kur-koL-kur,ref:535.1,,1.0
1328.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1329.1,Harappa,M202 M154,can-kur,ref:26.1,,1.0
1329.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1330.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1330.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1331.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1331.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1332.1,Harappa,M324 M056 M003,kur-miN4-kalam,jaman,O one who eats[√जम् शतृ; avś 19.55.5 annāda],1.0
1333.1,Harappa,M098 M324 M178,āl-kur-i,ref:260.2,,1.0
1333.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1334.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1334.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1335.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1335.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1336.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1336.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1337.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1337.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1338.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1338.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1339.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1339.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1341.1,Harappa,M217 M050 M092,kur-pār-elu,ref:221.1,,1.0
1341.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1342.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1343.1,Harappa,M324 M256 M270 M062,kur-kur-muḷ-erutu,ref:1058.1,,1.0
1343.2,Harappa,M032 M310,koL-kur,ref:409.1,,1.0
1344.1,Harappa,M098 M324 M032 M028,āl-kur-koL-cōḻ,ref:544.2,,1.0
1344.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1345.1,Harappa,M324 M009 M062,kur-āṇ-erutu,ref:316.1,,1.0
1345.2,Harappa,M033 M310,puli-kur,ref:290.1,,1.0
1346.1,Harappa,M098 M004 M384 M031,āl-kēḷ-kur-kai,aBayI,The fearless one[ŚBr][अभय इनि],1.0
1346.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1347.2,Harappa,M324 926,kur-[926],SAtana,O Destroyer[Nir],0.5
1348.1,Harappa,M324 M349 M013,kur-kur-nakaram,ref:1188.1,,1.0
1348.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1349.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1350.1,Harappa,M256 M004,kur-kēḷ,caka,"Caka (Name: The satiating one)[√चक् अच्; =3 libations śBr 11.6.2.7], Name  of a Nāga priest[TāṇḍyaBr. xxv, 15, 3]",1.0
1350.2,Harappa,M098 M325 M320 M060,āl-kur-kur-kāṇṭāmirukam,ama-dAnI,The mighty[RV] generous[BhP] one,1.0
1351.1,Harappa,M217 M050,kur-pār,ref:282.2,,1.0
1351.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1353.1,Harappa,M098 M182 M829,āl-kur-iṉ,ref:249.1,,1.0
1355.1,Harappa,M098 M182 M829,āl-kur-iṉ,ref:249.1,,1.0
1356.1,Harappa,M086 M034,oru-tōḷ,ref:17.1,,1.0
1361.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1362.1,Harappa,M098 M324 M309 M194,āl-kur-kur-kaṭ,ref:258.1,,1.0
1362.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1363.1,Harappa,M324 M385 M382,kur-kur-kur,ref:1210.1,,1.0
1363.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1364.1,Harappa,M301 M230 M050,kur-kur-pār,ref:945.2,,1.0
1364.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1365.1,Harappa,M090 M324 M272,aintu-kur-ma,ref:316.1,,1.0
1365.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1366.1,Harappa,M217 M050 M092,kur-pār-elu,ref:221.1,,1.0
1366.2,Harappa,M310 M090,kur-aintu,ref:26.1,,1.0
1367.1,Harappa,M098 M098,āl-āl,ref:281.1,,1.0
1369.1,Harappa,M324 M256 M642 M062,kur-kur-pa-erutu,ref:1058.1,,1.0
1369.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1370.1,Harappa,M098 M324 M032 M060 M013,āl-kur-koL-kāṇṭāmirukam-nakaram,tama-SaniH,The dark[ŚivaP] Śiva[W],1.0
1370.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1371.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1371.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1372.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1372.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1373.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1373.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1374.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1374.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1374.3,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1375.1,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1375.2,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1376.1,Harappa,M098 M324 M194,āl-kur-kaṭ,ref:260.2,,1.0
1376.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1377.1,Harappa,M098 M004 M188 M073,āl-kēḷ-kur-kōṉ,ref:234.2,,1.0
1377.2,Harappa,M034 M310,tōḷ-kur,ref:396.1,,1.0
1378.1,Harappa,M301 M230 M050,kur-kur-pār,ref:945.2,,1.0
1378.2,Harappa,M032 M310,koL-kur,ref:409.1,,1.0
1379.1,Harappa,M824 M032 M578 M092,māṉ-koL-il-elu,ref:222.1,,1.0
1379.2,Harappa,M324 M636 M062 M060 M256,kur-vi-erutu-kāṇṭāmirukam-kur,ref:424.2,,1.0
1380.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1381.1,Harappa,M324 M332 M797,kur-intu-ē,asrAn,tears[RV] (of/by Śiva),1.0
1381.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
1382.1,Harappa,M238 M325 M263,kur-kur-kur,tam asi,That[RV] you are[√अस् लट् 2s],1.0
1382.2,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
1382.3,Harappa,M256 M182,kur-kur,Dakka,O destroyer[√धक्क् अच्],1.0
1383.1,Harappa,M217 M050 M092,kur-pār-elu,ref:221.1,,1.0
1385.1,Harappa,M004 M003,kēḷ-kalam,ref:85.1,,1.0
1386.1,Harappa,M310,kur,ref:122.1,,1.0
1386.2,Harappa,M033,puli,ref:337.1,,1.0
1387.1,Harappa,M098 M004 M384 M031,āl-kēḷ-kur-kai,ref:1346.1,,1.0
1388.1,Harappa,M202 M033 M316 M031 M325 M086 M325,can-puli-kur-kai-kur-oru-kur,anarRa-aYjan,O tranquil(without tumult)[न अर्ण RV] anointer[√अञ्ज् शतृ][Śiva bhiṣak],1.0
1388.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1389.1,Harappa,M037,kēḷ,ref:34.1,,1.0
1390.1,Harappa,M310 M036,kur-tiru,ref:39.1,,1.0
1391.1,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
1392.1,Harappa,M033,puli,ref:337.1,,1.0
1393.1,Harappa,M001,tōḷ,ref:182.1,,1.0
1396.1,Harappa,M930 M270 M154,māṉ-muḷ-kur,datta-Arava,O one given[RV] to howling[Pāṇ][cf. dattadṛṣṭi],1.0
1397.1,Harappa,M930 M270 M154,māṉ-muḷ-kur,ref:1396.1,,1.0
1400.1,Harappa,M301 M230 M324 M055 M062 M092 M230 M060 M201,kur-kur-kur-miN3-erutu-elu-kur-kāṇṭāmirukam-kur,A-samastam jaMsam,Complete[ŚBr] protection[√जंस् घञ्],1.0
1401.1,Harappa,M217 M033 M316 M056 M364 M002 M385,kur-puli-kur-miN4-kur-kuṉ-kur,ravasa-maYjana,O who Roars[RV] resoundly[√मञ्ज् ल्युट्],1.0
1402.1,Harappa,M324 M086 M276 M060 M002 M031 M480 M625,kur-oru-kur-kāṇṭāmirukam-kuṉ-kai-vi-iṭ,Basa-A-vAma-varam,The excellent[RV] splendid[RV] devourer[RV भस् अच्],1.0
1403.1,Harappa,M378 M311 M048,kur-vaTamiin-mu/muṉ,amala-rama,"pleasingly pure[AV,MBh]",1.0
1404.1,Harappa,M324 M031 M211 M060 M060 M154,kur-kai-kol-kāṇṭāmirukam-kāṇṭāmirukam-kur,dama-ama-mAna,O self-restrained[ŚBr] mighty[RV] honored[MBh] one,1.0
1410.1,Harappa,M051 M364 M002 863,pū/puḷ-kur-kuṉ-[863],ravasa-nAman,Sign[RV] of the Roarer[RV],0.75
1412.1,Harappa,M086 M003 M002 M385,oru-kalam-kuṉ-kur,ref:634.1,,1.0
1413.1,Harappa,M324 M194 M062 M002 M702 M210,kur-kaṭ-erutu-kuṉ-ci-kur,Anava-mahan,O mighty[RV] one kind to men[RV],1.0
1414.1,Harappa,M202 M349 830 M002 M385,can-kur-[830]-kuṉ-kur,rava-taqan,O Roaring[√रु अच्] punisher[√तड् शतृ],0.8
1415.1,Harappa,M324 M283 M062 M001 M378,kur-kur-erutu-tōḷ-kur,rAma-pAna,O lovely[MBh] draught of Soma[RV],1.0
1416.1,Harappa,M161 M058 M050 M032 M325 M268,kur-ke-pār-koL-kur-kur,SaM-Samamaya,O auspicious[RV] calmness-filled[MBh] one,1.0
1417.1,Harappa,931,[931],Apa,vedic deity(Vasus)[MBh],0.0
1422.1,Harappa,M086 M004 M001 M324 M443 M110 M011,oru-kēḷ-tōḷ-kur-il-kur-kaḷiṟu,tva-pAna-Acara,O one consuming[MBh] several[RV] (Soma) drinks[RV],1.0
1423.1,Harappa,M679 M324 M062 M060 M230,kō-kur-erutu-kāṇṭāmirukam-kur,aSma-mAnaka,O one who honors[√मन् ण्वुल्] the heavens[RV],1.0
1430.1,Harappa,M090 M324 M062 M031,aintu-kur-erutu-kai,A-mAnaH,Complete[Ragh] honor[√मन् घञ्],1.0
1431.1,Harappa,M324 M309 M195,kur-kur-kur,ref:1248.1,,1.0
1432.1,Harappa,M382 225,kur-[225],SaM-hara,O auspicious[RV] Śiva[MBh],0.5
1434.1,Harappa,M241 M050 M032 M002 M385,kur-pār-koL-kuṉ-kur,rava-Samana-mana,O Roaring[√रु अच्] destroying[MBh] meditating one[√मन् अच्],1.0
1436.1,Harappa,M324 M288 M230 M002 M385 M216,kur-kur-kur-kuṉ-kur-kur,yaH ravasa-BARaH,He who resounds[√भण् अच्] a roar[RV][ya = visarga elided],1.0
1437.1,Harappa,M281,piLLai,AyAH,The Wanderers[=maruts; RV 4.6.10],1.0
1439.1,Harappa,M324 M086 M276 M062 M325 M086 728,kur-oru-kur-erutu-kur-oru-[728],amaraRam varaM,The gift[RV] of immortality[MBh],0.857
1440.1,Harappa,M324 M009 M062 M325 M702 M154 M003,kur-āṇ-erutu-kur-ci-kur-kalam,jAnan mAna,O knowing[√ज्ञा शतृ] meditator[√मान् अच्],1.0
1441.1,Harappa,M324 M098 M031 M061,kur-āl-kai-ka,ref:929.1,,1.0
1442.1,Harappa,M324 M266,kur-kur,ref:32.1,,1.0
