book,chapter,strophe,verse,n_words,padapatha_words_ws_joined
1,5,8,1,6,tvām stomāḥ avīvṛdhan tvām ukthā śatakrato
1,5,8,2,4,tvām vardhantu naḥ giraḥ
1,5,9,1,6,akṣitotiḥ sanet imam vājam indraḥ sahasriṇam
1,5,9,2,3,yasmin viśvāni pauṃsyā
1,5,10,1,8,mā naḥ martāḥ abhi druhan tanūnām indra girvaṇaḥ
1,5,10,2,3,īśānaḥ yavayā vadham
1,6,1,1,6,yuñjanti bradhnam aruṣam carantam pari tasthuṣaḥ
1,6,1,2,3,rocante rocanā divi
1,6,2,1,6,yuñjanti asya kāmyā harī vipakṣasā rathe
1,6,2,2,4,śoṇā dhṛṣṇū nṛ vāhasā
1,6,3,1,6,ketum kṛṇvan aketave peśaḥ maryāḥ apeśase
1,6,3,2,3,sam uṣadbhiḥ ajāyathāḥ
1,6,4,1,8,āt aha svadhām anu punar garbha tvam erire
1,6,4,2,3,dadhānāḥ nāma yajñiyam
1,6,5,1,7,vīḍu cit ārujatnubhiḥ guhā cit indra vahnibhiḥ
1,6,5,2,3,avindaḥ usriyāḥ anu
1,6,6,1,6,devayantaḥ yathā matim acchā vidadvasum giraḥ
1,6,6,2,3,mahām anūṣata śrutam
1,6,7,1,6,indreṇa sam hi dṛkṣase saṃjagmānaḥ bibhyuṣā
1,6,7,2,3,mandū samāna varcasā
1,6,8,1,5,anavadyaiḥ abhidyubhiḥ makhaḥ sahasvat arcati
1,6,8,2,3,gaṇaiḥ indrasya kāmyaiḥ
1,6,9,1,8,atas parijman ā gahi divaḥ vā rocanāt adhi
1,6,9,2,4,sam asmin ṛñjate giraḥ
1,6,10,1,8,itas vā sātim īmahe divaḥ vā pārthivāt adhi
1,6,10,2,4,indram mahaḥ vā rajasaḥ
1,7,1,1,7,indram id gāthinaḥ bṛhat indram arkebhiḥ arkiṇaḥ
1,7,1,2,3,indram vāṇīḥ anūṣata
1,7,2,1,8,indraḥ id haryoḥ sacā sammiślaḥ ā vacaḥ yujā
1,7,2,2,3,indraḥ vajrī hiraṇyayaḥ
1,7,3,1,7,indraḥ dīrghāya cakṣase ā sūryam rohayat divi
1,7,3,2,4,vi gobhiḥ adrim airayat
1,7,4,1,7,indra vājeṣu naḥ ava sahasra pradhaneṣu ca
1,7,4,2,3,ugraḥ ugrābhiḥ ūtibhiḥ
1,7,5,1,6,indram vayam mahādhane indram arbhe havāmahe
1,7,5,2,3,yujam vṛtreṣu vajriṇam
1,7,6,1,8,sa naḥ vṛṣan amum carum satrādāvan apā vṛdhi
1,7,6,2,2,asmabhyam apratiṣkutaḥ
1,7,7,1,7,tuñje tuñje ye uttare stomāḥ indrasya vajriṇaḥ
1,7,7,2,4,na vindhe asya suṣṭutim
1,7,8,1,7,vṛṣā yūthā iva vaṃsagaḥ kṛṣṭīḥ iyarti ojasā
1,7,8,2,2,īśānaḥ apratiṣkutaḥ
1,7,9,1,5,yaḥ ekaḥ carṣaṇīnām vasūnām irajyati
1,7,9,2,3,indraḥ pañca kṣitīnām
1,7,10,1,6,indram vaḥ viśvatas pari havāmahe janebhyaḥ
1,7,10,2,3,asmākam astu kevalaḥ
1,8,1,1,7,ā indra sānasim rayim sa jitvānam sadāsaham
1,8,1,2,3,varṣiṣṭham ūtaye bhara
1,8,2,1,7,ni yena muṣṭi hatyayā ni vṛtrā ruṇadhāmahai
1,8,2,2,3,tvotāsaḥ ni arvatā
1,8,3,1,7,indra tvotāsaḥ ā vayam vajram ghanā dadīmahi
1,8,3,2,4,jayema sam yudhi spṛdhaḥ
1,8,4,1,7,vayam śūrebhiḥ astṛbhiḥ indra tvayā yujā vayam
1,8,4,2,2,sāsahyāma pṛtanyataḥ
1,8,5,1,9,mahāṁ indraḥ paras ca nu mahi tvam astu vajriṇe
1,8,5,2,4,dyauḥ na prathinā śavaḥ
1,8,6,1,7,samohe vā ye āśata naraḥ tokasya sanitau
1,8,6,2,3,viprāsaḥ vā dhiyāyavaḥ
1,8,7,1,7,yaḥ kukṣiḥ soma pātamaḥ samudraḥ iva pinvate
1,8,7,2,4,urvīḥ āpaḥ na kākudaḥ
1,8,8,1,7,eva hi asya sūnṛtā virapśī gomatī mahī
1,8,8,2,4,pakvā śākhā na dāśuṣe
1,8,9,1,7,eva hi te vibhūtayaḥ ūtayaḥ indra māvate
1,8,9,2,4,sadyas cit santi dāśuṣe
1,8,10,1,8,eva hi asya kāmyā stomaḥ uktham ca śaṃsyā
1,8,10,2,3,indrāya soma pītaye
1,9,1,1,7,indra ihi matsi andhasaḥ viśvebhiḥ soma parvabhiḥ
1,9,1,2,3,mahāṁ abhiṣṭiḥ ojasā
1,9,2,1,8,ā īm enam sṛjatā sute mandim indrāya mandine
1,9,2,2,3,cakrim viśvāni cakraye
1,9,3,1,6,matsvā su śipra mandibhiḥ stomebhiḥ viśvacarṣaṇe
1,9,3,2,4,sacā eṣu savaneṣu ā
1,9,4,1,8,asṛgram indra te giraḥ prati tvām ud ahāsata
1,9,4,2,3,ajoṣāḥ vṛṣabham patim
1,9,5,1,7,sam codaya citram arvāk rādhaḥ indra vareṇyam
1,9,5,2,5,asat id te vibhu prabhu
1,9,6,1,7,asmān su tatra codaya indra rāye rabhasvataḥ
1,9,6,2,3,tuvi dyumna yaśasvataḥ
1,9,7,1,8,sam gomat indra vājavat asme pṛthu śravaḥ bṛhat
1,9,7,2,4,viśva āyuḥ dhehi akṣitam
1,9,8,1,7,asme dhehi śravaḥ bṛhat dyumnam sahasra sātamam
1,9,8,2,4,indra tāḥ rathinīḥ iṣaḥ
1,9,9,1,7,vasoḥ indram vasu patim gīrbhiḥ gṛṇantaḥ ṛgmiyam
1,9,9,2,3,homa gantāram ūtaye
1,9,10,1,8,sute sute nyokase bṛhat bṛhate ā id ariḥ
1,9,10,2,3,indrāya śūṣam arcati
1,10,1,1,6,gāyanti tvā gāyatriṇaḥ arcanti arkam arkiṇaḥ
1,10,1,2,7,brahmāṇaḥ tvā śatakrato ud vaṃśam iva yemire
1,10,2,1,7,yat sānoḥ sānum āruhat bhūri aspaṣṭa kartvam
1,10,2,2,7,tat indraḥ artham cetati yūthena vṛṣṇiḥ ejati
1,10,3,1,7,yukṣvā hi keśinā harī vṛṣaṇā kakṣya prā
1,10,3,2,8,athā naḥ indra soma pāḥ girām upaśrutim cara
1,10,4,1,8,ehi stomāṁ abhi svara abhi gṛṇīhi ā ruva
1,10,4,2,9,brahma ca naḥ vaso sacā indra yajñam ca vardhaya
1,10,5,1,6,uktham indrāya śaṃsyam vardhanam puru niṣṣidhe
1,10,5,2,7,śakraḥ yathā suteṣu ṇaḥ rāraṇat sakhyeṣu ca
1,10,6,1,10,tam id sakhi tve īmahe tam rāye tam su vīrye
1,10,6,2,8,sa śakraḥ uta naḥ śakat indraḥ vasu dayamānaḥ
1,10,7,1,6,suvivṛtam sunirajam indra tvādātam id yaśaḥ
1,10,7,2,7,gavām apa vrajam vṛdhi kṛṇuṣva rādhaḥ adrivas
1,10,8,1,6,nahi tvā rodasī ubhe ṛghāyamāṇam invataḥ
1,10,8,2,7,jeṣaḥ svarvatīḥ apaḥ sam gāḥ asmabhyam dhūnuhi
1,10,9,1,9,āśrut karṇa śrudhī havam nū cit dadhiṣva me giraḥ
1,10,9,2,8,indra stomam imam mama kṛṣvā yujaḥ cit antaram
1,10,10,1,7,vidma hi tvā vṛṣantamam vājeṣu havana śrutam
1,10,10,2,5,vṛṣantamasya hūmahe ūtim sahasra sātamām
1,10,11,1,8,ā tū naḥ indra kauśika mandasānaḥ sutam piba
1,10,11,2,9,navyam āyuḥ pra sū tira kṛdhi sahasra sām ṛṣim
1,10,12,1,7,pari tvā girvaṇaḥ giraḥ imāḥ bhavantu viśvatas
1,10,12,2,7,vṛddha āyum anu vṛddhayaḥ juṣṭāḥ bhavantu juṣṭayaḥ
1,11,1,1,6,indram viśvāḥ avīvṛdhan samudra vyacasam giraḥ
1,11,1,2,5,rathītamam rathīnām vājānām satpatim patim
1,11,2,1,8,sakhye te indra vājinaḥ mā bhema śavasas pate
1,11,2,2,6,tvām abhi pra ṇonumaḥ jetāram aparājitam
1,11,3,1,7,pūrvīḥ indrasya rātayaḥ na vi dasyanti ūtayaḥ
1,11,3,2,6,yadī vājasya gomata stotṛbhyaḥ maṃhate magham
1,11,4,1,7,purām bhinduḥ yuvā kaviḥ amita ojāḥ ajāyata
1,11,4,2,6,indraḥ viśvasya karmaṇaḥ dhartā vajrī puruṣṭutaḥ
1,11,5,1,6,tvam valasya gomataḥ apāvaḥ adrivas bilam
1,11,5,2,5,tvām devāḥ bibhyuṣaḥ tujyamānāsaḥ āviṣuḥ
1,11,6,1,8,tava aham śūra rātibhiḥ prati āyam sindhum āvadan
1,11,6,2,6,upātiṣṭhanta girvaṇaḥ viduḥ ṭe tasya kāravaḥ
1,11,7,1,6,māyābhiḥ indra māyinam tvam śuṣṇam avātiraḥ
1,11,7,2,8,viduḥ ṭe tasya medhirāḥ teṣām śravāṃsi ud tira
1,11,8,1,6,indram īśānam ojasā abhi stomāḥ anūṣata
1,11,8,2,7,sahasram yasya rātayaḥ uta vā santi bhūyasīḥ
1,12,1,1,6,agnim dūtam vṛṇīmahe hotāram viśva vedasam
1,12,1,2,3,asya yajñasya sukratum
1,12,2,1,6,agnim agnim havīmabhiḥ sadā havanta viśpatim
1,12,2,2,4,havya vāham puru priyam
1,12,3,1,7,agne devāṁ iha ā vaha jajñānaḥ vṛktabarhiṣe
1,12,3,2,4,asi hotā naḥ īḍyaḥ
1,12,4,1,8,tāṁ uśataḥ vi bodhaya yat agne yāsi dūtyam
1,12,4,2,4,devaiḥ ā satsi barhiṣi
1,12,5,1,6,ghṛtāhavana dīdivas prati ṣma riṣataḥ daha
1,12,5,2,3,agne tvam rakṣasvinaḥ
1,12,6,1,7,agninā agniḥ sam idhyate kaviḥ gṛhapatiḥ yuvā
1,12,6,2,3,havyavāṭ juhū āsyaḥ
1,12,7,1,7,kavim agnim upa stuhi satya dharmāṇam adhvare
1,12,7,2,3,devam amīva cātanam
1,12,8,1,7,yaḥ tvām agne haviṣpatiḥ dūtam deva saparyati
1,12,8,2,5,tasya sma pra avitā bhava
1,12,9,1,6,yaḥ agnim deva vītaye haviṣmāṁ āvivāsati
1,12,9,2,3,tasmai pāvaka mṛḍaya
1,12,10,1,9,sa naḥ pāvaka dīdivas agne devāṁ iha ā vaha
1,12,10,2,5,upa yajñam haviḥ ca naḥ
1,12,11,1,7,sa naḥ stavānaḥ ā bhara gāyatreṇa navīyasā
1,12,11,2,3,rayim vīravatīm iṣam
1,12,12,1,6,agne śukreṇa śociṣā viśvābhiḥ deva hūtibhiḥ
1,12,12,2,4,imam stomam juṣasva naḥ
1,13,1,1,8,su samiddhaḥ naḥ ā vaha devāṁ agne haviṣmate
1,13,1,2,4,hotar pāvaka yakṣi ca
1,13,2,1,6,madhumantam tanūnapād yajñam deveṣu naḥ kave
1,13,2,2,3,adyā kṛṇuhi vītaye
1,13,3,1,7,narāśaṃsam iha priyam asmin yajñe upa hvaye
1,13,3,2,3,madhu jihvam haviṣkṛtam
1,13,4,1,7,agne sukhatame rathe devāṁ īḍitaḥ ā vaha
1,13,4,2,4,asi hotā manuḥ hitaḥ
1,13,5,1,6,stṛṇīta barhiḥ ānuṣak ghṛta pṛṣṭham manīṣiṇaḥ
1,13,5,2,3,yatrā amṛtasya cakṣaṇam
1,13,6,1,6,vi śrayantām ṛtāvṛdhaḥ dvāraḥ devīḥ asaścataḥ
1,13,6,2,4,adyā nūnam ca yaṣṭave
1,13,7,1,6,naktoṣāsā supeśasā asmin yajñe upa hvaye
1,13,7,2,4,idam naḥ barhiḥ āsade
1,13,8,1,8,tā su jihvau upa hvaye hotārā daivyā kavī
1,13,8,2,4,yajñam naḥ yakṣatām imam
