sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P295,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar. Vertical lines come down from the crossbar.",W318,M188,V279,2,0,0,0,0,False,mayig_features
P296,parpola_1982,"Two long vertical strokes, connected by multiple horizontal lines",W317,M186,V056|V686,1,8,0.375,0.625,0.0,True,mayig_features
P297,parpola_1982,"Ladder motif. Two nearby vertical lines with a number of horizontal lines going across the middle, going the length of the verticals.",,,V725,1,0,0,0,0,False,mayig_features
P298,parpola_1982,"An 'H', but the crossbar is multiple small boxes. Possibly with an upward tail coming from the bottom left",W319,,V379|V704,1,0,0,0,0,False,mayig_features
P299,parpola_1982,"Two 'H's, but the crossbars are multiple small boxes. H's share one of the vertical lines.",,M185,V444,1,0,0,0,0,False,mayig_features
P300,parpola_1982,"Two narrow vertical lines, three diagonals connecting them. Tail coming horizontally off top, right edge has a thin triangle sharing part of the edge",,M187,V270|V333,0,1,0.0,0.0,1.0,True,mayig_features
P301,parpola_1982,"Small box with horizontal hatching, vertical lines coming from top left and bottom right corners",W526|W527,M254,V041|V479,2,65,0.8923,0.0308,0.0769,True,mayig_features
P302,parpola_1982,"Box in center. Vertical lines coming from top left and right. Vertical coming from bottom right, extended by a horizontal at the bottom.",W363,M255,V567,0,0,0,0,0,False,mayig_features
P303,parpola_1982,"H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar",W322|W323|W324|W325,M182,V275|V519,3,17,0.0,0.2353,0.7647,True,mayig_features
P304,parpola_1982,"H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar. All connected by a short diagonal to a tall vertical stroke on left",W321,M183,V079|V800,3,0,0,0,0,False,mayig_features
P305,parpola_1982,"Long horizontal at bottom, multiple vertical lines coming off for the entire length",W420,M189,V058|V716,1,0,0,0,0,False,mayig_features
P306,parpola_1982,"Long horizontal at bottom, multiple vertical lines coming off for the entire length. Each vertical decorated near top, low horizontal is made of abutting small rectangles, possibly decorated",W421|W422|W423|W425|W426|W427|W428|W429|W430,M190,V080|V474,2,0,0,0,0,False,mayig_features
P307,parpola_1982,"Box with open top, diagonal line coming off top right and outward. Bottom has a small rect with vertical lines",W329,M191,V362,1,2,0.0,1.0,0.0,True,mayig_features
P308,parpola_1982,"M with the bottom of the legs connected by a horizontal line, and vertical lines connected at midpoint by horizontal line",W335,M192,V075,1,0,0,0,0,False,mayig_features
P309,parpola_1982,"M with the bottom of the legs connected by horizontal lines, and vertical line decoration",W336|W337|W338,M193,V076,4,22,0.0,0.0455,0.9545,True,mayig_features
P310,parpola_1982,Simple U with no other decoration,W700,M328,V246|V548,2,76,0.6974,0.1053,0.1974,True,mayig_features
P311,parpola_1982,U with two small vertical strokes inside the top,W701,M329,V201|V720,2,1,0.0,0.0,1.0,True,mayig_features
P312,parpola_1982,U with three small vertical strokes inside the top,W703,M330,V202|V707,2,0,0,0,0,False,mayig_features
P313,parpola_1982,U with several small strokes off the bottom,W732|W734,M332,V359|V267,2,2,0.0,0.0,1.0,True,mayig_features
P314,parpola_1982,"U with several small strokes off the bottom, caret hat",W731,M334,V088|V779,2,0,0,0,0,False,mayig_features
P315,parpola_1982,Large 'V' with a tall vertical coming from the vertex (making a large bird foot),,M365,V710,0,0,0,0,0,False,mayig_features
P316,parpola_1982,U with a long vertical stroke inserted into the gap of U,W704|W705|W706|W707,M336,V197|V398|V532,4,212,0.0377,0.2736,0.6887,True,mayig_features
P317,parpola_1982,"U with several small strokes off the bottom, vertical line with possible decoration at bottom inserted into the U",W735|W736,M335,V407|V322,3,0,0,0,0,False,mayig_features
P318,parpola_1982,U with upward-bowed line or wagon wheel near the bottom,W712,,V283,1,0,0,0,0,False,mayig_features
P319,parpola_1982,U with X going from side to side near the bottom,W711,,V714|V746,0,0,0,0,0,False,mayig_features
P320,parpola_1982,"A cat's paw perhaps, two vertical strokes on each side, and four fingers, with fingers on one side a little shorter than the other",W716|W717,M341,V203|V484,1,37,0.0541,0.3784,0.5676,True,mayig_features
P321,parpola_1982,"Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Three vertical lines off top horizontal. Capped by 'table'.",W719,M339,V751,3,0,0,0,0,False,mayig_features
P322,parpola_1982,"Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Top is a sequence of small boxes",W721,M338,V337|V705,2,0,0,0,0,False,mayig_features
P323,parpola_1982,U with 'tree' motif sprouting from the bottom,W708|W709|W710,,V128|V776,2,0,0,0,0,False,mayig_features
P324,parpola_1982,Classic jar symbol with two horizontal handles at the top of each arm pointed outward,W740,M342,V204|V526,5,1366,0.6896,0.0037,0.3067,True,mayig_features
P325,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, single small vertical stroke inside mouth of jar",W741,M343,V205|V209,5,169,0.0118,0.0888,0.8994,True,mayig_features
P326,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, two small vertical strokes inside mouth of jar",W742|W743|W744,M344,V206|V413,6,31,0.0645,0.0968,0.8387,True,mayig_features
P327,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth",W745|W746|W747,M345,V208|V207|V414|V706,6,18,0.0,0.3333,0.6667,True,mayig_features
P328,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, four small vertical strokes in mouth",W748,,V749,6,0,0,0,0,False,mayig_features
P329,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth. Three small strokes at bottom. Overlaid by a decorated caret",W749,M346,V494|V774,7,0,0,0,0,False,mayig_features
P330,parpola_1982,"Classic jar symbol with two horizontal handles at the top of each arm pointed outward. Inside has a wagon wheel at bottom, attached to a double headed pitchfork at top",W751,,V367,6,0,0,0,0,False,mayig_features
P331,parpola_1982,"U with jar handles on left, trifurcated tree on right",W750,M352,V386,0,0,0,0,0,False,mayig_features
P332,parpola_1982,U with decorated branching at top,W752|W760,M347|M358,V248|V210|V211|V276|V395|V428|V480,4,142,0.007,0.0211,0.9718,True,mayig_features
P333,parpola_1982,"U with trifurcated trees for handles, very low X connecting the U legs near the bottom",W761,M357,V364,0,0,0,0,0,False,mayig_features
P334,parpola_1982,"U with trifurcated trees for handles, very low caret in outline with small diamond in the tip",,M356,V752,0,0,0,0,0,False,mayig_features
P335,parpola_1982,"U with trifurcations at the tips, with full height vertical stroke on left, connected together with horizontal stroke",W765,M349,V448,1,2,0.0,0.0,1.0,True,mayig_features
P336,parpola_1982,"U with trifurcated trees for handles, small check-mark on right side",W764,M350,V361,0,0,0,0,0,False,mayig_features
P337,parpola_1982,"U with trifurcated trees for handles, wagon wheel circumscribed fully within",W753,M355,V213|V281,1,0,0,0,0,False,mayig_features
P338,parpola_1982,"Upside down U, with five small vertical strokes within",W931,M317,V401,0,0,0,0,0,False,mayig_features
P339,parpola_1982,"Upside down U, with a wagon wheel above two small vertical strokes within",W930,M393,V121,1,0,0,0,0,False,mayig_features
P340,parpola_1982,"Upside down U, with a small 'H' within",,M316,V083,0,0,0,0,0,False,mayig_features
P341,parpola_1982,"Four rounded lines going upward, curving into each other at top, with a caret hat above all, and two diagonal strokes across the four lines",W932,M318,V089,1,2,1.0,0.0,0.0,True,mayig_features
P342,parpola_1982,"A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom",W165,M319,V165|V726,0,21,0.2381,0.2857,0.4762,True,mayig_features
P343,parpola_1982,"A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom. Small diagonal coming off top-right",W166,M320,V471,0,0,0,0,0,False,mayig_features
P344,parpola_1982,The 'headphones' motif. Upside down U with small cirles on each end,W167,M321,V239,1,0,0,0,0,False,mayig_features
P345,parpola_1982,The 'headphones' motif. Upside down U with small cirles on each end. Tall 'Y' inscribed and attached inside,W168,M322,V286,1,0,0,0,0,False,mayig_features
P346,parpola_1982,Capital 'T' with a small leaf oriented vertically attached to both sides of the top bar,W171,M409,V192|V785,0,20,0.0,0.65,0.35,True,mayig_features
P347,parpola_1982,"Two leaves horizontally adjacent, with a small horizontal line connecting them",W169,M408,V581,0,0,0,0,0,False,mayig_features
P348,parpola_1982,"Two leaves horizontally adjacent, with a small horizontal line connecting them. Caged by two inward sloping vertical lines",W170,M409,V737,0,0,0,0,0,False,mayig_features
P349,parpola_1982,"Two vertical leaves, slightly overlapping",W840,M403,V169|V533,0,91,0.022,0.2088,0.7692,True,mayig_features
P350,parpola_1982,"Two overlapping leaves, bracketed by two small stacked vertical lines on each side",,M404,V506,1,1,0.0,0.0,1.0,True,mayig_features
P351,parpola_1982,"Two vertical leaves, slightly overlapping. Small tree motif coming from right hand side",W841,M405,V496,1,0,0,0,0,False,mayig_features
P352,parpola_1982,"Two overlapping leaves with diagonal hatches across the three midsections, possibly with a cage of small vertical strokes",W845,M407,V170|V309,2,2,0.0,0.0,1.0,True,mayig_features
P353,parpola_1982,"Three stacked leaves, possibly with vertical stroke through the center",W215|W216,M415|M417,V196|V296|V694,1,9,0.4444,0.3333,0.2222,True,mayig_features
P354,parpola_1982,Three stacked leaves. Caged by two tall vertical strokes,W217,M416,V709,0,0,0,0,0,False,mayig_features
P355,parpola_1982,"Simple leaf or diamond, possibly rotated 45 degrees",W790|W850,M261|M373|M374,V381|V098|V111|V157|V387|V415|V684,2,63,0.1746,0.3016,0.5238,True,mayig_features
P356,parpola_1982,"Simple leaf or diamond, possibly rotated 45 degrees. Small tree of right hand side",W860,M262,V175,1,0,0,0,0,False,mayig_features
P357,parpola_1982,"Simple leaf, two small inverted carets off right, diagonal with orthogonal upware strokes on left",,,V734,0,0,0,0,0,False,mayig_features
P358,parpola_1982,Leaf with small strokes coming out diagonally on all four diagonals,,,V176,0,11,0.0,0.1818,0.8182,True,mayig_features
P359,parpola_1982,Diamond with two perpendiculars coming off each edge (see similarity with P260),W853,M264,V115,0,12,0.0,0.9167,0.0833,True,mayig_features
P360,parpola_1982,"Leaf on vertical line, with sun rays coming out from the top",W373,M399,V377,2,3,0.0,0.6667,0.3333,True,mayig_features
P361,parpola_1982,Diamond with diagonal line crossing lower right edge,W851,M263,V118,0,0,0,0,0,False,mayig_features
P362,parpola_1982,Diamond with small flag coming from bottom,W859,,V525,0,0,0,0,0,False,mayig_features
P363,parpola_1982,Diamond with two horizontally adjacent boxes on a short vertical stick inside near bottom,W858,M266,V112,0,0,0,0,0,False,mayig_features
P364,parpola_1982,Leaf with tree at bottom,W803|W805|W806,M387,V161|V537,2,222,0.0045,0.4099,0.5856,True,mayig_features
P365,parpola_1982,"Leaf with tree at bottom, caged by four small vertical strokes",W804|W807,M388|M390,V540|V255,2,0,0,0,0,False,mayig_features
P366,parpola_1982,Leaf with small vertical stroke inside,W832,M375,V158|V431,0,1,1.0,0.0,0.0,True,mayig_features
P367,parpola_1982,"Leaf with small vertical stroke inside, small tooth coming off top right",W834,M376,V200|V727,0,0,0,0,0,False,mayig_features
P368,parpola_1982,Leaf with small dot inside,W808|W809|W810,,V159|V691,1,2,0.0,0.5,0.5,True,mayig_features
P369,parpola_1982,Leaf with small square hatched decoration inside,W812|W813|W814,M381,V160|V700,1,13,0.0769,0.0,0.9231,True,mayig_features
P370,parpola_1982,"Leaf with small square hatched decoration inside, small tooth off top right",,,V671,1,0,0,0,0,False,mayig_features
P371,parpola_1982,"Leaf with small square hatched decoration inside, pitchfork head inside",W815|W816,M383,V251,3,0,0,0,0,False,mayig_features
P372,parpola_1982,Leaf with diagonal-stroke central decoration,W831|W833,M379,V116|V257,1,1,0.0,0.0,1.0,True,mayig_features
P373,parpola_1982,"Leaf with tooth off top-right, and tooth off bottom-left",,,V804,0,0,0,0,0,False,mayig_features
P374,parpola_1982,Leaf with stretched diamond overlapping from top right to top bottom,,,V805,0,0,0,0,0,False,mayig_features
P375,parpola_1982,Leaf. Diamond in center with vertical strokes out each edge to edge of leaf. Vertical lines similarly from top and bottom vertices,W823,M384,V301,0,0,0,0,0,False,mayig_features
P376,parpola_1982,Leaf with diagonal overlapping cross hatching throughout,W825,M380,V297,0,0,0,0,0,False,mayig_features
P377,parpola_1982,Circle with plus sign fully inscribed,W818,,V587,0,0,0,0,0,False,mayig_features
P378,parpola_1982,Wheel with 6 spokes with even angles,W820,M391,V163|V254,1,174,0.0805,0.7529,0.1667,True,mayig_features
P379,parpola_1982,"Wheel with 6 spokes with even angles, two tall vertical strokes on left, all caged by four small vertical strokes",,M392,V569|V338,0,1,1.0,0.0,0.0,True,mayig_features
P380,parpola_1982,"2x2 grid, each cell has a small vertical stroke",W626,M247,V063|V284,0,0,0,0,0,False,mayig_features
P381,parpola_1982,"Diamond with gridding, each grid cell has a small stroke in it",W879,,V113,0,4,0.0,0.0,1.0,True,mayig_features
P382,parpola_1982,Diamond with four small diamonds at each vertex,W877,M284,V164|V556,0,15,0.0,0.4,0.6,True,mayig_features
P383,parpola_1982,"Diamond with four small diamonds at each vertex, caged by four small vertical strokes",W878,M285,V584|V788,0,0,0,0,0,False,mayig_features
P384,parpola_1982,"Diamond with four small diamonds at each vertex, and a wagon wheel in the center",W880,M286,V114|V797,0,10,0.1,0.6,0.3,True,mayig_features
P385,parpola_1982,Diamond or leaf shape with a small diamond attached to the top,W817|W861,M267,V162|V420|V421|V510,1,349,0.0372,0.7851,0.1777,True,mayig_features
P386,parpola_1982,"Diamond or leaf shape directly above another, with small diamonds inside each at the center",W202,M268,V352,1,5,0.0,0.0,1.0,True,mayig_features
P387,parpola_1982,"Diamond with a small diamond attached to the top, two orthogonal strokes going through bottom left edge",,M276,V433,0,0,0,0,0,False,mayig_features
P388,parpola_1982,"Diamond with a small diamond attached to the top, lower left edge has a doubling parallel line inside the diamond",W868,M275,V430|V802,0,0,0,0,0,False,mayig_features
P389,parpola_1982,Diamond with several lines coming from top outward in a sunburst,W865,M272,V363|V227,1,0,0,0,0,False,mayig_features
P390,parpola_1982,"Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom",W869|W871,M277|M279|M280|M282|M283,V418,2,3,0.6667,0.0,0.3333,True,mayig_features
P391,parpola_1982,"Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom, all caged by four small vertical strokes",W870,M278,V487,2,0,0,0,0,False,mayig_features
P392,parpola_1982,"Diamond with small diamond in top vertex, bird foot or tree coming off top left edge",W863,M270,V677,1,0,0,0,0,False,mayig_features
P393,parpola_1982,"Diamond with small diamond in top vertex, multiple trees off top right edge",W864,M271,V351,1,2,0.0,1.0,0.0,True,mayig_features
P394,parpola_1982,"Diamond with small diamond in top vertex, jar handles or trees coming from top vertex, one on each side",,M274,V468|V409,1,0,0,0,0,False,mayig_features
P395,parpola_1982,"Diamond with small diamond in top vertex, rakes coming from top vertex, one on each side",,M273,V406,1,0,0,0,0,False,mayig_features
P396,parpola_1982,"Square with small square inside top left vertex, 9 slanted vertical strokes in a 3x3 pattern inside",W628,M236,V753,1,0,0,0,0,False,mayig_features
Yunmapped_0000,yajnadevam_glyphid,,,,,0,145,0.1241,0.2483,0.6276,True,corpus_only
Yunmapped_0920,yajnadevam_glyphid,,,,,0,114,0.0263,0.5877,0.386,True,corpus_only
Yunmapped_0798,yajnadevam_glyphid,,,,,0,99,0.0101,0.2525,0.7374,True,corpus_only
Yunmapped_0690,yajnadevam_glyphid,,,,,0,69,0.058,0.1159,0.8261,True,corpus_only
Yunmapped_0615,yajnadevam_glyphid,,,,,0,55,0.0182,0.0909,0.8909,True,corpus_only
Yunmapped_0892,yajnadevam_glyphid,,,,,0,50,0.36,0.16,0.48,True,corpus_only
Yunmapped_0845,yajnadevam_glyphid,,,,,0,40,0.0,0.0,1.0,True,corpus_only
Yunmapped_0501,yajnadevam_glyphid,,,,,0,31,0.0,0.9355,0.0645,True,corpus_only
Yunmapped_0158,yajnadevam_glyphid,,,,,0,27,0.4444,0.037,0.5185,True,corpus_only
Yunmapped_0335,yajnadevam_glyphid,,,,,0,24,0.0417,0.0417,0.9167,True,corpus_only
Yunmapped_0482,yajnadevam_glyphid,,,,,0,23,0.087,0.087,0.8261,True,corpus_only
Yunmapped_0236,yajnadevam_glyphid,,,,,0,21,0.381,0.1429,0.4762,True,corpus_only
Yunmapped_0636,yajnadevam_glyphid,,,,,0,19,0.0,0.0,1.0,True,corpus_only
Yunmapped_0384,yajnadevam_glyphid,,,,,0,19,0.0526,0.1579,0.7895,True,corpus_only
Yunmapped_0832,yajnadevam_glyphid,,,,,0,19,0.2632,0.2105,0.5263,True,corpus_only
Yunmapped_0034,yajnadevam_glyphid,,,,,0,18,0.1667,0.6667,0.1667,True,corpus_only
Yunmapped_0091,yajnadevam_glyphid,,,,,0,17,0.0,0.9412,0.0588,True,corpus_only
Yunmapped_0495,yajnadevam_glyphid,,,,,0,16,0.0,0.5,0.5,True,corpus_only
Yunmapped_0097,yajnadevam_glyphid,,,,,0,16,0.0,0.375,0.625,True,corpus_only
Yunmapped_0480,yajnadevam_glyphid,,,,,0,15,0.0667,0.2,0.7333,True,corpus_only
Yunmapped_0436,yajnadevam_glyphid,,,,,0,14,0.0714,0.0,0.9286,True,corpus_only
Yunmapped_0137,yajnadevam_glyphid,,,,,0,14,0.2857,0.6429,0.0714,True,corpus_only
Yunmapped_0491,yajnadevam_glyphid,,,,,0,14,0.0,0.8571,0.1429,True,corpus_only
Yunmapped_0645,yajnadevam_glyphid,,,,,0,14,0.1429,0.0,0.8571,True,corpus_only
Yunmapped_0321,yajnadevam_glyphid,,,,,0,13,0.0,0.0769,0.9231,True,corpus_only
Yunmapped_0679,yajnadevam_glyphid,,,,,0,13,0.7692,0.2308,0.0,True,corpus_only
Yunmapped_0838,yajnadevam_glyphid,,,,,0,12,0.0,0.3333,0.6667,True,corpus_only
Yunmapped_0711,yajnadevam_glyphid,,,,,0,12,0.0,0.0,1.0,True,corpus_only
Yunmapped_0605,yajnadevam_glyphid,,,,,0,12,0.0,0.6667,0.3333,True,corpus_only
Yunmapped_0318,yajnadevam_glyphid,,,,,0,12,0.0,0.0,1.0,True,corpus_only
Yunmapped_0921,yajnadevam_glyphid,,,,,0,12,0.0,0.3333,0.6667,True,corpus_only
Yunmapped_0905,yajnadevam_glyphid,,,,,0,11,0.0,0.9091,0.0909,True,corpus_only
Yunmapped_0554,yajnadevam_glyphid,,,,,0,10,0.0,0.3,0.7,True,corpus_only
Yunmapped_0821,yajnadevam_glyphid,,,,,0,10,0.1,0.5,0.4,True,corpus_only
Yunmapped_0530,yajnadevam_glyphid,,,,,0,10,0.1,0.2,0.7,True,corpus_only
Yunmapped_0161,yajnadevam_glyphid,,,,,0,10,1.0,0.0,0.0,True,corpus_only
Yunmapped_0519,yajnadevam_glyphid,,,,,0,10,0.0,0.6,0.4,True,corpus_only
Yunmapped_0056,yajnadevam_glyphid,,,,,0,10,0.0,0.1,0.9,True,corpus_only
Yunmapped_0241,yajnadevam_glyphid,,,,,0,10,0.8,0.0,0.2,True,corpus_only
Yunmapped_0792,yajnadevam_glyphid,,,,,0,9,0.0,0.6667,0.3333,True,corpus_only
Yunmapped_0347,yajnadevam_glyphid,,,,,0,9,0.0,0.8889,0.1111,True,corpus_only
Yunmapped_0063,yajnadevam_glyphid,,,,,0,9,0.1111,0.1111,0.7778,True,corpus_only
Yunmapped_0510,yajnadevam_glyphid,,,,,0,8,0.0,0.5,0.5,True,corpus_only
Yunmapped_0844,yajnadevam_glyphid,,,,,0,8,0.0,0.25,0.75,True,corpus_only
Yunmapped_0232,yajnadevam_glyphid,,,,,0,8,0.375,0.125,0.5,True,corpus_only
Yunmapped_0804,yajnadevam_glyphid,,,,,0,8,0.5,0.125,0.375,True,corpus_only
Yunmapped_0315,yajnadevam_glyphid,,,,,0,8,0.0,0.375,0.625,True,corpus_only
Yunmapped_0468,yajnadevam_glyphid,,,,,0,8,0.0,0.75,0.25,True,corpus_only
Yunmapped_0417,yajnadevam_glyphid,,,,,0,8,0.0,0.0,1.0,True,corpus_only
Yunmapped_0927,yajnadevam_glyphid,,,,,0,8,0.0,0.25,0.75,True,corpus_only
Yunmapped_0597,yajnadevam_glyphid,,,,,0,8,0.0,0.0,1.0,True,corpus_only
Yunmapped_0298,yajnadevam_glyphid,,,,,0,7,0.5714,0.0,0.4286,True,corpus_only
Yunmapped_0592,yajnadevam_glyphid,,,,,0,7,0.5714,0.2857,0.1429,True,corpus_only
Yunmapped_0365,yajnadevam_glyphid,,,,,0,7,0.2857,0.0,0.7143,True,corpus_only
Yunmapped_0015,yajnadevam_glyphid,,,,,0,7,0.1429,0.5714,0.2857,True,corpus_only
Yunmapped_0098,yajnadevam_glyphid,,,,,0,7,0.0,0.7143,0.2857,True,corpus_only
Yunmapped_0467,yajnadevam_glyphid,,,,,0,7,0.0,0.5714,0.4286,True,corpus_only
Yunmapped_0540,yajnadevam_glyphid,,,,,0,7,0.0,0.2857,0.7143,True,corpus_only
Yunmapped_0703,yajnadevam_glyphid,,,,,0,7,0.0,0.5714,0.4286,True,corpus_only
Yunmapped_0422,yajnadevam_glyphid,,,,,0,7,0.7143,0.0,0.2857,True,corpus_only
Yunmapped_0066,yajnadevam_glyphid,,,,,0,6,0.1667,0.3333,0.5,True,corpus_only
Yunmapped_0702,yajnadevam_glyphid,,,,,0,6,0.0,0.3333,0.6667,True,corpus_only
Yunmapped_0603,yajnadevam_glyphid,,,,,0,6,0.0,0.5,0.5,True,corpus_only
Yunmapped_0219,yajnadevam_glyphid,,,,,0,6,0.0,0.6667,0.3333,True,corpus_only
Yunmapped_0924,yajnadevam_glyphid,,,,,0,6,0.1667,0.3333,0.5,True,corpus_only
Yunmapped_0824,yajnadevam_glyphid,,,,,0,6,0.1667,0.8333,0.0,True,corpus_only
Yunmapped_0370,yajnadevam_glyphid,,,,,0,6,0.0,1.0,0.0,True,corpus_only
Yunmapped_0354,yajnadevam_glyphid,,,,,0,6,0.1667,0.3333,0.5,True,corpus_only
Yunmapped_0626,yajnadevam_glyphid,,,,,0,6,0.0,0.1667,0.8333,True,corpus_only
Yunmapped_0518,yajnadevam_glyphid,,,,,0,6,0.0,0.5,0.5,True,corpus_only
Yunmapped_0064,yajnadevam_glyphid,,,,,0,6,0.6667,0.1667,0.1667,True,corpus_only
Yunmapped_0465,yajnadevam_glyphid,,,,,0,6,0.0,0.8333,0.1667,True,corpus_only
Yunmapped_0234,yajnadevam_glyphid,,,,,0,6,0.3333,0.5,0.1667,True,corpus_only
Yunmapped_0423,yajnadevam_glyphid,,,,,0,6,0.8333,0.0,0.1667,True,corpus_only
Yunmapped_0777,yajnadevam_glyphid,,,,,0,6,1.0,0.0,0.0,True,corpus_only
Yunmapped_0426,yajnadevam_glyphid,,,,,0,5,0.8,0.2,0.0,True,corpus_only
Yunmapped_0456,yajnadevam_glyphid,,,,,0,5,0.0,0.6,0.4,True,corpus_only
Yunmapped_0791,yajnadevam_glyphid,,,,,0,5,0.2,0.4,0.4,True,corpus_only
Yunmapped_0221,yajnadevam_glyphid,,,,,0,5,0.0,0.6,0.4,True,corpus_only
Yunmapped_0808,yajnadevam_glyphid,,,,,0,5,0.2,0.8,0.0,True,corpus_only
Yunmapped_0869,yajnadevam_glyphid,,,,,0,5,0.8,0.0,0.2,True,corpus_only
Yunmapped_0352,yajnadevam_glyphid,,,,,0,5,0.0,0.6,0.4,True,corpus_only
Yunmapped_0155,yajnadevam_glyphid,,,,,0,5,0.6,0.0,0.4,True,corpus_only
Yunmapped_0637,yajnadevam_glyphid,,,,,0,5,0.2,0.2,0.6,True,corpus_only
Yunmapped_0027,yajnadevam_glyphid,,,,,0,5,0.0,1.0,0.0,True,corpus_only
Yunmapped_0408,yajnadevam_glyphid,,,,,0,5,0.4,0.6,0.0,True,corpus_only
Yunmapped_0201,yajnadevam_glyphid,,,,,0,5,0.0,1.0,0.0,True,corpus_only
Yunmapped_0257,yajnadevam_glyphid,,,,,0,5,0.2,0.0,0.8,True,corpus_only
Yunmapped_0159,yajnadevam_glyphid,,,,,0,5,0.6,0.0,0.4,True,corpus_only
Yunmapped_0472,yajnadevam_glyphid,,,,,0,5,0.0,0.4,0.6,True,corpus_only
Yunmapped_0263,yajnadevam_glyphid,,,,,0,5,0.0,0.8,0.2,True,corpus_only
Yunmapped_0564,yajnadevam_glyphid,,,,,0,5,0.0,0.4,0.6,True,corpus_only
Yunmapped_0401,yajnadevam_glyphid,,,,,0,5,0.8,0.0,0.2,True,corpus_only
Yunmapped_0842,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0067,yajnadevam_glyphid,,,,,0,4,0.0,0.25,0.75,True,corpus_only
Yunmapped_0525,yajnadevam_glyphid,,,,,0,4,0.25,0.0,0.75,True,corpus_only
Yunmapped_0028,yajnadevam_glyphid,,,,,0,4,0.0,1.0,0.0,True,corpus_only
Yunmapped_0153,yajnadevam_glyphid,,,,,0,4,0.75,0.0,0.25,True,corpus_only
Yunmapped_0868,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0204,yajnadevam_glyphid,,,,,0,4,0.25,0.0,0.75,True,corpus_only
Yunmapped_0712,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0049,yajnadevam_glyphid,,,,,0,4,0.0,0.5,0.5,True,corpus_only
Yunmapped_0625,yajnadevam_glyphid,,,,,0,4,0.0,0.5,0.5,True,corpus_only
Yunmapped_0380,yajnadevam_glyphid,,,,,0,4,0.0,0.75,0.25,True,corpus_only
Yunmapped_0910,yajnadevam_glyphid,,,,,0,4,0.0,1.0,0.0,True,corpus_only
Yunmapped_0132,yajnadevam_glyphid,,,,,0,4,0.0,0.5,0.5,True,corpus_only
Yunmapped_0323,yajnadevam_glyphid,,,,,0,4,0.0,0.75,0.25,True,corpus_only
Yunmapped_0409,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0443,yajnadevam_glyphid,,,,,0,4,0.0,0.0,1.0,True,corpus_only
Yunmapped_0267,yajnadevam_glyphid,,,,,0,4,0.25,0.0,0.75,True,corpus_only
Yunmapped_0167,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0353,yajnadevam_glyphid,,,,,0,4,0.0,0.75,0.25,True,corpus_only
Yunmapped_0736,yajnadevam_glyphid,,,,,0,4,0.0,1.0,0.0,True,corpus_only
Yunmapped_0871,yajnadevam_glyphid,,,,,0,4,0.5,0.25,0.25,True,corpus_only
Yunmapped_0746,yajnadevam_glyphid,,,,,0,4,0.0,0.5,0.5,True,corpus_only
Yunmapped_0749,yajnadevam_glyphid,,,,,0,4,1.0,0.0,0.0,True,corpus_only
Yunmapped_0903,yajnadevam_glyphid,,,,,0,4,0.0,0.5,0.5,True,corpus_only
Yunmapped_0421,yajnadevam_glyphid,,,,,0,4,0.0,0.25,0.75,True,corpus_only
Yunmapped_0634,yajnadevam_glyphid,,,,,0,3,0.0,1.0,0.0,True,corpus_only
Yunmapped_0014,yajnadevam_glyphid,,,,,0,3,0.0,0.6667,0.3333,True,corpus_only
Yunmapped_0019,yajnadevam_glyphid,,,,,0,3,0.0,0.6667,0.3333,True,corpus_only
Yunmapped_0856,yajnadevam_glyphid,,,,,0,3,0.3333,0.6667,0.0,True,corpus_only
Yunmapped_0893,yajnadevam_glyphid,,,,,0,3,0.0,0.3333,0.6667,True,corpus_only
Yunmapped_0103,yajnadevam_glyphid,,,,,0,3,0.3333,0.0,0.6667,True,corpus_only
Yunmapped_0829,yajnadevam_glyphid,,,,,0,3,0.0,1.0,0.0,True,corpus_only
