sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P153,parpola_1982,"Three adjacent full-height vertical strokes, first stroke is angled away slightly",,,V383,0,0,0,0,0,False,mayig_features
P154,parpola_1982,Right parenthesis (perhaps with a backward curve at the bottom),W900,M287,V153|V265|V289|V511,1,93,0.0108,0.1828,0.8065,True,mayig_features
P155,parpola_1982,"Wavy line caged by short double vertical strokes, possibly with a stroke missing",W926,M289,V514,2,0,0,0,0,False,mayig_features
P156,parpola_1982,"Right parenthesis with small, slightly inward-and-downward horizontal line from middle",W901,M288,V445|V681,1,1,0.0,1.0,0.0,True,mayig_features
P157,parpola_1982,"Right parenthesis with small, diagonal stroke through it",,,V495,1,0,0,0,0,False,mayig_features
P158,parpola_1982,Right parenthesis with small tooth on it facing right,,,V319,1,0,0,0,0,False,mayig_features
P159,parpola_1982,"Right parenthesis with small inward strokes on top, and a tooth outward on top",,,V221|V735,0,0,0,0,0,False,mayig_features
P160,parpola_1982,Right parenthesis with small leaf at middle,W920,M293,V220|V155,0,6,0.0,0.1667,0.8333,True,mayig_features
P161,parpola_1982,"Right parenthesis with small leaf at middle, stroke crossing top part of paren",W922,,V355,0,0,0,0,0,False,mayig_features
P162,parpola_1982,Right parenthesis with small lines away from it at top,W903,M290,V591,1,0,0,0,0,False,mayig_features
P163,parpola_1982,Left parenthesis,W909,M299,V152|V332,0,0,0,0,0,False,mayig_features
P164,parpola_1982,Left parenthesis with small inward pointing tooth near top,W902,M300,V399,0,0,0,0,0,False,mayig_features
P165,parpola_1982,Left parenthesis with small semicircle against the very middle,W921,M301,V216,0,0,0,0,0,False,mayig_features
P166,parpola_1982,"Left parenthesis with small semicircle against the very middle, diagonal line extending past the paren from the bottom of the semicircle",,,V277,1,9,0.2222,0.3333,0.4444,True,mayig_features
P167,parpola_1982,"Left parenthesis with small semicircle against the very middle, diagonal line extending past the paren from the bottom of the semicircle. T-bar diagonally against top of parenthesis",,,V777,0,0,0,0,0,False,mayig_features
P168,parpola_1982,"Left parenthesis with small semicircle against the very middle, diagonal extending from bottom of semicircle, caret over all",,,V778,0,0,0,0,0,False,mayig_features
P169,parpola_1982,"Left parenthesis with small semicircle against the very middle, diagonal extending from bottom of semicircle, caret over all, some damage",,,V565,0,0,0,0,0,False,mayig_features
P170,parpola_1982,"Left parenthesis with small semicircle against the very middle, caret extending from top of semicircle",,,V291,0,7,0.0,0.0,1.0,True,mayig_features
P171,parpola_1982,"Left parenthesis, two perpendiculars coming away both from top and bottom, caged by four small vertical strokes",,M292,V228,0,0,0,0,0,False,mayig_features
P172,parpola_1982,Two slightly nested right parentheses,W904|W927,M294,V242|V226|V347,1,37,0.0541,0.1351,0.8108,True,mayig_features
P173,parpola_1982,"Two slightly nested right parentheses, small tooth facing outward from top of right parenthesis",W905|W928,M295,V455|V365|V682,1,0,0,0,0,False,mayig_features
P174,parpola_1982,Right parenthesis next to left parenthesis,W906,M303,V553|V446,0,11,0.0909,0.1818,0.7273,True,mayig_features
P175,parpola_1982,Right parenthesis drawn in outline,W923,M296,V218|V416,0,44,0.0,0.0682,0.9318,True,mayig_features
P176,parpola_1982,"Right parenthesis drawn in outline, horizontal hatching throughout",W924,M297,V219,0,0,0,0,0,False,mayig_features
P177,parpola_1982,Many slightly nested right parentheses,W908,M298,V243|V719,2,3,0.0,0.0,1.0,True,mayig_features
P178,parpola_1982,"Right facing bow, i.e. a vertical stroke with a right-parenthesis fully attached on the right",W890,M304,V327|V794,0,12,0.0,0.0,1.0,True,mayig_features
P179,parpola_1982,"Right facing bow, i.e. a vertical stroke with a right-parenthesis fully attached on the right. Several small perpendiculars coming off top",W891,M305,V330|V789,1,0,0,0,0,False,mayig_features
P180,parpola_1982,"Leaf, small perpendicular strokes radiating from the top. Surrounded by a capital Gamma",W796,M306,V346,2,2,0.0,1.0,0.0,True,mayig_features
P181,parpola_1982,"Lyre, or a left parenthesis with multiple vertical lines inside",W896,M311,V217,1,1,0.0,0.0,1.0,True,mayig_features
P182,parpola_1982,Bow and arrow,W892,M307,V081|V253,2,2,0.0,0.0,1.0,True,mayig_features
P183,parpola_1982,"Bow and arrow, caged by pairs of small vertical strokes",W895,M308,V757,1,0,0,0,0,False,mayig_features
P184,parpola_1982,"Tall, slightly narrow caret (mountain motif)",W480,M134,V299|V475,1,0,0,0,0,False,mayig_features
P185,parpola_1982,"Tall, slightly narrow caret (mountain motif), with a bit of the right leg removed",W066,M129,V099|V402,1,0,0,0,0,False,mayig_features
P186,parpola_1982,"A with right leg only partially formed, possibly with pitchfork foot on right",W465|W467|W468|W469|W470|W471|W472|W473|W474|W475,M178,V100|V708|V782|V790,5,4,0.0,0.25,0.75,True,mayig_features
P187,parpola_1982,"A with right leg only partially formed, caged by pairs of small vertical strokes",W466,M179,V552,0,0,0,0,0,False,mayig_features
P188,parpola_1982,"Vertical line with diagonal going down from top right, diagonal going up from bottom left",W435|W436,M130,V101|V306,2,48,0.0833,0.0208,0.8958,True,mayig_features
P189,parpola_1982,Caret with diagonal continuing upwards and left from the bottom left. Under a 'table' motif,W454,M131,V303,0,0,0,0,0,False,mayig_features
P190,parpola_1982,A 'W' symbol,W452,,V403,1,0,0,0,0,False,mayig_features
P191,parpola_1982,A 'W' symbol with an extra stroke going down and left from the left tip ('wave' motif),W450,M132,V107,1,0,0,0,0,False,mayig_features
P192,parpola_1982,Two vertically stacked 'wave' motifs (see P191),W451,M133,V516,1,0,0,0,0,False,mayig_features
P193,parpola_1982,"Person sitting with bent knees, no small tangent lines coming off the back",W175,M047,V185|V676,2,16,0.0,0.4375,0.5625,True,mayig_features
P194,parpola_1982,"Person sitting with bent knees, four small tangent lines coming off the back",W176|W177|W178|W179,M048,V186|V434,3,154,0.0,0.3896,0.6104,True,mayig_features
P195,parpola_1982,"Tall caret drawn in outline, with hatching throughout",W484,M136,V329|V300,0,11,0.0,0.3636,0.6364,True,mayig_features
P196,parpola_1982,Upside-down heart symbol,W380,M323,V302,0,0,0,0,0,False,mayig_features
P197,parpola_1982,"Tall caret drawn in outline, with diamond inscribed at the point",W482,M135,V109|V308,0,1,0.0,0.0,1.0,True,mayig_features
P198,parpola_1982,"Tall lambda drawn in outline, with V or diamond inscribed at the connector",W483,M259,V131,1,0,0,0,0,False,mayig_features
