yajnadevam_glyph_id,registry_sign_id_yajnadevam,best_parpola_match,match_confidence,match_count,total_alignments,top3_parpola,review_status,method,source
373,Y0373,P360,1.0,1,1,P360:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
374,Y0374,P103,1.0,2,2,P103:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
382,Y0382,P111,1.0,2,2,P111:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
388,Y0388,P110,1.0,3,3,P110:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
390,Y0390,P086,1.0,25,25,P086:25,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
391,Y0391,P089,1.0,1,1,P089:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
400,Y0400,P098,1.0,3,3,P098:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
405,Y0405,P086,1.0,2,2,P086:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
406,Y0406,P086,1.0,1,1,P086:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
407,Y0407,P086,1.0,1,1,P086:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
413,Y0413,P099,1.0,1,1,P099:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
415,Y0415,P092,1.0,4,4,P092:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
416,Y0416,P095,1.0,4,4,P095:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
435,Y0435,P188,1.0,2,2,P188:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
440,Y0440,P283,1.0,3,3,P283:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
455,Y0455,P221,1.0,3,3,P221:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
460,Y0460,P215,1.0,4,4,P215:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
475,Y0475,P186,1.0,1,1,P186:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
484,Y0484,P195,1.0,1,1,P195:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
500,Y0500,P208,1.0,1,1,P208:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
502,Y0502,P207,1.0,1,1,P207:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
503,Y0503,P210,1.0,5,5,P210:5,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
504,Y0504,P211,1.0,1,1,P211:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
511,Y0511,P275,1.0,1,1,P275:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
520,Y0520,P217,1.0,14,14,P217:14,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
521,Y0521,P094,1.0,1,1,P094:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
526,Y0526,P301,1.0,1,1,P301:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
527,Y0527,P301,0.8,4,5,P301:4 | P000:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
531,Y0531,P228,1.0,1,1,P228:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
545,Y0545,P226,1.0,4,4,P226:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
550,Y0550,P230,1.0,9,9,P230:9,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
555,Y0555,P230,1.0,1,1,P230:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
556,Y0556,P231,1.0,1,1,P231:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
560,Y0560,P232,1.0,1,1,P232:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
563,Y0563,P230,1.0,1,1,P230:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
565,Y0565,P238,1.0,2,2,P238:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
572,Y0572,P285,1.0,1,1,P285:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
575,Y0575,P289,1.0,2,2,P289:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
579,Y0579,P290,1.0,1,1,P290:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
585,Y0585,P288,1.0,1,1,P288:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
590,Y0590,P276,1.0,4,4,P276:4,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
595,Y0595,P280,1.0,1,1,P280:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
600,Y0600,P145,1.0,1,1,P145:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
611,Y0611,P281,1.0,1,1,P281:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
617,Y0617,P268,1.0,1,1,P268:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
621,Y0621,P265,1.0,1,1,P265:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
630,Y0630,P270,1.0,1,1,P270:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
632,Y0632,P270,1.0,3,3,P270:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
684,Y0684,P254,1.0,1,1,P254:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
690,Y0690,P256,0.5,1,2,P256:1 | P255:1,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
692,Y0692,P256,1.0,8,8,P256:8,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
693,Y0693,P258,1.0,1,1,P258:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
700,Y0700,P310,1.0,1,1,P310:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
704,Y0704,P316,1.0,1,1,P316:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
705,Y0705,P316,1.0,10,10,P316:10,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
706,Y0706,P316,1.0,3,3,P316:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
717,Y0717,P320,1.0,2,2,P320:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
734,Y0734,P313,1.0,1,1,P313:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
740,Y0740,P324,0.9867,74,75,P324:74 | P000:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
741,Y0741,P325,0.7692,10,13,P325:10 | P324:3,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
742,Y0742,P326,1.0,1,1,P326:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
745,Y0745,P327,1.0,1,1,P327:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
752,Y0752,P332,1.0,1,1,P332:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
760,Y0760,P332,1.0,6,6,P332:6,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
765,Y0765,P335,1.0,1,1,P335:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
772,Y0772,P096,1.0,2,2,P096:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
773,Y0773,P096,1.0,1,1,P096:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
776,Y0776,P117,1.0,1,1,P117:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
786,Y0786,P117,1.0,1,1,P117:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
790,Y0790,P355,1.0,3,3,P355:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
794,Y0794,P358,1.0,2,2,P358:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
796,Y0796,P180,1.0,1,1,P180:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
798,Y0798,P230,0.6364,7,11,P230:7 | P075:4,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
803,Y0803,P364,0.9,9,10,P364:9 | P385:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
806,Y0806,P364,1.0,5,5,P364:5,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
812,Y0812,P369,1.0,1,1,P369:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
814,Y0814,P369,1.0,2,2,P369:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
817,Y0817,P385,1.0,11,11,P385:11,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
820,Y0820,P378,0.9333,14,15,P378:14 | P000:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
