formula_id,sign_sequence,n_gram_size,proposed_reading,inscription_count,site_count,site_distribution,dominant_grammar_pattern,evidence_tier,caveats,is_failure_case
F071,M032 M349,2,?M032 + ?M349,42,6,"Harappa(19), Mohenjo-daro(15), Dholavira(4), Lothal(2), Bakkar Buthi(1)",MMM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 24%),True
F072,M086 M004,2,?M086 + ?M004,42,9,"Mohenjo-daro(20), Harappa(15), Banawali(1), Dholavira(1), Kalibangan(1)",MIIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 31%),True
F073,M004 M003,2,?M004 + ?M003,40,3,"Harappa(27), Mohenjo-daro(12), Lothal(1)",IM,HIGH,2/2 signs lack anchor readings,True
F074,090 090 090,3,aintu + aintu + aintu,39,1,unknown(39),MMM,MEDIUM,,False
F075,M060 M002,2,?M060 + ?M002,39,8,"Mohenjo-daro(23), Harappa(8), Chanhu-daro(2), Dholavira(2), Lohumjo-daro(1)",MMIIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 15%),True
F076,000 M002,2,?000 + ?M002,39,8,"Mohenjo-daro(14), Dholavira(7), Harappa(5), Kalibangan(4), Lothal(4)",??IM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 10%),True
F077,M324 M175,2,?M324 + ?M175,39,3,"Mohenjo-daro(35), Harappa(3), Gharo Bhiro(1)",MMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 23%),True
F078,861 861,2,?861 + ?861,37,1,unknown(37),IMMMII,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 11%),True
F079,M325 M060,2,?M325 + ?M060,37,7,"Mohenjo-daro(23), Harappa(6), Lothal(2), Rakhigarhi(2), Dholavira(2)",MMMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 24%),True
F080,M325 M060 M154,3,?M325 + ?M060 + ?M154,37,7,"Mohenjo-daro(23), Harappa(6), Lothal(2), Rakhigarhi(2), Dholavira(2)",MMMIM,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 24%),True
